,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,director,cast,country,date_added,rating,duration,listed_in,description
435,tm161562,Copenhagen,MOVIE,2014,,98,"['drama', 'action', 'romance']","['DK', 'US']",,tt2459156,7.0,13469.0,7.351,6.716,Mark Raso,"Gethin Anthony, Frederikke Dahl Hansen, Sebastian Armesto, Olivia Grant, Baard Owe, Mille Dinesen, Martin Hestbæk, Tamzin Merchant","Canada, United States, Denmark","June 10, 2021",TV-MA,99 min,"Dramas, Independent Movies, Romantic Movies","Philandering his way across Europe to find the grandfather he's never met, William unexpectedly befriends a 14-year-old who changes how he sees women."
436,tm152904,Tom Segura: Completely Normal,MOVIE,2014,,74,"['comedy', 'documentation']",['US'],,tt3500822,7.7,2777.0,3.574,7.2,Jay Chapman,Tom Segura,United States,"July 13, 2017",TV-MA,74 min,Stand-Up Comedy,Levelheaded stand-up Tom Segura shares offhand appraisals on hotels and opens up about his hobbies and digestive ailments in this comedy special.
437,ts42168,Resurrection: Ertugrul,SHOW,2014,TV-14,57,"['action', 'drama', 'war', 'history']",['TR'],5.0,tt4320258,7.9,37851.0,40.129,7.62,,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",Turkey,"September 22, 2021",TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land."
438,ts20014,Sailor Moon Crystal,SHOW,2014,TV-14,24,"['animation', 'scifi', 'romance', 'action', 'comedy', 'drama', 'fantasy', 'family']",['JP'],4.0,tt0114327,7.8,2239.0,28.136,8.151,,"Kotono Mitsuishi, Hisako Kanemoto, Rina Satou, Ami Koshimizu, Shizuka Ito, Ryo Hirohashi, Kenji Nojima, Misa Watanabe",,"July 1, 2021",TV-Y7,3 Seasons,"Anime Series, Kids' TV","Middle schooler Usagi Tsukino and her friends learn that they have the power to transform into Sailor Guardians, protecting the world from darkness."
439,tm157681,Eyes of a Thief,MOVIE,2014,,98,['drama'],['PS'],,tt2993406,6.5,471.0,1.441,5.375,Najwa Najjar,"Khaled Abol El Naga, Souad Massi, Suhail Haddad, Malak Ermileh, Maisa Abd Elhadi, Walid Abdul Salam, Nisreen Faour, Areen Omari",", France, Algeria","July 30, 2021",TV-14,103 min,"Dramas, Independent Movies, International Movies","After a decade in prison, a Palestinian man with a dark secret returns to the West Bank and searches for the daughter he lost long ago."
440,tm144121,Get on Up,MOVIE,2014,PG-13,139,"['music', 'drama']",['US'],,tt2473602,6.9,25251.0,11.766,6.785,Tate Taylor,"Chadwick Boseman, Nelsan Ellis, Dan Aykroyd, Viola Davis, Lennie James, Fred Melamed, Craig Robinson, Jill Scott, Octavia Spencer, Jacinte Blankenship","United Kingdom, United States","March 16, 2021",PG-13,139 min,"Dramas, Music & Musicals",Music legend James Brown makes a turbulent journey from humble origins to superstardom as the Godfather of Soul in this biopic starring Chadwick Boseman.
441,tm149541,D.L. Hughley: Clear,MOVIE,2014,,59,['comedy'],['US'],,tt3589494,6.8,267.0,1.576,6.6,Jay Chapman,D.L. Hughley,United States,"July 13, 2017",TV-MA,59 min,Stand-Up Comedy,"In this 2014 standup special filmed in San Francisco, comedic genius D.L. Hughley entertains with his hilarious take on current affairs and more."
442,tm177357,Turbo,MOVIE,2013,PG,96,"['animation', 'sport', 'scifi', 'comedy', 'family']",['US'],,tt1860353,6.4,101046.0,27.106,6.17,David Soren,"Ben Schwartz, Bill Hader, Luis Guzmán, Snoop Dogg, Paul Giamatti, Ryan Reynolds, Maya Rudolph, Ken Jeong, Samuel L. Jackson, Michael Peña, Michelle Rodriguez, Richard Jenkins, Kurtwood Smith, Luis Guzman",United States,"September 12, 2019",PG,96 min,"Children & Family Movies, Comedies",A speed-obsessed snail who dreams of being the world's greatest race car driver gets his chance when an accident imbues him with high-octane speed.
443,tm165967,Mandela: Long Walk to Freedom,MOVIE,2013,,139,"['drama', 'history']","['GB', 'ZA']",,tt2304771,7.1,28359.0,11.231,6.853,Justin Chadwick,"Idris Elba, Naomie Harris, Tony Kgoroge, Riaad Moosa, Zolani Mkiva, Simo Mogwaza, Fana Mokoena, Thapelo Mokoena, Jamie Bartlett, Deon Lotz, Terry Pheto, Mark Elderkin","United Kingdom, South Africa, France","March 29, 2021",PG-13,141 min,"Dramas, International Movies",This in-depth biopic portrays groundbreaking South African leader Nelson Mandela's fight against political oppression and virulent racism.
444,ts20709,Yowamushi Pedal,SHOW,2013,TV-14,25,"['animation', 'drama', 'comedy', 'sport']",['JP'],5.0,tt2942228,7.7,893.0,47.29,7.0,,"Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama",Japan,"September 14, 2021",TV-14,1 Season,"Anime Series, International TV Shows","A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent."
