,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,director,cast,country,date_added,rating,duration,listed_in,description
0,ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,51,['documentation'],['US'],1.0,,,,0.601,,,,United States,"February 9, 2021",TV-MA,1 Season,TV Shows,"This collection includes 12 World War II-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""Five Came Back."""
1,tm82169,Rocky,MOVIE,1976,PG,119,"['drama', 'sport']",['US'],,tt0075148,8.1,587499.0,99.713,7.783,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, Thayer David, Joe Spinell, Jimmy Gambina, Bill Baldwin",United States,"August 1, 2019",PG,120 min,"Action & Adventure, Classic Movies, Dramas","Sylvester Stallone shot to fame as Rocky Balboa, an unknown fighter who's given a shot at fighting world champ Apollo Creed as a publicity stunt."
2,tm17823,Grease,MOVIE,1978,PG,110,"['comedy', 'romance']",['US'],,tt0077631,7.2,283206.0,33.16,7.406,Randal Kleiser,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway, Barry Pearl, Michael Tucci, Kelly Ward, Didi Conn, Jamie Donnelly, Dinah Manoff, Eve Arden, Dody Goodman, Sid Caesar, Joan Blondell, Frankie Avalon",United States,"November 1, 2019",PG,110 min,"Classic Movies, Comedies, Music & Musicals",John Travolta and Olivia Newton-John star in this hit musical comedy about a greaser and the good girl he falls for – much to his friends' chagrin.
3,tm69975,Rocky II,MOVIE,1979,PG,119,"['drama', 'sport']",['US'],,tt0079817,7.3,215929.0,74.191,7.2,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, Tony Burton, Joe Spinell, Leonard Gaines, John Pleshette, Sylvia Meals",United States,"August 1, 2019",PG,119 min,"Dramas, Sports Movies","Featuring a rousing climax, this engaging sequel finds boxer Rocky Balboa returning to the ring for a rematch against reigning champ Apollo Creed."
4,tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['fantasy', 'comedy']",['GB'],,tt0071853,8.2,547146.0,20.964,7.804,"Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin, Connie Booth, Carol Cleveland, Neil Innes",United Kingdom,"January 2, 2019",PG,92 min,"Action & Adventure, Classic Movies, Comedies",The Monty Python comedy clan skewers King Arthur and his Knights of the Round Table as they quest far and wide for the Holy Grail.
5,ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,tt0063929,8.8,75623.0,24.773,8.258,,"John Cleese, Graham Chapman, Terry Jones, Eric Idle, Michael Palin, Terry Gilliam",United Kingdom,"October 2, 2018",TV-14,4 Seasons,"British TV Shows, Classic & Cult TV, International TV Shows","The Monty Python players make their mark with a winning mix of wit, ingenuity and brilliant timing – and a penchant for mockery and cross-dressing."
6,tm16479,White Christmas,MOVIE,1954,,120,"['comedy', 'music', 'romance']",['US'],,tt0047673,7.5,46580.0,11.598,7.2,Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, Dean Jagger, Mary Wickes, John Brascia, Anne Whitfield, George Chakiris",United States,"November 15, 2020",TV-G,120 min,"Children & Family Movies, Classic Movies, Comedies","Two war buddies fall for two sisters and follow the girls to a resort owned by their former commanding officer, who is in danger of losing the place."
7,tm135083,Cairo Station,MOVIE,1958,,77,"['drama', 'comedy', 'crime']",['EG'],,tt0051390,7.5,4876.0,7.372,7.4,Youssef Chahine,"Farid Shawqy, Hind Rostom, Youssef Chahine, Hassan el Baroudi, Abdel Aziz Khalil, Naima Wasfy, Said Khalil, Abdel Ghani Nagdi",Egypt,"June 18, 2020",TV-14,73 min,"Classic Movies, Dramas, International Movies",A Cairo newsstand vendor's fantasies morph into a dangerous fixation with a lemonade seller as a serial killer begins terrorizing the city.
8,tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],,tt0079807,8.1,5141.0,7.266,7.432,Jeff Margolis,Richard Pryor,United States,"December 1, 2016",TV-MA,79 min,Stand-Up Comedy,"Richard Pryor's classic 1979 concert film has him discussing a wide range of topics, including race, the police and his favorite target – himself."
9,tm16812,Bandie,MOVIE,1978,,141,"['drama', 'romance', 'action']",['IN'],,tt1219315,4.8,37.0,1.862,6.0,Alo Sarkar,"Uttam Kumar, Sulakshana Pandit, Utpal Dutt, Bindu, Amjad Khan, Helen, Indrani Mukherjee, Padma Khanna, Iftekhar",India,"November 1, 2017",TV-PG,141 min,"Action & Adventure, Dramas, International Movies","Heirless Maharaj Brajbhan leaves his throne to his cousin Vikram, but when Brajbhan's wife, Badi Rani, finally conceives, Vikram plots to destroy her."
10,tm75975,Prince,MOVIE,1969,,152,['romance'],['IN'],,tt0064842,6.8,199.0,2.45,7.0,Lekh Tandon,"Shammi Kapoor, Vyjayantimala, Rajendra Nath, Ajit, Helen, Leela Chitnis, Parveen Choudhary, Sudhir, Sunder, Rashid Khan",India,"June 1, 2017",TV-PG,152 min,"Dramas, International Movies, Romantic Movies","To better himself, a spoiled prince temporarily assumes a commoner’s identity. But he soon learns his palace has been gifted to his father’s new wife."
11,tm156453,FTA,MOVIE,1972,R,97,"['documentation', 'music', 'comedy']",['US'],,tt0068562,6.4,433.0,1.833,6.1,Francine Parker,"Jane Fonda, Donald Sutherland, Pamela Donegan, Len Chandler, Michael Alaimo, Holly Near, Paul Mooney, Rita Martinson",United States,"June 15, 2021",TV-MA,104 min,Documentaries,"The restored documentary captures the Pacific leg of the 1971 anti-Vietnam War ""Free the Army"" comedy tour and experiences on both sides of the stage."
12,ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,['comedy'],[],1.0,tt0202477,8.1,2199.0,1.475,7.0,,"Graham Chapman, John Cleese, Eric Idle, Terry Jones, Michael Palin, Connie Booth","United Kingdom, West Germany","October 2, 2018",TV-MA,1 Season,"International TV Shows, TV Comedies","The Pythons elevate the absurd to new heights and bring their sketches to German TV, working in phonetic German, at times with an Australian accent."
13,tm71909,Amrapali,MOVIE,1966,,120,['fantasy'],['IN'],,tt0060104,6.7,251.0,2.805,6.3,Lekh Tandon,"Vyjayantimala, Sunil Dutt, Prem Nath, Bipin Gupta, Gajanan Jagirdar, Zul Vellani, K.N. Singh, Randhir",India,"July 1, 2017",TV-PG,116 min,"Dramas, International Movies, Music & Musicals","In the age of Buddha and his philosophy of nonviolence, a warmonger king plots the destruction of an enemy kingdom to rescue the woman he loves."
14,tm100027,Alibaba Aur 40 Chor,MOVIE,1980,,138,"['drama', 'action', 'romance', 'fantasy', 'family']","['SU', 'IN']",,tt0079749,6.2,597.0,3.466,6.8,"Latif Faiziyev, Umesh Mehra","Dharmendra, Hema Malini, Zeenat Aman, Rolan Bykov, Prem Chopra, Yakub Akhmedov, Madan Puri, Sofiko Chiaureli","Soviet Union, India","January 15, 2018",TV-14,147 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy",A simple village man is thrown into a web of political intrigue after he takes on a powerful and ruthless gang of bandits.
15,tm107372,Manoranjan,MOVIE,1974,,162,"['romance', 'comedy', 'drama']",['IN'],,tt0071811,6.5,258.0,1.48,5.3,Shammi Kapoor,"Sanjeev Kumar, Zeenat Aman, Shammi Kapoor, Dev Kumar, Madan Puri, Paintal, Asit Kumar Sen, Agha, Murad, Shefali",India,"September 1, 2017",TV-14,162 min,"Comedies, International Movies, Music & Musicals","After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets."
16,tm10204,Professor,MOVIE,1962,,163,"['drama', 'romance', 'comedy']",['IN'],,tt0056379,6.9,310.0,1.911,5.8,Lekh Tandon,"Shammi Kapoor, Kalpana, Lalita Pawar, Parveen Choudhary, Salim, Pratima Devi, Rashid Khan, Bir Sakuja, Bela Bose, Ratnamala",India,"July 1, 2017",TV-PG,163 min,"Comedies, Dramas, International Movies",A college grad in need of money must disguise himself as an old man to tutor two young women who are under the watchful eye of their strict aunt.
17,tm336403,Khoon Khoon,MOVIE,1973,,131,"['crime', 'drama', 'thriller']",['IN'],,tt0230412,5.3,50.0,2.46,3.8,Mohammed Hussain,"Danny Denzongpa, Mahendra Sandhu, Rekha, Faryal, Helen, Jagdeep",India,"September 1, 2017",TV-14,132 min,"Action & Adventure, International Movies","As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of “Dirty Harry.”"
18,tm204541,Dark Waters,MOVIE,1956,,120,"['drama', 'romance', 'thriller']",['EG'],,tt0049761,6.7,704.0,2.999,5.556,Youssef Chahine,"Faten Hamama, Omar Sharif, Ahmed Ramzy, Hussein Riad, Ferdoos Mohammed, Aziza Helmy, Tawfik El Deken",Egypt,"June 18, 2020",TV-14,104 min,"Classic Movies, Dramas, International Movies","A fisherman returns home after a three-year absence only to find the woman he loves drifting away, the sailors feuding and his community unraveling."
19,tm19608,The Blazing Sun,MOVIE,1954,,100,"['drama', 'romance', 'crime']",['EG'],,tt0044429,7.4,1219.0,2.854,6.865,Youssef Chahine,"Omar Sharif, Faten Hamama, Zaki Rostom, Farid Shawqy, Abdel-Wareth Asar, Menassa Fahmy, Abdelghany Kamar, Hamdy Gheith, Mohsen Hassanein, Rafeaa El Shal",Egypt,"June 18, 2020",TV-14,116 min,"Classic Movies, Dramas, International Movies",Competition between sugar cane producers turns deadly after a greedy landlord conspires against an agricultural engineer who falls for his daughter.
20,tm123613,Salaakhen,MOVIE,1975,,133,"['action', 'thriller']",['IN'],,tt0395743,5.8,78.0,2.192,6.7,A. Salaam,"Shashi Kapoor, Sulakshana Pandit, Mehmood, Sudhir, Anjana Mumtaz, Sajjan, M. Rajan, Mac Mohan, Amrish Puri, Ramesh Deo",India,"April 1, 2017",TV-14,134 min,"Action & Adventure, International Movies, Music & Musicals","Two close childhood friends take drastically different paths in life, but meet by chance years later and fall in love, unaware of their past bond."
21,tm81728,The Land,MOVIE,1970,,129,['drama'],['EG'],,tt0064038,8.0,2188.0,2.185,8.4,Youssef Chahine,"Hamdy Ahmed, Nagwa Ibrahim, Ezzat El Alaili, Tawfik El Deken, Yehia Chahine, Mahmoud El Meleigy, Salah El-Saadany, Ali El Sherif",Egypt,"June 18, 2020",TV-MA,130 min,"Classic Movies, Dramas, International Movies",A group of peasant farmers fights to protect their village against a corrupt landowner. Adapted from the popular novel by Abdel Rahman al-Sharqawi.
22,tm1054462,The Land,MOVIE,2021,,103,"['comedy', 'drama']",['PL'],,tt14345386,6.2,542.0,1.629,5.3,Youssef Chahine,"Hamdy Ahmed, Nagwa Ibrahim, Ezzat El Alaili, Tawfik El Deken, Yehia Chahine, Mahmoud El Meleigy, Salah El-Saadany, Ali El Sherif",Egypt,"June 18, 2020",TV-MA,130 min,"Classic Movies, Dramas, International Movies",A group of peasant farmers fights to protect their village against a corrupt landowner. Adapted from the popular novel by Abdel Rahman al-Sharqawi.
23,tm259684,Whispers,MOVIE,1980,,93,['documentation'],"['CA', 'FR', 'LB']",,tt0170803,7.8,80.0,1.289,5.0,Maroun Baghdadi,"Nadia Tueni, Ziad Rahbani","Lebanon, Canada, France","October 19, 2020",TV-14,93 min,"Documentaries, International Movies","With her home devastated by war, a Lebanese poet takes a cross-country road trip, looking for glimmers of hope through nostalgic memories and verse."
24,ts241460,Whispers,SHOW,2020,TV-PG,39,"['drama', 'thriller']",['SA'],2.0,,,,1.824,6.8,Maroun Baghdadi,"Nadia Tueni, Ziad Rahbani","Lebanon, Canada, France","October 19, 2020",TV-14,93 min,"Documentaries, International Movies","With her home devastated by war, a Lebanese poet takes a cross-country road trip, looking for glimmers of hope through nostalgic memories and verse."
25,tm321219,Elaan,MOVIE,1971,,142,"['action', 'drama', 'thriller']",['IN'],,tt0367695,5.8,81.0,1.115,6.0,K. Ramanlal,"Vinod Mehra, Rekha, Vinod Khanna, Helen, Madan Puri, Brahm Bhardwaj",India,"April 1, 2017",TV-14,143 min,"Action & Adventure, Cult Movies, International Movies","Journalist Naresh is hired to probe illegal activities on an island. When he's captured, a fellow prisoner gives him a ring with magic powers."
26,tm344089,Lal Patthar,MOVIE,1971,,153,['drama'],['IN'],,tt0237395,6.1,147.0,0.963,7.0,Sushil Majumdar,"Raaj Kumar, Hema Malini, Rakhee Gulzar, Vinod Mehra, Asit Kumar Sen, Paintal, Dulari, Chandramohan, Sujata Bakshi, Meena T.",India,"July 1, 2017",TV-14,153 min,"Classic Movies, Dramas, International Movies","A vain, self-righteous nobleman falls in love with a village girl and tries to transform her into his version of the ideal woman."
27,tm120386,Labyrinth,MOVIE,1986,PG,101,"['fantasy', 'family', 'european']","['GB', 'US']",,tt0091369,7.3,141067.0,20.124,7.272,Jim Henson,"David Bowie, Jennifer Connelly, Frank Oz, Kevin Clash, Anthony Asbury, Dave Goelz, Brian Henson, Ron Mueck, Karen Prell, Shari Weiser","United Kingdom, United States","September 1, 2021",PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies","In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
28,tm131198,Rocky IV,MOVIE,1985,PG-13,91,"['drama', 'sport']",['US'],,tt0089927,6.8,211379.0,77.84,7.1,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Dolph Lundgren, Brigitte Nielsen, Tony Burton, Michael Pataki",United States,"August 1, 2019",PG,92 min,"Dramas, Sports Movies","Rocky Balboa takes on the Cold War, coming out of retirement to battle a Soviet fighter who pulverized Rocky's friend and former rival, Apollo Creed."
29,tm48779,Rocky III,MOVIE,1982,PG,99,"['drama', 'sport']",['US'],,tt0084602,6.8,196963.0,57.983,6.9,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, Tony Burton, Mr. T, Hulk Hogan, Ian Fried",United States,"August 1, 2019",PG,100 min,"Dramas, Sports Movies","After taking a pounding from a powerful young fighter, humbled world champ Rocky Balboa turns to ex-rival Apollo Creed for help in regaining his form."
30,tm155460,Rocky V,MOVIE,1990,PG-13,104,"['drama', 'sport']",['US'],,tt0100507,5.3,141460.0,49.018,5.8,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, Richard Gant, Tommy Morrison, Sage Stallone, Burgess Meredith, Tony Burton",United States,"August 1, 2019",PG-13,104 min,"Dramas, Sports Movies","Inspired by the memory of his trainer, a broke and seemingly careerless Rocky finds glory in training and takes on an up-and-coming boxer."
31,tm117580,She's Gotta Have It,MOVIE,1986,R,84,"['romance', 'comedy']",['US'],,tt0091939,6.8,15188.0,9.362,6.7,,"DeWanda Wise, Cleo Anthony, Lyriq Bent, Anthony Ramos, Chyna Layne, Margot Bingham, Ilfanesh Hadera, Elvis Nolasco, De'Adre Aziza",United States,"May 24, 2019",TV-MA,2 Seasons,"Romantic TV Shows, TV Comedies, TV Dramas",Nola Darling struggles to stay true to herself and her dreams while juggling three lovers in this Spike Lee series based on his breakout film.
32,ts58175,She's Gotta Have It,SHOW,2017,TV-MA,35,['comedy'],['US'],2.0,tt3713588,6.9,4840.0,12.839,6.382,,"DeWanda Wise, Cleo Anthony, Lyriq Bent, Anthony Ramos, Chyna Layne, Margot Bingham, Ilfanesh Hadera, Elvis Nolasco, De'Adre Aziza",United States,"May 24, 2019",TV-MA,2 Seasons,"Romantic TV Shows, TV Comedies, TV Dramas",Nola Darling struggles to stay true to herself and her dreams while juggling three lovers in this Spike Lee series based on his breakout film.
33,tm24110,Strange Voices,MOVIE,1987,,100,['drama'],['US'],,tt0094052,6.2,388.0,1.219,6.8,Arthur Allan Seidelman,"Nancy McKeon, Valerie Harper, Stephen Macht, Tricia Leigh Fisher, Millie Perkins",United States,"October 1, 2011",TV-PG,96 min,Dramas,"When their college-age daughter suddenly begins acting erratically and is diagnosed with schizophrenia, a desperate couple seeks treatment for her."
34,ts2760,Fireman Sam,SHOW,1987,TV-Y,10,"['comedy', 'crime', 'animation', 'family', 'european']",['GB'],13.0,tt0329829,6.1,1873.0,50.615,6.826,,"Steven Kynman, David Carling, Tegwen Tucker, Su Douglas, Andrew Hodwitz, Dave Pender, Lily Cassano, Carter Treneer, Sarah Lynn Strange",United Kingdom,"October 15, 2020",TV-Y,4 Seasons,"British TV Shows, Kids' TV","Sharing valuable lessons in fire safety for preschoolers, Fireman Sam and his animated crew from Pontypandy, Wales, are ready for any emergency."
35,tm157853,In Defense of a Married Man,MOVIE,1990,,94,"['drama', 'crime']",['US'],,tt0099396,5.5,220.0,2.033,5.0,Joel Oliansky,"Judith Light, Michael Ontkean, Jerry Orbach, Pat Corley, Nicholas Campbell, John Colicos, Cynthia Sikes, Johnny Galecki",United States,"October 1, 2011",TV-14,94 min,Dramas,"A lawyer's husband is having an affair. When his mistress is found dead, he becomes the prime suspect – and his wife must take charge of his defense."
36,tm127515,The Four Seasons,MOVIE,1981,PG,107,"['comedy', 'drama']",['US'],,tt0082405,6.8,5085.0,5.979,6.3,Alan Alda,"Alan Alda, Carol Burnett, Len Cariou, Sandy Dennis, Rita Moreno, Jack Weston, Bess Armstrong, Elizabeth Alda, Beatrice Alda",United States,"June 2, 2021",PG,108 min,"Comedies, Romantic Movies","Three middle-aged couples vacation together every season until one of the men ditches his wife for a younger woman, tilting the group's dynamics."
37,tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,,72,['comedy'],['GB'],,tt0213984,8.1,1556.0,1.775,7.1,Ian MacNaughton,"Steve Martin, John Cleese, Graham Chapman, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Carol Cleveland, Connie Booth",United Kingdom,"October 2, 2018",TV-14,72 min,Comedies,"Presented by Steve Martin, this anthology draws from “Flying Circus” and “Fliegender Zirkus” to mark the 20th anniversary of the TV series."
38,tm52274,The Little Wars,MOVIE,1983,,108,"['drama', 'war', 'european']","['FR', 'LB']",,tt0084492,6.4,161.0,2.691,5.5,Maroun Baghdadi,"Soraya Khoury, Nabil Ismaïl, Roger Hawa, Reda Khoury, Youcef Hosni, Rifaat Tarabay","France, Lebanon","October 19, 2020",TV-14,108 min,"Dramas, Independent Movies, International Movies","Beirut resident Soraya is drawn to two men: daredevil photographer Nabil and Talal, who must embrace his feudal heritage when his father is kidnapped."
39,tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,R,144,"['animation', 'action', 'drama', 'scifi', 'war']",['JP'],,tt0159511,7.6,1322.0,11.016,7.561,"Yoshiyuki Tomino, Yoshikazu Yasuhiko","Toru Furuya, Shuichi Ikeda, Hirotaka Suzuoki, Rumiko Ukai, Fuyumi Shiraishi, Yo Inoue, Toshio Furukawa, Kiyonobu Suzuki, Keiko Toda, Keiko Han, Makio Inoue",,"June 19, 2021",TV-MA,140 min,"Action & Adventure, Anime Features, International Movies",The Earth Federation prepares to take the war into the Duchy of Zeon's home territory. Veteran pilot Amuro Ray returns to space for the final battle.
40,ts987,Danger Mouse,SHOW,1981,TV-Y,14,"['animation', 'action', 'comedy', 'family', 'scifi', 'european']",['GB'],10.0,tt0081848,7.4,3677.0,6.517,7.2,,"Alexander Armstrong, Kevin Eldon, Stephen Fry, Ed Gaughan, Shauna Macdonald, Dave Lamb, Morwenna Banks",United Kingdom,"November 9, 2016",TV-Y7,2 Seasons,"British TV Shows, Kids' TV",The world's greatest super-spy returns to save the world with the help of hapless hamster Penfold and a collection of state-of-the-art gadgetry.
41,ts37779,Danger Mouse,SHOW,2015,,12,"['animation', 'comedy', 'crime', 'family', 'fantasy', 'scifi', 'action', 'european']",['GB'],2.0,tt4196822,7.1,639.0,8.303,6.455,,"Alexander Armstrong, Kevin Eldon, Stephen Fry, Ed Gaughan, Shauna Macdonald, Dave Lamb, Morwenna Banks",United Kingdom,"November 9, 2016",TV-Y7,2 Seasons,"British TV Shows, Kids' TV",The world's greatest super-spy returns to save the world with the help of hapless hamster Penfold and a collection of state-of-the-art gadgetry.
42,tm147829,Unspeakable Acts,MOVIE,1990,,100,['drama'],['US'],,tt0100848,6.1,494.0,2.641,5.3,Linda Otto,"Jill Clayburgh, Brad Davis, Sam Behrens",United States,"October 1, 2011",TV-14,95 min,Dramas,Laurie and Joseph are doctors who interview sexually abused children. With a lot of energy they track down a pedophile who has abused many toddlers.
43,tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,PG-13,135,"['animation', 'action', 'drama', 'scifi', 'war']",['JP'],,tt0159510,7.2,1378.0,10.359,7.291,"Yoshiyuki Tomino, Yoshikazu Yasuhiko","Toru Furuya, Shuichi Ikeda, Hirotaka Suzuoki, Rumiko Ukai, Fuyumi Shiraishi, Yo Inoue, Toshio Furukawa, Kiyonobu Suzuki, Keiko Toda, Shozo Iizuka",,"June 19, 2021",TV-14,133 min,"Action & Adventure, Anime Features, International Movies","The Earth Federation warship White Base and its Gundam pilot Amuro Ray struggle to make it back through enemy territory, pursued by Zeon's warriors."
44,tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,,124,"['animation', 'action', 'drama', 'scifi', 'war']",['JP'],,tt0095262,7.3,1821.0,8.869,6.907,Yoshiyuki Tomino,"Toru Furuya, Shuichi Ikeda, Hirotaka Suzuoki, Yoshiko Sakakibara, Fuyumi Shiraishi, Maria Kawamura, Mitsuki Yayoi, Nozomu Sasaki, Koichi Yamadera, Kazue Ikura, Shinobu Adachi, Keiko Han",,"June 19, 2021",TV-14,120 min,"Action & Adventure, Anime Features, International Movies","Thirteen years after the war, the Neo Zeon army threatens the peace. Armed with the Nu Gundam, Amuro Ray and Federation forces take the field once more."
45,tm159912,Agneepath,MOVIE,1990,,174,"['action', 'drama', 'crime']",['IN'],,tt0098999,7.6,9141.0,8.555,6.4,Mukul Anand,"Amitabh Bachchan, Mithun Chakraborty, Danny Denzongpa, Madhavi, Neelam, Alok Nath, Rohini Hattangadi, Tinnu Anand, Vikram Gokhale, Archana Puran Singh",India,"April 1, 2020",TV-14,174 min,"Dramas, International Movies","A boy grows up to become a gangster in pursuit of the mobster who killed his innocent father, but revenge and reparation may come at great costs."
46,tm137013,The Ryan White Story,MOVIE,1989,,102,['drama'],['US'],,tt0098237,7.2,902.0,2.683,6.308,John Herzfeld,"Judith Light, Lukas Haas, Michael Bowen, Nikki Cox, George Dzundza, Valerie Landsburg, Sarah Jessica Parker, Mitchell Ryan",United States,"October 1, 2011",TV-PG,94 min,Dramas,"After contracting HIV from a tainted blood treatment, teenaged hemophiliac Ryan White is forced to fight for his right to attend public school."
47,tm52815,Disco Dancer,MOVIE,1982,,134,"['drama', 'romance']",['IN'],,tt0208903,6.4,1545.0,6.019,5.45,B. Subhash,"Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan",India,"October 12, 2020",TV-14,134 min,"Cult Movies, Dramas, International Movies","A poor boy grows up to be a famous disco dancer, hoping to use his art to exact revenge on the millionaire who once framed him and his mother for theft."
48,tm94651,Dostana,MOVIE,1982,,161,"['drama', 'comedy', 'romance', 'action', 'crime']",['IN'],,tt0080653,1.7,26.0,5.947,6.1,Tarun Mansukhani,"Abhishek Bachchan, John Abraham, Priyanka Chopra, Bobby Deol, Kiron Kher, Sushmita Mukherjee, Shrey Bawa, Boman Irani","India, United States","April 1, 2020",TV-14,142 min,"Comedies, Dramas, International Movies","To win over a landlady who only accepts women as tenants, two men pose as a couple – but the jig may be up when they both fall for their flatmate."
49,tm54147,Dostana,MOVIE,2008,PG-13,145,"['drama', 'comedy', 'romance']","['US', 'IN']",,tt1185420,6.5,15479.0,5.856,6.2,Tarun Mansukhani,"Abhishek Bachchan, John Abraham, Priyanka Chopra, Bobby Deol, Kiron Kher, Sushmita Mukherjee, Shrey Bawa, Boman Irani","India, United States","April 1, 2020",TV-14,142 min,"Comedies, Dramas, International Movies","To win over a landlady who only accepts women as tenants, two men pose as a couple – but the jig may be up when they both fall for their flatmate."
50,tm446654,Mujrim,MOVIE,1989,,162,"['drama', 'action', 'crime']",['IN'],,tt0097926,5.5,231.0,5.599,8.0,Umesh Mehra,"Mithun Chakraborty, Madhuri Dixit, Suresh Oberoi, Shakti Kapoor, Pallavi Joshi, Gulshan Grover, Amrish Puri, Nutan, Jagdeep, Sharat Saxena",India,"September 1, 2017",TV-14,163 min,"Action & Adventure, Dramas, International Movies","Jailed as a teenager, Shankar has been unable to stay on the right side of the law ever since, despite his wife's pleas and his mother's rejection."
51,tm172482,Sohni Mahiwal,MOVIE,1985,,160,"['drama', 'action', 'romance']",['IN'],,tt0152509,6.1,297.0,5.41,6.2,"Latif Faiziyev, Umesh Mehra","Zeenat Aman, Pran, Tanuja, Poonam Dhillon","India, Soviet Union","September 1, 2017",TV-14,160 min,"Dramas, International Movies, Romantic Movies","After being violently separated from the woman he loves, a young man must disguise himself in order to keep meeting her."
52,tm157603,Dil,MOVIE,1990,,172,"['comedy', 'romance', 'drama']",['IN'],,tt0099429,6.6,5465.0,3.882,6.5,Indra Kumar,"Aamir Khan, Madhuri Dixit, Saeed Jaffrey, Deven Verma, Anupam Kher, Shammi, Padma Rani, Rajesh Puri, Satyendra Kapoor",India,"October 12, 2020",TV-14,165 min,"Comedies, Dramas, International Movies",A miser’s scheme to set his son up with a millionaire’s daughter backfires when the two actually fall in love — just as his sly charade is revealed.
53,tm348735,Aakhri Adaalat,MOVIE,1988,,148,"['crime', 'action', 'thriller']",['IN'],,tt0177505,5.4,103.0,3.128,5.0,Rajiv Mehra,"Vinod Khanna, Dimple Kapadia, Jackie Shroff, Sonam, Vinod Mehra, Shafi Inamdar, Gulshan Grover, Roopesh Kumar",India,"September 1, 2017",TV-14,148 min,"Action & Adventure, International Movies",An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.
54,tm411457,Pyar Ke Do Pal,MOVIE,1986,,153,"['action', 'drama']",['IN'],,tt0358053,6.2,77.0,2.694,10.0,Rajiv Mehra,"Mithun Chakraborty, Jayapradha, Simple Kapadia, Krishan Dhawan, Jagdeep, Bindu, Satyendra Kapoor, Shubha Khote, Amrit Pal, Lalita Pawar",India,"January 15, 2018",TV-14,153 min,"Dramas, International Movies, Music & Musicals","Twins separated by a court order meet at camp and decide to reunite their parents, unaware of the dark secret that drove them apart years before."
55,tm371359,Jaal,MOVIE,1986,,159,"['drama', 'action', 'thriller']",['IN'],,tt0239495,5.2,140.0,2.034,6.7,Umesh Mehra,"Jeetendra, Mithun Chakraborty, Rekha, Mandakini, Moon Moon Sen, Vinod Mehra, Tanuja, Amrit Pal",India,"December 8, 2017",TV-14,162 min,"Action & Adventure, International Movies","When a mysterious woman hires Shankar to spy on a family, he must determine how his own father's abandonment figures into the situation."
56,tm342996,Duniya,MOVIE,1984,,170,"['action', 'drama']",['IN'],,tt0301231,6.4,265.0,1.947,10.0,Ramesh Talwar,"Dilip Kumar, Rishi Kapoor, Pran, Amrita Singh, Ashok Kumar, Prem Chopra, Amrish Puri, Satyen Kappu, Mac Mohan, Javed Khan",India,"April 1, 2020",TV-14,170 min,"Action & Adventure, Dramas, International Movies","A lawyer defends his childhood friend – and girlfriend's brother – in a murder case, unaware of his own deep connection to the attorney he’s up against."
57,tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,,100,['drama'],['US'],,tt0095945,7.2,149.0,1.93,8.0,Roy Campanella II,"Pam Dawber, Michael Nouri, Bess Meyer, Peter Berg, James Handy, Kyle Chandler",United States,"October 1, 2011",TV-PG,93 min,"Dramas, Sports Movies","When high school football coach Charlie Wedemeyer is diagnosed with Lou Gehrig's disease, he perseveres in leading his team despite becoming disabled."
