Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,19/08/2023 16:30,Carlo Castellani,Empoli,Hellas Verona,0 - 1
2,1,19/08/2023 16:30,Benito Stirpe,Frosinone,Napoli,1 - 3
3,1,19/08/2023 18:45,Luigi Ferraris,Genoa,Fiorentina,1 - 4
4,1,19/08/2023 18:45,San Siro,Inter,Monza,2 - 0
5,1,20/08/2023 16:30,Olimpico,Roma,Salernitana,2 - 2
6,1,20/08/2023 16:30,Mapei Stadium - Città del Tricolore,Sassuolo,Atalanta,0 - 2
7,1,20/08/2023 18:45,Ettore Giardiniero - Via del mare,Lecce,Lazio,2 - 1
8,1,20/08/2023 18:45,Friuli,Udinese,Juventus,0 - 3
9,1,21/08/2023 16:30,Olimpico Grande Torino,Torino,Cagliari,0 - 0
10,1,21/08/2023 18:45,Renato Dall'Ara,Bologna,Milan,0 - 2
11,2,26/08/2023 16:30,Benito Stirpe,Frosinone,Atalanta,2 - 1
12,2,26/08/2023 16:30,Brianteo,Monza,Empoli,2 - 0
13,2,26/08/2023 18:45,San Siro,Milan,Torino,4 - 1
14,2,26/08/2023 18:45,Marcantonio Bentegodi,Hellas Verona,Roma,2 - 1
15,2,27/08/2023 16:30,Artemio Franchi,Fiorentina,Lecce,2 - 2
16,2,27/08/2023 16:30,Juventus Stadium,Juventus,Bologna,1 - 1
17,2,27/08/2023 18:45,Olimpico,Lazio,Genoa,0 - 1
18,2,27/08/2023 18:45,Diego Armando Maradona,Napoli,Sassuolo,2 - 0
19,2,28/08/2023 16:30,Arechi,Salernitana,Udinese,1 - 1
20,2,28/08/2023 18:45,Unipol Domus,Cagliari,Inter,0 - 2
21,3,01/09/2023 16:30,Mapei Stadium - Città del Tricolore,Sassuolo,Hellas Verona,3 - 1
22,3,01/09/2023 18:45,Olimpico,Roma,Milan,1 - 2
23,3,02/09/2023 16:30,Renato Dall'Ara,Bologna,Cagliari,2 - 1
24,3,02/09/2023 16:30,Friuli,Udinese,Frosinone,0 - 0
25,3,02/09/2023 18:45,Atleti Azzurri d'Italia,Atalanta,Monza,3 - 0
