Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,19/09/2020 18:00,Artemio Franchi,Fiorentina,Torino,1 - 0
2,1,19/09/2020 20:45,Marcantonio Bentegodi,Hellas Verona,Roma,0 - 0
3,1,20/09/2020 12:30,Ennio Tardini,Parma,Napoli,0 - 2
4,1,20/09/2020 15:00,Luigi Ferraris,Genoa,Crotone,4 - 1
5,1,20/09/2020 18:00,Mapei Stadium,Sassuolo,Cagliari,1 - 1
6,1,20/09/2020 20:45,Allianz Stadium,Juventus,Sampdoria,3 - 0
7,1,21/09/2020 20:45,Giuseppe Meazza,Milan,Bologna,2 - 0
11,2,26/09/2020 15:00,Olimpico Grande Torino,Torino,Atalanta,2 - 4
12,2,26/09/2020 18:00,Sardegna Arena,Cagliari,Lazio,0 - 2
13,2,26/09/2020 18:00,Luigi Ferraris,Sampdoria,Benevento,2 - 3
14,2,26/09/2020 20:45,Giuseppe Meazza,Inter,Fiorentina,4 - 3
15,2,27/09/2020 12:30,Orogel Stadium,Spezia,Sassuolo,1 - 4
16,2,27/09/2020 15:00,Marcantonio Bentegodi,Hellas Verona,Udinese,1 - 0
17,2,27/09/2020 18:00,Diego Armando Maradona,Napoli,Genoa,6 - 0
18,2,27/09/2020 18:00,Ezio Scida,Crotone,Milan,0 - 2
19,2,27/09/2020 20:45,Olimpico,Roma,Juventus,2 - 2
20,2,28/09/2020 20:45,Renato Dall'Ara,Bologna,Parma,4 - 1
8,2,30/09/2020 18:00,Ciro Vigorito,Benevento,Inter,2 - 5
10,2,30/09/2020 18:00,Stadio Friuli,Udinese,Spezia,0 - 2
9,2,30/09/2020 20:45,Olimpico,Lazio,Atalanta,1 - 4
21,3,02/10/2020 20:45,Artemio Franchi,Fiorentina,Sampdoria,1 - 2
22,3,03/10/2020 15:00,Mapei Stadium,Sassuolo,Crotone,4 - 1
24,3,03/10/2020 20:45,Stadio Friuli,Udinese,Roma,0 - 1
25,3,04/10/2020 12:30,Gewiss Stadium,Atalanta,Cagliari,5 - 2
26,3,04/10/2020 15:00,Ciro Vigorito,Benevento,Bologna,1 - 0
27,3,04/10/2020 15:00,Olimpico,Lazio,Inter,1 - 1
28,3,04/10/2020 15:00,Ennio Tardini,Parma,Hellas Verona,1 - 0
