Match Number,Round Number,Date,Location,Home Team,Away Team,Result
129,13,06/11/2022 15:00,Luigi Ferraris,Sampdoria,Fiorentina,0 - 2
127,13,06/11/2022 18:00,Olimpico,Roma,Lazio,0 - 1
124,13,06/11/2022 20:45,Juventus Stadium,Juventus,Inter,2 - 0
137,14,08/11/2022 18:30,Diego Armando Maradona,Napoli,Empoli,2 - 0
139,14,08/11/2022 18:30,Alberto Picco,Spezia,Udinese,1 - 1
131,14,08/11/2022 20:45,Giovanni Zini,Cremonese,Milan,0 - 0
136,14,09/11/2022 18:30,Via del mare,Lecce,Atalanta,2 - 1
138,14,09/11/2022 18:30,Città del Tricolore,Sassuolo,Roma,1 - 1
132,14,09/11/2022 20:45,Artemio Franchi,Fiorentina,Salernitana,2 - 1
134,14,09/11/2022 20:45,San Siro,Inter,Bologna,6 - 1
140,14,09/11/2022 20:45,Olimpico Grande Torino,Torino,Sampdoria,2 - 0
133,14,10/11/2022 18:30,Marcantonio Bentegodi,Hellas Verona,Juventus,0 - 1
135,14,10/11/2022 20:45,Olimpico,Lazio,Monza,1 - 0
143,15,11/11/2022 20:45,Carlo Castellani,Empoli,Cremonese,2 - 0
148,15,12/11/2022 15:00,Diego Armando Maradona,Napoli,Udinese,3 - 2
150,15,12/11/2022 18:00,Luigi Ferraris,Sampdoria,Lecce,0 - 2
142,15,12/11/2022 20:45,Renato Dall'Ara,Bologna,Sassuolo,3 - 0
141,15,13/11/2022 12:30,Atleti Azzurri d'Italia,Atalanta,Inter,2 - 3
144,15,13/11/2022 15:00,Marcantonio Bentegodi,Hellas Verona,Spezia,1 - 2
147,15,13/11/2022 15:00,Brianteo,Monza,Salernitana,3 - 0
149,15,13/11/2022 15:00,Olimpico,Roma,Torino,1 - 1
146,15,13/11/2022 18:00,San Siro,Milan,Fiorentina,2 - 1
145,15,13/11/2022 20:45,Juventus Stadium,Juventus,Lazio,3 - 0
156,16,04/01/2023 12:30,Arechi,Salernitana,Milan,1 - 2
157,16,04/01/2023 12:30,Città del Tricolore,Sassuolo,Sampdoria,1 - 2
158,16,04/01/2023 14:30,Alberto Picco,Spezia,Atalanta,2 - 2
159,16,04/01/2023 14:30,Olimpico Grande Torino,Torino,Hellas Verona,1 - 1
154,16,04/01/2023 16:30,Via del mare,Lecce,Lazio,2 - 1
155,16,04/01/2023 16:30,Olimpico,Roma,Bologna,1 - 0
151,16,04/01/2023 18:30,Giovanni Zini,Cremonese,Juventus,0 - 1
152,16,04/01/2023 18:30,Artemio Franchi,Fiorentina,Monza,1 - 1
153,16,04/01/2023 20:45,San Siro,Inter,Napoli,1 - 0
160,16,04/01/2023 20:45,Friuli,Udinese,Empoli,1 - 1
162,17,07/01/2023 15:00,Artemio Franchi,Fiorentina,Sassuolo,2 - 1
164,17,07/01/2023 18:00,Juventus Stadium,Juventus,Udinese,1 - 0
167,17,07/01/2023 20:45,Brianteo,Monza,Inter,2 - 2
168,17,08/01/2023 12:30,Arechi,Salernitana,Torino,1 - 1
165,17,08/01/2023 15:00,Olimpico,Lazio,Empoli,2 - 2
170,17,08/01/2023 15:00,Alberto Picco,Spezia,Lecce,0 - 0
169,17,08/01/2023 18:00,Luigi Ferraris,Sampdoria,Napoli,0 - 2
166,17,08/01/2023 20:45,San Siro,Milan,Roma,2 - 2
163,17,09/01/2023 18:30,Marcantonio Bentegodi,Hellas Verona,Cremonese,2 - 0
161,17,09/01/2023 20:45,Renato Dall'Ara,Bologna,Atalanta,1 - 2
176,18,13/01/2023 20:45,Diego Armando Maradona,Napoli,Juventus,5 - 1
172,18,14/01/2023 15:00,Giovanni Zini,Cremonese,Monza,2 - 3
175,18,14/01/2023 18:00,Via del mare,Lecce,Milan,2 - 2
174,18,14/01/2023 20:45,San Siro,Inter,Hellas Verona,1 - 0
178,18,15/01/2023 12:30,Città del Tricolore,Sassuolo,Lazio,0 - 2
179,18,15/01/2023 15:00,Olimpico Grande Torino,Torino,Spezia,0 - 1
180,18,15/01/2023 15:00,Friuli,Udinese,Bologna,1 - 2
171,18,15/01/2023 18:00,Atleti Azzurri d'Italia,Atalanta,Salernitana,8 - 2
177,18,15/01/2023 20:45,Olimpico,Roma,Fiorentina,2 - 0
173,18,16/01/2023 20:45,Carlo Castellani,Empoli,Sampdoria,1 - 0
183,19,21/01/2023 15:00,Marcantonio Bentegodi,Hellas Verona,Lecce,2 - 0
188,19,21/01/2023 18:00,Arechi,Salernitana,Napoli,0 - 2
182,19,21/01/2023 20:45,Artemio Franchi,Fiorentina,Torino,0 - 1
189,19,22/01/2023 12:30,Luigi Ferraris,Sampdoria,Udinese,0 - 1
187,19,22/01/2023 15:00,Brianteo,Monza,Sassuolo,1 - 1
190,19,22/01/2023 18:00,Alberto Picco,Spezia,Roma,0 - 2
