Match Number,Round Number,Date,Location,Home Team,Away Team,Result
4,1,21/08/2021 18:30,Marcantonio Bentegodi,Hellas Verona,Sassuolo,2 - 3
5,1,21/08/2021 18:30,Giuseppe Meazza,Inter,Genoa,4 - 0
3,1,21/08/2021 20:45,Carlo Castellani,Empoli,Lazio,1 - 3
9,1,21/08/2021 20:45,Olimpico Grande Torino,Torino,Atalanta,1 - 2
1,1,22/08/2021 18:30,Renato Dall'Ara,Bologna,Salernitana,3 - 2
10,1,22/08/2021 18:30,Stadio Friuli,Udinese,Juventus,2 - 2
6,1,22/08/2021 20:45,Diego Armando Maradona,Napoli,Venezia,2 - 0
7,1,22/08/2021 20:45,Olimpico,Roma,Fiorentina,3 - 1
2,1,23/08/2021 18:30,Sardegna Arena,Cagliari,Spezia,2 - 2
8,1,23/08/2021 20:45,Luigi Ferraris,Sampdoria,Milan,0 - 1
20,2,27/08/2021 18:30,Stadio Friuli,Udinese,Venezia,3 - 0
14,2,27/08/2021 20:45,Marcantonio Bentegodi,Hellas Verona,Inter,1 - 3
11,2,28/08/2021 18:30,Gewiss Stadium,Atalanta,Bologna,0 - 0
16,2,28/08/2021 18:30,Olimpico,Lazio,Spezia,6 - 1
12,2,28/08/2021 20:45,Artemio Franchi,Fiorentina,Torino,2 - 1
15,2,28/08/2021 20:45,Allianz Stadium,Juventus,Empoli,0 - 1
13,2,29/08/2021 18:30,Luigi Ferraris,Genoa,Napoli,1 - 2
19,2,29/08/2021 18:30,Mapei Stadium,Sassuolo,Sampdoria,0 - 0
17,2,29/08/2021 20:45,Giuseppe Meazza,Milan,Cagliari,4 - 1
18,2,29/08/2021 20:45,Arechi,Salernitana,Roma,0 - 4
24,3,11/09/2021 15:00,Carlo Castellani,Empoli,Venezia,1 - 2
26,3,11/09/2021 18:00,Diego Armando Maradona,Napoli,Juventus,2 - 1
21,3,11/09/2021 20:45,Gewiss Stadium,Atalanta,Fiorentina,1 - 2
28,3,12/09/2021 12:30,Luigi Ferraris,Sampdoria,Inter,2 - 2
23,3,12/09/2021 15:00,Sardegna Arena,Cagliari,Genoa,2 - 3
29,3,12/09/2021 15:00,Stadio Alberto Picco,Spezia,Udinese,0 - 1
