Rank,Player,Team,Expected Assists per 90,Actual Assists per 90,Minutes,Matches,Country
88,Samuele Birindelli,Monza,0.11,0.1,2013,35,ITA
95,Tommaso Baldanzi,Roma,0.11,0.0,1259,27,ITA
96,Giorgos Kyriakopoulos,Monza,0.1,0.2,1716,28,GRE
96,Mergim Vojvoda,Torino,0.1,0.2,1372,28,KVX
98,Andre-Frank Zambo Anguissa,Napoli,0.1,0.1,2792,34,CMR
98,Benjamin Pavard,Internazionale,0.1,0.1,1677,23,FRA
98,Christian Kouamé,Fiorentina,0.1,0.1,1084,23,CIV
98,Fabio Miretti,Juventus,0.1,0.1,1104,25,ITA
98,Gianluca Gaetano,Cagliari,0.1,0.1,905,20,ITA
98,Hans Hateboer,Atalanta,0.1,0.1,1104,23,NED
98,Jonathan Ikoné,Fiorentina,0.1,0.1,1685,28,FRA
98,Lucas Beltran,Fiorentina,0.1,0.1,1694,32,ARG
98,Matteo Cancellieri,Empoli,0.1,0.1,1784,36,ITA
98,Nahitan Nández,Cagliari,0.1,0.1,2351,33,URU
98,Roberto Pereyra,Udinese,0.1,0.1,1862,27,ARG
109,Gabriel Strefezza,Lecce,0.1,0.0,1118,19,BRA
109,Giuseppe Pezzella,Empoli,0.1,0.0,1088,19,ITA
109,Nicolo Cambiaghi,Empoli,0.1,0.0,2562,37,ITA
109,Samuele Mulattieri,Sassuolo,0.1,0.0,441,27,ITA
113,Gianluca Scamacca,Atalanta,0.09,0.4,1459,29,ITA
114,Olivier Giroud,Milan,0.09,0.3,2372,35,FRA
115,Grigoris Kastanos,Salernitana,0.09,0.2,1486,26,CYP
115,Kristjan Asllani,Internazionale,0.09,0.2,771,23,ALB
115,Leandro Paredes,Roma,0.09,0.2,2644,34,ARG
115,M'Bala Nzola,Fiorentina,0.09,0.2,1545,33,ANG
115,Rolando Mandragora,Fiorentina,0.09,0.2,1584,33,ITA
115,Stephan El Shaarawy,Roma,0.09,0.2,1741,33,ITA
121,Charalambos Lykogiannis,Bologna,0.09,0.1,899,22,GRE
121,Emil Holm,Atalanta,0.09,0.1,948,22,SWE
121,Filippo Terracciano,Milan,0.09,0.1,1368,21,ITA
121,Jackson Tchatchoua,Verona,0.09,0.1,1725,26,CMR
121,Lewis Ferguson,Bologna,0.09,0.1,2718,31,SCO
121,Matias Vecino,Lazio,0.09,0.1,1135,31,URU
121,Matteo Guendouzi,Lazio,0.09,0.1,2370,33,FRA
121,Samuele Ricci,Torino,0.09,0.1,2400,32,ITA
129,Giovanni Simeone,Napoli,0.09,0.0,787,28,ARG
129,Ruben Loftus-Cheek,Milan,0.09,0.0,2081,29,ENG
129,Tommaso Augello,Cagliari,0.09,0.0,2429,32,ITA
132,Lameck Banda,Lecce,0.08,0.3,1358,21,ZAM
133,Alessandro Zanoli,Salernitana,0.08,0.2,969,21,ITA
133,Jeremy Toljan,Sassuolo,0.08,0.2,2085,25,GER
133,Marco Davide Faraoni,Fiorentina,0.08,0.2,995,19,ITA
136,Andrea Belotti,Fiorentina,0.08,0.1,1624,29,ITA
136,Bryan Cristante,Roma,0.08,0.1,3292,37,ITA
136,Fabiano Parisi,Fiorentina,0.08,0.1,1452,21,ITA
136,Gabriele Zappa,Cagliari,0.08,0.1,2559,38,ITA
136,Gaetano Oristanio,Cagliari,0.08,0.1,1102,25,ITA
136,Joshua Zirkzee,Bologna,0.08,0.1,2771,34,NED
136,Matteo Ruggeri,Atalanta,0.08,0.1,2466,34,ITA
136,Roberto Gagliardini,Monza,0.08,0.1,2366,33,ITA
136,Timothy Weah,Juventus,0.08,0.1,1247,30,USA
145,Davide Zappacosta,Atalanta,0.08,0.0,1875,31,ITA
145,Festy Ebosele,Udinese,0.08,0.0,1705,31,IRL
145,Hamza Rafia,Lecce,0.08,0.0,1211,28,TUN
145,Maxime Lopez,Fiorentina,0.08,0.0,936,21,FRA
145,Nikola Moro,Bologna,0.08,0.0,835,23,CRO
145,Pontus Almqvist,Lecce,0.08,0.0,2115,30,SWE
151,Giovanni Fabbian,Bologna,0.07,0.2,1053,27,ITA
152,Arkadiusz Milik,Juventus,0.07,0.1,902,32,POL
152,Ciro Immobile,Lazio,0.07,0.1,1656,31,ITA
152,Davide Calabria,Milan,0.07,0.1,2191,29,ITA
152,Kacper Urbanski,Bologna,0.07,0.1,921,22,POL
152,Lautaro Martinez,Internazionale,0.07,0.1,2668,33,ARG
152,Luka Jovic,Milan,0.07,0.1,867,23,SRB
152,Manuel Lazzari,Lazio,0.07,0.1,1675,24,ITA
152,Manuel Locatelli,Juventus,0.07,0.1,3011,36,ITA
152,Marco Brescianini,Frosinone,0.07,0.1,2321,36,ITA
152,Mathias Olivera,Napoli,0.07,0.1,1572,23,URU
152,Pasquale Mazzocchi,Napoli,0.07,0.1,1704,28,ITA
152,Rasmus Kristensen,Roma,0.07,0.1,1743,29,DEN
152,Stefan Posch,Bologna,0.07,0.1,2418,31,AUT
165,Armando Izzo,Monza,0.07,0.0,1653,23,ITA
165,Demba Seck,Frosinone,0.07,0.0,718,20,SEN
165,Éderson,Atalanta,0.07,0.0,2873,36,BRA
165,Elseid Hysaj,Lazio,0.07,0.0,1194,22,ALB
165,Hassane Kamara,Udinese,0.07,0.0,2238,35,CIV
165,Liberato Cacace,Empoli,0.07,0.0,1907,31,NZL
165,Sardar Azmoun,Roma,0.07,0.0,571,23,IRN
165,Stefano Sabelli,Genoa,0.07,0.0,2448,32,ITA
165,Youssef Maleh,Empoli,0.07,0.0,2610,34,MAR
174,Dusan Vlahovic,Juventus,0.06,0.2,2317,33,SRB
174,Jens-Lys Cajuste,Napoli,0.06,0.2,1007,26,SWE
174,Reinier,Frosinone,0.06,0.2,1064,22,BRA
174,Valentin Castellanos,Lazio,0.06,0.2,1676,35,ARG
178,Caleb Ekuban,Genoa,0.06,0.1,1123,29,GHA
178,Dan Ndoye,Bologna,0.06,0.1,1775,32,SUI
178,Edoardo Bove,Roma,0.06,0.1,1777,31,ITA
178,Isaac Success,Udinese,0.06,0.1,872,27,NGA
178,Loum Tchaouna,Salernitana,0.06,0.1,2099,33,FRA
178,Matheus Henrique,Sassuolo,0.06,0.1,2501,31,BRA
178,Pol Lirola,Frosinone,0.06,0.1,1538,25,ESP
178,Ricardo Rodriguez,Torino,0.06,0.1,2783,35,SUI
186,Alberto Grassi,Empoli,0.06,0.0,1823,27,ITA
