Rank,Player,Team,Fouls Committed per 90,Yellow Cards,Minutes,Matches,Country
94,Éderson,Atalanta,1.4,8.0,2873,36,BRA
95,Alessandro Deiola,Cagliari,1.4,7.0,1608,27,ITA
96,Koni De Winter,Genoa,1.4,6.0,2378,29,BEL
96,Liberato Cacace,Empoli,1.4,6.0,1907,31,NZL
96,Morten Frendrup,Genoa,1.4,6.0,3146,37,DEN
96,Patrick Dorgu,Lecce,1.4,6.0,1563,32,DEN
96,Samuele Ricci,Torino,1.4,6.0,2400,32,ITA
101,Lassana Coulibaly,Salernitana,1.4,5.0,2086,28,MLI
101,Nicolo Casale,Lazio,1.4,5.0,1557,20,ITA
101,Pawel Dawidowicz,Verona,1.4,5.0,2143,28,POL
101,Ruan Tressoldi,Sassuolo,1.4,5.0,1515,26,BRA
101,Zito Luvumbo,Cagliari,1.4,5.0,1947,30,ANG
106,Alexis Blin,Lecce,1.4,4.0,1632,31,FRA
106,Giovanni Fabbian,Bologna,1.4,4.0,1053,27,ITA
106,Giuseppe Pezzella,Empoli,1.4,4.0,1088,19,ITA
106,Victor Osimhen,Napoli,1.4,4.0,1990,25,NGA
110,Giovanni Simeone,Napoli,1.4,3.0,787,28,ARG
110,Gustav Isaksen,Lazio,1.4,3.0,1069,28,DEN
110,Razvan Marin,Empoli,1.4,3.0,1818,30,ROU
110,Reinier,Frosinone,1.4,3.0,1064,22,BRA
114,Denzel Dumfries,Internazionale,1.4,2.0,1640,31,NED
114,Ismael Bennacer,Milan,1.4,2.0,1151,20,ALG
116,Marco Brescianini,Frosinone,1.4,1.0,2321,36,ITA
116,Samuele Mulattieri,Sassuolo,1.4,1.0,441,27,ITA
118,Caleb Ekuban,Genoa,1.4,0.0,1123,29,GHA
118,Christian Kouamé,Fiorentina,1.4,0.0,1084,23,CIV
120,Ylber Ramadani,Lecce,1.3,13.0,2976,34,ALB
121,Andrea Cambiaso,Juventus,1.3,10.0,2387,34,ITA
122,Alessio Romagnoli,Lazio,1.3,9.0,2409,29,ITA
123,Mattia Zaccagni,Lazio,1.3,8.0,1971,28,ITA
124,Federico Gatti,Juventus,1.3,7.0,2640,32,ITA
124,Kristian Thorstvedt,Sassuolo,1.3,7.0,2413,34,NOR
124,Lorenzo Pellegrini,Roma,1.3,7.0,1866,29,ITA
124,Pablo Mari,Monza,1.3,7.0,2616,34,ESP
124,Samuele Birindelli,Monza,1.3,7.0,2013,35,ITA
129,Lucas Beltran,Fiorentina,1.3,6.0,1694,32,ARG
130,Emil Holm,Atalanta,1.3,5.0,948,22,SWE
130,Hans Hateboer,Atalanta,1.3,5.0,1104,23,NED
130,Marco Davide Faraoni,Fiorentina,1.3,5.0,995,19,ITA
130,Stefano Sabelli,Genoa,1.3,5.0,2448,32,ITA
130,Yunus Musah,Milan,1.3,5.0,1468,30,USA
135,Ademola Lookman,Atalanta,1.3,4.0,1899,31,NGA
135,Matteo Lovato,Torino,1.3,4.0,1490,26,ITA
135,Riccardo Calafiori,Bologna,1.3,4.0,2338,30,ITA
135,Sardar Azmoun,Roma,1.3,4.0,571,23,IRN
139,Andre-Frank Zambo Anguissa,Napoli,1.3,2.0,2792,34,CMR
139,Gianluca Gaetano,Cagliari,1.3,2.0,905,20,ITA
139,Jesper Lindstrøm,Napoli,1.3,2.0,417,22,DEN
142,Jordan Zemura,Udinese,1.3,1.0,1033,27,ZIM
142,Nicola Zalewski,Roma,1.3,1.0,966,22,POL
144,Marko Arnautovic,Internazionale,1.3,0.0,779,27,AUT
145,Theo Hernández,Milan,1.2,11.0,2794,32,FRA
146,Ciro Immobile,Lazio,1.2,8.0,1656,31,ITA
147,Juan Jesus,Napoli,1.2,7.0,2117,24,BRA
147,Walace,Udinese,1.2,7.0,3243,37,BRA
149,Benjamin Pavard,Internazionale,1.2,6.0,1677,23,FRA
149,Dusan Vlahovic,Juventus,1.2,6.0,2317,33,SRB
149,Manuel Locatelli,Juventus,1.2,6.0,3011,36,ITA
149,Roberto Pereyra,Udinese,1.2,6.0,1862,27,ARG
153,Alessandro Bastoni,Internazionale,1.2,5.0,2283,28,ITA
153,Davide Zappacosta,Atalanta,1.2,5.0,1875,31,ITA
153,Mario Rui,Napoli,1.2,5.0,1205,21,POR
153,Pontus Almqvist,Lecce,1.2,5.0,2115,30,SWE
157,Ibrahim Sulemana,Cagliari,1.2,4.0,1342,21,GHA
157,Jaka Bijol,Udinese,1.2,4.0,2083,24,SVN
157,Kevin Strootman,Genoa,1.2,4.0,1209,27,NED
157,Nadir Zortea,Frosinone,1.2,4.0,1403,19,ITA
157,Sead Kolasinac,Atalanta,1.2,4.0,2182,30,BIH
162,Bartosz Bereszynski,Empoli,1.2,3.0,1766,24,POL
162,Marcus Thuram,Internazionale,1.2,3.0,2707,35,FRA
162,Nicolas Viola,Cagliari,1.2,3.0,1202,26,ITA
162,Pedro Pereira,Monza,1.2,3.0,833,23,POR
166,Alfred Duncan,Fiorentina,1.2,2.0,1893,30,GHA
166,Charalambos Lykogiannis,Bologna,1.2,2.0,899,22,GRE
166,Filippo Terracciano,Milan,1.2,2.0,1368,21,ITA
169,Davide Frattesi,Internazionale,1.2,1.0,934,32,ITA
169,Noah Okafor,Milan,1.2,1.0,869,28,SUI
169,Olivier Giroud,Milan,1.2,1.0,2372,35,FRA
172,Nikola Moro,Bologna,1.2,0.0,835,23,CRO
173,Leandro Paredes,Roma,1.1,15.0,2644,34,ARG
174,Danilo Cataldi,Lazio,1.1,8.0,1360,28,ITA
175,Stefan Posch,Bologna,1.1,7.0,2418,31,AUT
176,Daniel Boloca,Sassuolo,1.1,6.0,2023,30,ROU
176,Evan N'Dicka,Roma,1.1,6.0,2170,25,CIV
176,Fikayo Tomori,Milan,1.1,6.0,2125,26,ENG
176,Joan Gonzalez,Lecce,1.1,6.0,1283,29,ESP
176,Johan Vásquez,Genoa,1.1,6.0,2851,37,MEX
181,Alberto Dossena,Cagliari,1.1,5.0,2979,35,ITA
181,Grigoris Kastanos,Salernitana,1.1,5.0,1486,26,CYP
181,Timothy Weah,Juventus,1.1,5.0,1247,30,USA
184,Alberto Grassi,Empoli,1.1,4.0,1823,27,ITA
184,Henrikh Mkhitaryan,Internazionale,1.1,4.0,2803,36,ARM
184,Kingsley Ehizibue,Udinese,1.1,4.0,955,23,NED
184,Nikola Milenkovic,Fiorentina,1.1,4.0,2506,34,SRB
