Rank,Player,Team,Assists,Secondary Assists,Minutes,Matches,Country
94,Abdou Harroui,Frosinone,3.0,1.4,1025,18,NED
94,Milan Badelj,Genoa,3.0,1.4,2555,33,CRO
94,Valentin Carboni,Monza,3.0,1.4,1158,31,ARG
97,Loum Tchaouna,Salernitana,3.0,1.3,2099,33,FRA
97,Victor Kristiansen,Bologna,3.0,1.3,2312,32,DEN
99,Eldor Shomurodov,Cagliari,3.0,1.1,933,22,UZB
99,Valentin Castellanos,Lazio,3.0,1.1,1676,35,ARG
101,Victor Osimhen,Napoli,3.0,0.9,1990,25,NGA
102,Matias Vina,Sassuolo,3.0,0.7,1019,15,URU
103,Evan N'Dicka,Roma,3.0,0.5,2170,25,CIV
104,Federico Chiesa,Juventus,2.0,5.6,2207,33,ITA
105,Lazar Samardzic,Udinese,2.0,5.0,2380,34,SRB
106,Ivan Ilic,Torino,2.0,4.6,2099,31,SRB
107,Rémi Oudin,Lecce,2.0,4.0,1826,31,FRA
108,Riccardo Orsolini,Bologna,2.0,3.9,1792,33,ITA
109,Nikola Vlasic,Torino,2.0,3.6,2614,33,CRO
110,Alexis Saelemaekers,Bologna,2.0,3.5,1892,30,BEL
110,Darko Lazovic,Verona,2.0,3.5,1942,32,SRB
112,Nicolas Viola,Cagliari,2.0,3.2,1202,26,ITA
112,Piotr Zielinski,Napoli,2.0,3.2,1938,28,POL
114,Leonardo Spinazzola,Roma,2.0,3.1,1312,24,ITA
114,Nicolás González,Fiorentina,2.0,3.1,1913,29,ARG
116,Andre-Frank Zambo Anguissa,Napoli,2.0,3.0,2792,34,CMR
117,Samuele Birindelli,Monza,2.0,2.4,2013,35,ITA
117,Samuele Ricci,Torino,2.0,2.4,2400,32,ITA
119,Kevin Strootman,Genoa,2.0,2.2,1209,27,NED
120,Cyril Ngonge,Verona,2.0,2.1,1743,32,BEL
120,Daichi Kamada,Lazio,2.0,2.1,1543,29,JPN
120,Matteo Cancellieri,Empoli,2.0,2.1,1784,36,ITA
123,Roberto Gagliardini,Monza,2.0,2.0,2366,33,ITA
123,Yacine Adli,Milan,2.0,2.0,1412,24,FRA
125,Lucas Beltran,Fiorentina,2.0,1.9,1694,32,ARG
125,Marco Brescianini,Frosinone,2.0,1.9,2321,36,ITA
125,Stefan Posch,Bologna,2.0,1.9,2418,31,AUT
128,Benjamin Pavard,Internazionale,2.0,1.8,1677,23,FRA
128,Mario Rui,Napoli,2.0,1.8,1205,21,POR
128,Ricardo Rodriguez,Torino,2.0,1.8,2783,35,SUI
131,Jackson Tchatchoua,Verona,2.0,1.7,1725,26,CMR
132,Ismael Bennacer,Milan,2.0,1.6,1151,20,ALG
132,Matheus Henrique,Sassuolo,2.0,1.6,2501,31,BRA
132,Nedim Bajrami,Sassuolo,2.0,1.6,1312,28,ALB
132,Rick Karsdorp,Roma,2.0,1.6,1214,18,NED
132,Samuel Iling-Junior,Juventus,2.0,1.6,800,24,ENG
137,Andrea Belotti,Roma,2.0,1.5,1624,29,ITA
138,Manuel Lazzari,Lazio,2.0,1.3,1675,24,ITA
138,Pasquale Mazzocchi,Napoli,2.0,1.3,1704,28,ITA
140,Adrien Tamèze,Torino,2.0,1.2,2154,29,FRA
140,Edoardo Bove,Roma,2.0,1.2,1777,31,ITA
140,Josh Doig,Sassuolo,2.0,1.2,2183,28,SCO
140,Juan Cuadrado,Internazionale,2.0,1.2,258,10,COL
144,Gregoire Defrel,Sassuolo,2.0,1.1,751,20,MTQ
145,Emmanuel Quartsin Gyasi,Empoli,2.0,1.0,1873,33,GHA
145,Pedro Pereira,Monza,2.0,1.0,833,23,POR
147,Alessandro Zanoli,Salernitana,2.0,0.9,969,21,ITA
147,Marco Davide Faraoni,Fiorentina,2.0,0.9,995,19,ITA
147,Martin Payero,Udinese,2.0,0.9,1801,29,ARG
147,Nicola Sansone,Lecce,2.0,0.9,750,25,ITA
147,Nicolo Fagioli,Juventus,2.0,0.9,440,8,ITA
147,Suat Serdar,Verona,2.0,0.9,1661,25,GER
153,Giovanni Fabbian,Bologna,2.0,0.8,1053,27,ITA
153,Giulio Maggiore,Salernitana,2.0,0.8,1807,27,ITA
