Rank,Player,Team,Shots on Target per 90,Shot Accuracy (%),Minutes,Matches,Country
92,Tommaso Baldanzi,Roma,0.6,31.0,1259,27,ITA
94,Giacomo Bonaventura,Fiorentina,0.6,30.8,2285,31,ITA
95,Lazar Samardzic,Udinese,0.6,29.8,2380,34,SRB
96,Andrea Colpani,Monza,0.6,29.2,2683,38,ITA
96,Christian Kouamé,Fiorentina,0.6,29.2,1084,23,CIV
98,Nedim Bajrami,Sassuolo,0.6,28.1,1312,28,ALB
99,Stephan El Shaarawy,Roma,0.6,27.5,1741,33,ITA
100,Luis Alberto,Lazio,0.6,26.8,2323,33,ESP
101,Andrea Pinamonti,Sassuolo,0.6,26.5,3100,38,ITA
102,Moise Kean,Juventus,0.6,25.0,650,19,ITA
103,Nicolo Cambiaghi,Empoli,0.6,23.9,2562,37,ITA
104,Nicola Sansone,Lecce,0.6,21.7,750,25,ITA
105,Patrick Dorgu,Lecce,0.5,44.4,1563,32,DEN
105,Samuel Iling-Junior,Juventus,0.5,44.4,800,24,ENG
107,Giulio Maggiore,Salernitana,0.5,43.5,1807,27,ITA
108,Reinier,Frosinone,0.5,42.9,1064,22,BRA
109,Ivan Ilic,Torino,0.5,40.7,2099,31,SRB
110,Pedro Rodriguez,Lazio,0.5,36.4,798,33,ESP
111,Alexis Saelemaekers,Bologna,0.5,34.5,1892,30,BEL
112,Dany Mota,Monza,0.5,31.6,2059,34,POR
113,Alessandro Florenzi,Milan,0.5,31.3,1730,31,ITA
114,Pietro Pellegri,Torino,0.5,30.8,745,24,ITA
115,Matteo Prati,Cagliari,0.5,30.6,1972,26,ITA
116,Valentin Carboni,Monza,0.5,30.4,1158,31,ARG
117,Michael Folorunsho,Verona,0.5,29.8,2793,34,ITA
117,Theo Hernández,Milan,0.5,29.8,2794,32,FRA
119,Lucas Beltran,Fiorentina,0.5,29.0,1694,32,ARG
120,Sandi Lovric,Udinese,0.5,27.9,1988,29,SVN
121,Daichi Kamada,Lazio,0.5,27.6,1543,29,JPN
122,Davide Zappacosta,Atalanta,0.5,27.0,1875,31,ITA
123,Kristjan Asllani,Internazionale,0.5,26.7,771,23,ALB
124,Isaac Success,Udinese,0.5,26.3,872,27,NGA
125,Demba Seck,Frosinone,0.5,25.0,718,20,SEN
126,Gabriel Strefezza,Lecce,0.5,21.4,1118,19,BRA
127,Nadir Zortea,Frosinone,0.4,50.0,1403,19,ITA
128,Matteo Pessina,Monza,0.4,48.1,3228,37,ITA
129,Jean-Daniel Akpa-Akpro,Monza,0.4,42.9,700,19,CIV
129,Mohamed Kaba,Lecce,0.4,42.9,1382,23,FRA
131,Joan Gonzalez,Lecce,0.4,38.5,1283,29,ESP
132,Samuele Birindelli,Monza,0.4,36.0,2013,35,ITA
133,Marco Brescianini,Frosinone,0.4,35.5,2321,36,ITA
134,Roberto Pereyra,Udinese,0.4,33.3,1862,27,ARG
135,Suat Serdar,Verona,0.4,31.8,1661,25,GER
136,Nicolo Barella,Internazionale,0.4,30.0,2860,37,ITA
136,Piotr Zielinski,Napoli,0.4,30.0,1938,28,POL
138,Charalambos Lykogiannis,Bologna,0.4,26.7,899,22,GRE
139,Razvan Marin,Empoli,0.4,25.7,1818,30,ROU
140,Felipe Anderson,Lazio,0.4,25.6,2782,38,BRA
141,Gregoire Defrel,Sassuolo,0.4,25.0,751,20,MTQ
141,Patrick Ciurria,Monza,0.4,25.0,1602,22,ITA
143,Nikola Vlasic,Torino,0.4,23.9,2614,33,CRO
144,Rémi Oudin,Lecce,0.4,23.5,1826,31,FRA
144,Uros Racic,Sassuolo,0.4,23.5,813,22,SRB
146,Gaetano Oristanio,Cagliari,0.4,21.7,1102,25,ITA
147,Martin Payero,Udinese,0.4,21.1,1801,29,ARG
148,Jesper Lindstrøm,Napoli,0.4,14.3,417,22,DEN
149,Jordan Zemura,Udinese,0.3,60.0,1033,27,ZIM
150,Arthur,Fiorentina,0.3,50.0,1993,33,BRA
151,Fikayo Tomori,Milan,0.3,47.1,2125,26,ENG
152,Mergim Vojvoda,Torino,0.3,44.4,1372,28,KVX
153,Davide Calabria,Milan,0.3,38.1,2191,29,ITA
154,Emmanuel Quartsin Gyasi,Empoli,0.3,37.5,1873,33,GHA
155,Matheus Henrique,Sassuolo,0.3,36.8,2501,31,BRA
156,Yunus Musah,Milan,0.3,35.7,1468,30,USA
157,Alessio Zerbin,Monza,0.3,33.3,829,20,ITA
157,Benjamin Pavard,Internazionale,0.3,33.3,1677,23,FRA
159,Amir Rrahmani,Napoli,0.3,32.0,2602,30,KVX
160,Edoardo Bove,Roma,0.3,31.6,1777,31,ITA
161,Festy Ebosele,Udinese,0.3,31.3,1705,31,IRL
162,Hassane Kamara,Udinese,0.3,30.8,2238,35,CIV
163,Nahitan Nández,Cagliari,0.3,30.4,2351,33,URU
164,Johan Vásquez,Genoa,0.3,29.4,2851,37,MEX
165,Lucas Martinez Quarta,Fiorentina,0.3,29.2,2292,29,ARG
165,Ondrej Duda,Verona,0.3,29.2,2463,32,SVK
167,Éderson,Atalanta,0.3,28.9,2873,36,BRA
168,Andrea Cambiaso,Juventus,0.3,27.6,2387,34,ITA
169,Carlos Augusto,Internazionale,0.3,27.3,1703,37,BRA
170,Matteo Guendouzi,Lazio,0.3,26.9,2370,33,FRA
171,Alfred Duncan,Fiorentina,0.3,26.1,1893,30,GHA
172,Denzel Dumfries,Internazionale,0.3,25.0,1640,31,NED
172,Roberto Gagliardini,Monza,0.3,25.0,2366,33,ITA
174,Alessandro Deiola,Cagliari,0.3,24.0,1608,27,ITA
175,Tijjani Reijnders,Milan,0.3,20.5,2830,36,NED
176,Marvin Cuni,Frosinone,0.3,20.0,522,22,ALB
177,Jens-Lys Cajuste,Napoli,0.3,18.8,1007,26,SWE
178,Jacopo Fazzini,Empoli,0.3,17.4,1226,31,ITA
179,Kingsley Ehizibue,Udinese,0.3,16.7,955,23,NED
180,Giuseppe Pezzella,Empoli,0.2,66.7,1088,19,ITA
181,Armando Izzo,Monza,0.2,60.0,1653,23,ITA
181,Ilario Monterisi,Frosinone,0.2,60.0,1467,24,ITA
181,Matteo Darmian,Internazionale,0.2,60.0,2413,33,ITA
184,Mattia Bani,Genoa,0.2,55.6,2309,27,ITA
185,Maxime Lopez,Fiorentina,0.2,50.0,936,21,FRA
186,Alessandro Buongiorno,Torino,0.2,46.2,2530,29,ITA
187,Alessio Romagnoli,Lazio,0.2,45.5,2409,29,ITA
188,Diego Llorente,Roma,0.2,44.4,2173,29,ESP
189,Alessandro Bastoni,Internazionale,0.2,40.0,2283,28,ITA
189,Francesco Acerbi,Internazionale,0.2,40.0,2386,29,ITA
191,Sead Kolasinac,Atalanta,0.2,38.5,2182,30,BIH
192,Filippo Terracciano,Verona,0.2,37.5,1368,21,ITA
192,Gian Marco Ferrari,Sassuolo,0.2,37.5,2268,31,ITA
192,Isak Hien,Atalanta,0.2,37.5,1794,26,SWE
192,Leonardo Spinazzola,Roma,0.2,37.5,1312,24,ITA
196,Gianluca Mancini,Roma,0.2,36.8,2872,36,ITA
197,Cristiano Biraghi,Fiorentina,0.2,35.3,2358,29,ITA
197,Federico Baschirotto,Lecce,0.2,35.3,3295,37,ITA
197,Riccardo Calafiori,Bologna,0.2,35.3,2338,30,ITA
200,Adam Masina,Torino,0.2,33.3,1083,20,MAR
200,Pol Lirola,Frosinone,0.2,33.3,1538,25,ESP
200,Rasmus Kristensen,Roma,0.2,33.3,1743,29,DEN
200,Walace,Udinese,0.2,33.3,3243,37,BRA
204,Gabriele Zappa,Cagliari,0.2,31.6,2559,38,ITA
204,Giorgio Scalvini,Atalanta,0.2,31.6,2553,33,ITA
206,Daniel Boloca,Sassuolo,0.2,30.8,2023,30,ROU
207,Weston McKennie,Juventus,0.2,30.4,2599,34,USA
208,Francesco Gelli,Frosinone,0.2,30.0,1558,27,ITA
208,Stefan de Vrij,Internazionale,0.2,30.0,1578,25,NED
210,Danilo D'Ambrosio,Monza,0.2,28.6,1534,24,ITA
211,Michel Aebischer,Bologna,0.2,27.8,2234,36,SUI
212,Hans Hateboer,Atalanta,0.2,27.3,1104,23,NED
213,Lorenzo Pirola,Salernitana,0.2,26.7,1991,27,ITA
214,Alberto Dossena,Cagliari,0.2,25.0,2979,35,ITA
214,Juan Cabal,Verona,0.2,25.0,1497,22,COL
216,Milan Badelj,Genoa,0.2,23.8,2555,33,CRO
217,Radu Dragusin,Genoa,0.2,23.5,1710,19,ROU
217,Valentino Lazaro,Torino,0.2,23.5,1989,35,AUT
217,Warren Bondo,Monza,0.2,23.5,1471,25,FRA
220,Diego Coppola,Verona,0.2,23.1,1636,24,ITA
220,Ibrahim Sulemana,Cagliari,0.2,23.1,1342,21,GHA
222,Andrea Carboni,Monza,0.2,22.2,1490,21,ITA
223,Alberto Grassi,Empoli,0.2,21.7,1823,27,ITA
224,Federico Gatti,Juventus,0.2,20.0,2640,32,ITA
224,Marco Davide Faraoni,Fiorentina,0.2,20.0,995,19,ITA
226,Ylber Ramadani,Lecce,0.2,19.4,2976,34,ALB
227,Giovanni Di Lorenzo,Napoli,0.2,18.9,3235,36,ITA
228,Hamza Rafia,Lecce,0.2,18.8,1211,28,TUN
228,Leandro Paredes,Roma,0.2,18.8,2644,34,ARG
230,Andre-Frank Zambo Anguissa,Napoli,0.2,18.2,2792,34,CMR
231,Bryan Cristante,Roma,0.2,16.7,3292,37,ITA
231,Ismael Bennacer,Milan,0.2,16.7,1151,20,ALG
231,Samuele Ricci,Torino,0.2,16.7,2400,32,ITA
234,Henrikh Mkhitaryan,Internazionale,0.2,15.4,2803,36,ARM
235,Fabio Miretti,Juventus,0.2,15.0,1104,25,ITA
236,Paulo Azzi,Cagliari,0.2,9.5,936,25,BRA
237,Elseid Hysaj,Lazio,0.1,50.0,1194,22,ALB
237,Sebastian Walukiewicz,Empoli,0.1,50.0,2054,27,POL
239,Mario Rui,Napoli,0.1,40.0,1205,21,POR
240,Adam Marusic,Lazio,0.1,37.5,3106,37,MNE
240,Martin Erlic,Sassuolo,0.1,37.5,2624,32,CRO
242,Alessandro Zanoli,Salernitana,0.1,33.3,969,21,ITA
242,Bartosz Bereszynski,Empoli,0.1,33.3,1766,24,POL
242,Matteo Ruggeri,Atalanta,0.1,33.3,2466,34,ITA
242,Patric,Lazio,0.1,33.3,1610,20,ESP
242,Sam Beukema,Bologna,0.1,33.3,2549,30,NED
242,Stefano Sabelli,Genoa,0.1,33.3,2448,32,ITA
242,Victor Kristiansen,Bologna,0.1,33.3,2312,32,DEN
249,Memeh Caleb Okoli,Frosinone,0.1,30.8,2915,34,ITA
250,Luca Ranieri,Fiorentina,0.1,30.0,2067,26,ITA
250,Nikola Milenkovic,Fiorentina,0.1,30.0,2506,34,SRB
250,Thomas Kristensen,Udinese,0.1,30.0,2097,26,DEN
250,Tommaso Augello,Cagliari,0.1,30.0,2429,32,ITA
254,Michael Kayode,Fiorentina,0.1,28.6,2063,26,ITA
254,Remo Freuler,Bologna,0.1,28.6,2632,32,SUI
254,Ruan Tressoldi,Sassuolo,0.1,28.6,1515,26,BRA
254,Stanislav Lobotka,Napoli,0.1,28.6,3293,38,SVK
258,Valentin Gendrey,Lecce,0.1,27.8,3050,37,FRA
259,Antoine Makoumbou,Cagliari,0.1,25.0,2707,32,CGO
259,Jeremy Toljan,Sassuolo,0.1,25.0,2085,25,GER
259,Juan Jesus,Napoli,0.1,25.0,2117,24,BRA
259,Manuel Lazzari,Lazio,0.1,25.0,1675,24,ITA
259,Mario Gila,Lazio,0.1,25.0,1813,21,ESP
259,Pablo Mari,Monza,0.1,25.0,2616,34,ESP
259,Yacine Adli,Milan,0.1,25.0,1412,24,FRA
266,Josh Doig,Sassuolo,0.1,23.1,2183,28,SCO
266,Lassana Coulibaly,Salernitana,0.1,23.1,2086,28,MLI
266,Marin Pongracic,Lecce,0.1,23.1,3220,36,CRO
269,Gleison Bremer,Juventus,0.1,22.2,3234,36,BRA
269,Luca Caldirola,Monza,0.1,22.2,2139,29,ITA
269,Stefan Posch,Bologna,0.1,22.2,2418,31,AUT
272,Domagoj Bradaric,Salernitana,0.1,21.1,2753,34,CRO
273,Antonino Gallo,Lecce,0.1,20.0,2500,35,ITA
273,Malick Thiaw,Milan,0.1,20.0,1620,21,GER
273,Nicolo Rovella,Lazio,0.1,20.0,1322,23,ITA
276,Marten de Roon,Atalanta,0.1,18.8,2599,30,NED
277,Giangiacomo Magnani,Verona,0.1,18.2,2441,33,ITA
277,Jhon Lucumi,Bologna,0.1,18.2,2214,29,COL
277,Koni De Winter,Genoa,0.1,18.2,2378,29,BEL
277,Ricardo Rodriguez,Torino,0.1,18.2,2783,35,SUI
281,Danilo Cataldi,Lazio,0.1,16.7,1360,28,ITA
281,Fabiano Parisi,Fiorentina,0.1,16.7,1452,21,ITA
281,Timothy Weah,Juventus,0.1,16.7,1247,30,USA
284,Sebastiano Luperto,Empoli,0.1,15.8,3407,38,ITA
285,Alexis Blin,Lecce,0.1,15.4,1632,31,FRA
285,Liberato Cacace,Empoli,0.1,15.4,1907,31,NZL
285,Pasquale Mazzocchi,Napoli,0.1,15.4,1704,28,ITA
288,Enzo Barrenechea,Frosinone,0.1,15.0,2816,36,ARG
289,Filip Kostic,Juventus,0.1,14.3,1831,29,SRB
289,Leo Østigard,Napoli,0.1,14.3,1621,25,NOR
289,Luca Pellegrini,Lazio,0.1,14.3,781,19,ITA
289,Mateusz Legowski,Salernitana,0.1,14.3,1132,29,POL
289,Nicolo Casale,Lazio,0.1,14.3,1557,20,ITA
294,Jaka Bijol,Udinese,0.1,13.3,2083,24,SVN
294,Morten Frendrup,Genoa,0.1,13.3,3146,37,DEN
296,Manuel Locatelli,Juventus,0.1,12.5,3011,36,ITA
297,Danilo,Juventus,0.1,11.8,2451,29,BRA
298,Youssef Maleh,Empoli,0.1,11.1,2610,34,MAR
299,Nehuén Pérez,Udinese,0.1,10.0,3238,36,ARG
300,Raoul Bellanova,Torino,0.1,9.4,3063,37,ITA
301,Nikola Moro,Bologna,0.1,9.1,835,23,CRO
302,Giorgos Kyriakopoulos,Monza,0.1,8.3,1716,28,GRE
302,Mathias Olivera,Napoli,0.1,8.3,1572,23,URU
304,Nicola Zalewski,Roma,0.1,6.3,966,22,POL
305,Evan N'Dicka,Roma,0.0,11.1,2170,25,CIV
305,Pawel Dawidowicz,Verona,0.0,11.1,2143,28,POL
307,Simone Romagnoli,Frosinone,0.0,8.3,2716,33,ITA
308,Karol Linetty,Torino,0.0,6.3,1860,28,POL
