Rank,Player,Team,Expected Goals on Target (xGOT),Actual Goals,Minutes,Matches,Country
398,Sydney van Hooijdonk,Bologna,0.1,0.0,207,9,NED
412,Berkan Kutlu,Genoa,0.0,0.0,192,6,TUR
412,Dodo,Fiorentina,0.0,0.0,523,9,BRA
412,Iron Gomis,Salernitana,0.0,0.0,130,5,FRA
412,Lorenzo Venuti,Lecce,0.0,0.0,357,14,ITA
412,Marco Pellegrino,Milan,0.0,0.0,611,11,ARG
412,Reda Belahyane,Verona,0.0,0.0,90,2,FRA
412,Riccardo Saponara,Verona,0.0,0.0,336,12,ITA
412,Rick Karsdorp,Roma,0.0,0.0,1214,18,NED
412,Toma Basic,Salernitana,0.0,0.0,1166,15,CRO
412,Trivante Stewart,Salernitana,0.0,0.0,96,4,JAM
