Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
93,Ylber Ramadani,Lecce,0.5,3.9,2976,34,ALB
94,Arthur,Fiorentina,0.5,3.6,1993,33,BRA
94,Milan Badelj,Genoa,0.5,3.6,2555,33,CRO
94,Suat Serdar,Verona,0.5,3.6,1661,25,GER
97,Daniel Boloca,Sassuolo,0.5,3.5,2023,30,ROU
98,Henrikh Mkhitaryan,Internazionale,0.5,3.4,2803,36,ARM
98,Leandro Paredes,Roma,0.5,3.4,2644,34,ARG
98,Mohamed Kaba,Lecce,0.5,3.4,1382,23,FRA
101,Adrien Rabiot,Juventus,0.5,3.0,2651,31,FRA
101,Alberto Grassi,Empoli,0.5,3.0,1823,27,ITA
101,Matias Vecino,Lazio,0.5,3.0,1135,31,URU
101,Morten Frendrup,Genoa,0.5,3.0,3146,37,DEN
105,Hakan Calhanoglu,Internazionale,0.5,2.9,2576,32,TUR
105,Mario Pasalic,Atalanta,0.5,2.9,2048,34,CRO
107,Jacopo Fazzini,Empoli,0.5,2.6,1226,31,ITA
107,Manuel Locatelli,Juventus,0.5,2.6,3011,36,ITA
109,Ibrahim Sulemana,Cagliari,0.5,2.5,1342,21,GHA
109,Kristian Thorstvedt,Sassuolo,0.5,2.5,2413,34,NOR
111,Tijjani Reijnders,Milan,0.5,2.4,2830,36,NED
112,Dan Ndoye,Bologna,0.5,2.3,1775,32,SUI
112,Matteo Guendouzi,Lazio,0.5,2.3,2370,33,FRA
112,Paulo Dybala,Roma,0.5,2.3,1973,28,ARG
115,Ruben Loftus-Cheek,Milan,0.5,2.2,2081,29,ENG
116,Mateusz Legowski,Salernitana,0.5,2.1,1132,29,POL
117,Albert Gudmundsson,Genoa,0.5,2.0,3022,35,ISL
117,Nahitan Nández,Cagliari,0.5,2.0,2351,33,URU
119,Davide Zappacosta,Atalanta,0.5,1.8,1875,31,ITA
120,Andrea Cambiaso,Juventus,0.5,1.7,2387,34,ITA
120,Antonio Sanabria,Torino,0.5,1.7,2133,35,PAR
120,Noah Okafor,Milan,0.5,1.7,869,28,SUI
123,Federico Dimarco,Internazionale,0.5,1.6,2105,30,ITA
123,Florian Thauvin,Udinese,0.5,1.6,1713,29,FRA
123,Kenan Yildiz,Juventus,0.5,1.6,945,27,TUR
126,Lorenzo Colombo,Monza,0.5,1.5,1366,25,ITA
126,Lorenzo Lucca,Udinese,0.5,1.5,2600,37,ITA
126,Mateo Retegui,Genoa,0.5,1.5,2225,29,ITA
129,Gregoire Defrel,Sassuolo,0.5,1.4,751,20,MTQ
130,Marcus Thuram,Internazionale,0.5,1.3,2707,35,FRA
130,Morten Thorsby,Genoa,0.5,1.3,1143,24,NOR
132,Andrea Pinamonti,Sassuolo,0.5,1.2,3100,38,ITA
133,Federico Chiesa,Juventus,0.5,1.1,2207,33,ITA
134,Romelu Lukaku,Roma,0.5,0.9,2644,32,BEL
135,Patrick Ciurria,Monza,0.5,0.8,1602,22,ITA
136,Enzo Barrenechea,Frosinone,0.4,4.5,2816,36,ARG
137,Yacine Adli,Milan,0.4,3.5,1412,24,FRA
138,Karol Linetty,Torino,0.4,3.3,1860,28,POL
139,Adrien Tamèze,Torino,0.4,2.9,2154,29,FRA
139,Matteo Prati,Cagliari,0.4,2.9,1972,26,ITA
141,Jens-Lys Cajuste,Napoli,0.4,2.8,1007,26,SWE
141,Nikola Moro,Bologna,0.4,2.8,835,23,CRO
143,Martin Payero,Udinese,0.4,2.7,1801,29,ARG
143,Remo Freuler,Bologna,0.4,2.7,2632,32,SUI
145,Lazar Samardzic,Udinese,0.4,2.6,2380,34,SRB
145,Rémi Oudin,Lecce,0.4,2.6,1826,31,FRA
147,Kevin Strootman,Genoa,0.4,2.5,1209,27,NED
148,Demba Seck,Torino,0.4,2.4,718,20,SEN
148,Emil Holm,Atalanta,0.4,2.4,948,22,SWE
148,Lucas Martinez Quarta,Fiorentina,0.4,2.4,2292,29,ARG
148,Uros Racic,Sassuolo,0.4,2.4,813,22,SRB
152,Armand Laurienté,Sassuolo,0.4,2.3,2926,37,FRA
