Rank,Player,Team,Tackles per 90,Tackle Success Rate (%),Minutes,Matches,Country
95,Josh Doig,Sassuolo,1.1,63.4,2183,28,SCO
96,Isak Hien,Atalanta,1.1,62.9,1794,26,SWE
96,Matteo Cancellieri,Empoli,1.1,62.9,1784,36,ITA
98,Filip Kostic,Juventus,1.1,62.2,1831,29,SRB
99,Benjamin Pavard,Internazionale,1.1,61.8,1677,23,FRA
100,Festy Ebosele,Udinese,1.1,60.6,1705,31,IRL
101,Liberato Cacace,Empoli,1.1,60.0,1907,31,NZL
101,Pol Lirola,Frosinone,1.1,60.0,1538,25,ESP
103,Cristiano Biraghi,Fiorentina,1.1,59.6,2358,29,ITA
104,Federico Dimarco,Internazionale,1.1,59.5,2105,30,ITA
105,Elseid Hysaj,Lazio,1.1,58.3,1194,22,ALB
106,Paulo Azzi,Cagliari,1.1,57.9,936,25,BRA
107,Alessandro Deiola,Cagliari,1.1,57.6,1608,27,ITA
108,Gabriele Zappa,Cagliari,1.1,57.4,2559,38,ITA
109,Bryan Cristante,Roma,1.1,56.9,3292,37,ITA
110,Mario Rui,Napoli,1.1,55.6,1205,21,POR
110,Matteo Prati,Cagliari,1.1,55.6,1972,26,ITA
112,Razvan Marin,Empoli,1.1,55.0,1818,30,ROU
113,Henrikh Mkhitaryan,Internazionale,1.1,54.8,2803,36,ARM
114,Andre-Frank Zambo Anguissa,Napoli,1.1,54.1,2792,34,CMR
115,Cristian Volpato,Sassuolo,1.1,50.0,632,22,ITA
115,Yacine Adli,Milan,1.1,50.0,1412,24,FRA
117,Roberto Gagliardini,Monza,1.1,49.2,2366,33,ITA
118,Alessandro Florenzi,Milan,1.1,48.8,1730,31,ITA
119,Mateusz Wieteska,Cagliari,1.0,78.6,958,19,POL
120,Karol Linetty,Torino,1.0,70.0,1860,28,POL
121,Manuel Lazzari,Lazio,1.0,69.2,1675,24,ITA
122,Alexis Saelemaekers,Bologna,1.0,68.8,1892,30,BEL
123,Thomas Kristensen,Udinese,1.0,68.6,2097,26,DEN
124,Matheus Henrique,Sassuolo,1.0,67.4,2501,31,BRA
125,Davide Zappacosta,Atalanta,1.0,66.7,1875,31,ITA
126,Johan Vásquez,Genoa,1.0,64.7,2851,37,MEX
127,Alfred Duncan,Fiorentina,1.0,62.9,1893,30,GHA
128,Antonino Gallo,Lecce,1.0,62.8,2500,35,ITA
129,Kacper Urbanski,Bologna,1.0,62.5,921,22,POL
130,Giovanni Di Lorenzo,Napoli,1.0,62.1,3235,36,ITA
131,Memeh Caleb Okoli,Frosinone,1.0,60.7,2915,34,ITA
132,Weston McKennie,Juventus,1.0,60.4,2599,34,USA
133,Patrick Ciurria,Monza,1.0,60.0,1602,22,ITA
133,Valentin Gendrey,Lecce,1.0,60.0,3050,37,FRA
