Rank,Player,Team,Big Chances Created,Total Assists,Minutes,Matches,Country
92,Marcus Holmgren Pedersen,Sassuolo,4.0,2.0,1605,28,NOR
92,Martin Payero,Udinese,4.0,2.0,1801,29,ARG
92,Reinier,Frosinone,4.0,2.0,1064,22,BRA
92,Samuele Ricci,Torino,4.0,2.0,2400,32,ITA
97,Andrea Pinamonti,Sassuolo,4.0,1.0,3100,38,ITA
97,Caleb Ekuban,Genoa,4.0,1.0,1123,29,GHA
97,Dan Ndoye,Bologna,4.0,1.0,1775,32,SUI
97,Davide Zappacosta,Atalanta,4.0,1.0,1875,31,ITA
97,Fabiano Parisi,Fiorentina,4.0,1.0,1452,21,ITA
97,Hans Hateboer,Atalanta,4.0,1.0,1104,23,NED
97,Jonathan Ikoné,Fiorentina,4.0,1.0,1685,28,FRA
97,Nikola Krstovic,Lecce,4.0,1.0,2390,35,MNE
97,Stefano Sabelli,Genoa,4.0,1.0,2448,32,ITA
97,Tommaso Augello,Cagliari,4.0,1.0,2429,32,ITA
107,Federico Gatti,Juventus,4.0,0.0,2640,32,ITA
108,Jeremy Toljan,Sassuolo,3.0,5.0,2085,25,GER
108,Leandro Paredes,Roma,3.0,5.0,2644,34,ARG
110,Alessandro Florenzi,Milan,3.0,4.0,1730,31,ITA
110,Dusan Vlahovic,Juventus,3.0,4.0,2317,33,SRB
110,Duvan Zapata,Torino,3.0,4.0,3005,37,COL
110,Valentino Lazaro,Torino,3.0,4.0,1989,35,AUT
114,Andrea Cambiaso,Juventus,3.0,3.0,2387,34,ITA
114,Davide Frattesi,Internazionale,3.0,3.0,934,32,ITA
114,Evan N'Dicka,Roma,3.0,3.0,2170,25,CIV
114,Giorgos Kyriakopoulos,Monza,3.0,3.0,1716,28,GRE
114,Grigoris Kastanos,Salernitana,3.0,3.0,1486,26,CYP
114,Marko Arnautovic,Internazionale,3.0,3.0,779,27,AUT
114,Mergim Vojvoda,Torino,3.0,3.0,1372,28,KVX
114,Valentin Carboni,Monza,3.0,3.0,1158,31,ARG
114,Valentin Castellanos,Lazio,3.0,3.0,1676,35,ARG
123,Adrien Tamèze,Torino,3.0,2.0,2154,29,FRA
123,Ismael Bennacer,Milan,3.0,2.0,1151,20,ALG
123,Juan Cuadrado,Internazionale,3.0,2.0,258,10,COL
123,Kevin Strootman,Genoa,3.0,2.0,1209,27,NED
123,Kristjan Asllani,Internazionale,3.0,2.0,771,23,ALB
123,Lucas Beltran,Fiorentina,3.0,2.0,1694,32,ARG
123,Marco Brescianini,Frosinone,3.0,2.0,2321,36,ITA
123,Mario Rui,Napoli,3.0,2.0,1205,21,POR
123,Morten Thorsby,Genoa,3.0,2.0,1143,24,NOR
123,Nedim Bajrami,Sassuolo,3.0,2.0,1312,28,ALB
123,Nicolás González,Fiorentina,3.0,2.0,1913,29,ARG
123,Nikola Vlasic,Torino,3.0,2.0,2614,33,CRO
123,Rick Karsdorp,Roma,3.0,2.0,1214,18,NED
123,Samuele Birindelli,Monza,3.0,2.0,2013,35,ITA
137,Ciro Immobile,Lazio,3.0,1.0,1656,31,ITA
137,Emil Holm,Atalanta,3.0,1.0,948,22,SWE
137,Fabien Centonze,Verona,3.0,1.0,674,10,FRA
137,Federico Bonazzoli,Verona,3.0,1.0,1014,24,ITA
137,Gianluca Gaetano,Cagliari,3.0,1.0,905,20,ITA
137,Gustav Isaksen,Lazio,3.0,1.0,1069,28,DEN
137,Isaac Success,Udinese,3.0,1.0,872,27,NGA
137,Jacopo Fazzini,Empoli,3.0,1.0,1226,31,ITA
137,Lucas Martinez Quarta,Fiorentina,3.0,1.0,2292,29,ARG
137,Michel Aebischer,Bologna,3.0,1.0,2234,36,SUI
137,Nicolo Cambiaghi,Empoli,3.0,1.0,2562,37,ITA
148,Gabriel Strefezza,Lecce,3.0,0.0,1118,19,BRA
148,Jesper Lindstrøm,Napoli,3.0,0.0,417,22,DEN
148,Patrick Dorgu,Lecce,3.0,0.0,1563,32,DEN
148,Sardar Azmoun,Roma,3.0,0.0,571,23,IRN
148,Tommaso Baldanzi,Roma,3.0,0.0,1259,27,ITA
153,Riccardo Calafiori,Bologna,2.0,5.0,2338,30,ITA
154,Manuel Locatelli,Juventus,2.0,4.0,3011,36,ITA
155,Abdou Harroui,Frosinone,2.0,3.0,1025,18,NED
155,Giorgio Scalvini,Atalanta,2.0,3.0,2553,33,ITA
155,Lewis Ferguson,Bologna,2.0,3.0,2718,31,SCO
155,Matias Vina,Sassuolo,2.0,3.0,1019,15,URU
155,M'Bala Nzola,Fiorentina,2.0,3.0,1545,33,ANG
155,Nahitan Nández,Cagliari,2.0,3.0,2351,33,URU
155,Rolando Mandragora,Fiorentina,2.0,3.0,1584,33,ITA
155,Tijjani Reijnders,Milan,2.0,3.0,2830,36,NED
155,Valentin Gendrey,Lecce,2.0,3.0,3050,37,FRA
164,Alessandro Zanoli,Salernitana,2.0,2.0,969,21,ITA
164,Benjamin Pavard,Internazionale,2.0,2.0,1677,23,FRA
164,Emmanuel Quartsin Gyasi,Empoli,2.0,2.0,1873,33,GHA
164,Gaetano Castrovilli,Fiorentina,2.0,2.0,370,6,ITA
164,Giulio Maggiore,Salernitana,2.0,2.0,1807,27,ITA
164,Jackson Tchatchoua,Verona,2.0,2.0,1725,26,CMR
164,Manuel Lazzari,Lazio,2.0,2.0,1675,24,ITA
164,Nicolo Fagioli,Juventus,2.0,2.0,440,8,ITA
164,Noah Okafor,Milan,2.0,2.0,869,28,SUI
164,Oussama El Azzouzi,Bologna,2.0,2.0,536,18,MAR
164,Pasquale Mazzocchi,Salernitana,2.0,2.0,1704,28,ITA
164,Pedro Pereira,Monza,2.0,2.0,833,23,POR
164,Ricardo Rodriguez,Torino,2.0,2.0,2783,35,SUI
164,Roberto Gagliardini,Monza,2.0,2.0,2366,33,ITA
164,Samuel Iling-Junior,Juventus,2.0,2.0,800,24,ENG
164,Yacine Adli,Milan,2.0,2.0,1412,24,FRA
164,Yunus Musah,Milan,2.0,2.0,1468,30,USA
181,Aaron Caricol,Genoa,2.0,1.0,1380,22,ESP
181,Alessio Zerbin,Monza,2.0,1.0,829,20,ITA
181,Angelino,Roma,2.0,1.0,1148,16,ESP
