Rank,Player,Team,Expected Goals per 90,Goals per 90,Minutes,Matches,Country
93,Grigoris Kastanos,Salernitana,0.17,0.18,1486,26,CYP
94,Nedim Bajrami,Sassuolo,0.17,0.14,1312,28,ALB
95,Pedro Rodriguez,Lazio,0.17,0.11,798,33,ESP
96,Andrea Colpani,Monza,0.16,0.27,2683,38,ITA
97,Ruben Loftus-Cheek,Milan,0.16,0.26,2081,29,ENG
98,Antonio Candreva,Salernitana,0.16,0.2,2757,34,ITA
99,Christian Kouamé,Fiorentina,0.16,0.17,1084,23,CIV
99,Dany Mota,Monza,0.16,0.17,2059,34,POR
99,Fikayo Tomori,Milan,0.16,0.17,2125,26,ENG
102,Gaetano Oristanio,Cagliari,0.16,0.16,1102,25,ITA
102,Theo Hernández,Milan,0.16,0.16,2794,32,FRA
104,Nicolo Barella,Internazionale,0.16,0.06,2860,37,ITA
105,Sandi Lovric,Udinese,0.16,0.05,1988,29,SVN
106,Kenan Yildiz,Juventus,0.15,0.19,945,27,TUR
107,Tomas Suslov,Verona,0.15,0.13,2094,32,SVK
108,Samuel Chukwueze,Milan,0.15,0.09,1012,24,NGA
109,Jesper Lindstrøm,Napoli,0.15,0.0,417,22,DEN
110,Lazar Samardzic,Udinese,0.14,0.23,2380,34,SRB
111,Felipe Anderson,Lazio,0.14,0.16,2782,38,BRA
111,Morten Thorsby,Genoa,0.14,0.16,1143,24,NOR
113,Nahitan Nández,Cagliari,0.14,0.08,2351,33,URU
114,Alessandro Deiola,Cagliari,0.14,0.06,1608,27,ITA
115,Nicolo Cambiaghi,Empoli,0.14,0.04,2562,37,ITA
116,Gustav Isaksen,Lazio,0.13,0.25,1069,28,DEN
117,Charalambos Lykogiannis,Bologna,0.13,0.2,899,22,GRE
118,Alexis Saelemaekers,Bologna,0.13,0.19,1892,30,BEL
119,Ismael Bennacer,Milan,0.13,0.16,1151,20,ALG
119,Michael Folorunsho,Verona,0.13,0.16,2793,34,ITA
119,Stephan El Shaarawy,Roma,0.13,0.16,1741,33,ITA
122,Darko Lazovic,Verona,0.13,0.14,1942,32,SRB
123,Jens-Lys Cajuste,Napoli,0.13,0.0,1007,26,SWE
124,Denzel Dumfries,Internazionale,0.12,0.22,1640,31,NED
125,Federico Dimarco,Internazionale,0.12,0.21,2105,30,ITA
126,Adrien Rabiot,Juventus,0.12,0.17,2651,31,FRA
127,Piotr Zielinski,Napoli,0.12,0.14,1938,28,POL
128,Gregoire Defrel,Sassuolo,0.12,0.12,751,20,MTQ
129,Hamza Rafia,Lecce,0.12,0.07,1211,28,TUN
130,Henrikh Mkhitaryan,Internazionale,0.12,0.06,2803,36,ARM
131,Kingsley Ehizibue,Udinese,0.12,0.0,955,23,NED
131,Paulo Azzi,Cagliari,0.12,0.0,936,25,BRA
133,Giulio Maggiore,Salernitana,0.11,0.2,1807,27,ITA
133,Lucas Martinez Quarta,Fiorentina,0.11,0.2,2292,29,ARG
135,Éderson,Atalanta,0.11,0.19,2873,36,BRA
136,Loum Tchaouna,Salernitana,0.11,0.17,2099,33,FRA
136,Reinier,Frosinone,0.11,0.17,1064,22,BRA
138,Rémi Oudin,Lecce,0.11,0.15,1826,31,FRA
139,Daichi Kamada,Lazio,0.11,0.12,1543,29,JPN
139,Patrick Dorgu,Lecce,0.11,0.12,1563,32,DEN
