Rank,Player,Team,Yellow Cards,Red Cards,Minutes,Matches,Country
92,Luca Caldirola,Monza,5.0,1.0,2139,29,ITA
92,Luca Pellegrini,Lazio,5.0,1.0,781,19,ITA
92,Malick Thiaw,Milan,5.0,1.0,1620,21,GER
92,Mario Rui,Napoli,5.0,1.0,1205,21,POR
92,Romelu Lukaku,Roma,5.0,1.0,2644,32,BEL
92,Ruan Tressoldi,Sassuolo,5.0,1.0,1515,26,BRA
100,Alberto Dossena,Cagliari,5.0,0.0,2979,35,ITA
100,Alessandro Bastoni,Internazionale,5.0,0.0,2283,28,ITA
100,Alessandro Florenzi,Milan,5.0,0.0,1730,31,ITA
100,Amir Rrahmani,Napoli,5.0,0.0,2602,30,KVX
100,Antonio Candreva,Salernitana,5.0,0.0,2757,34,ITA
100,Armand Laurienté,Sassuolo,5.0,0.0,2926,37,FRA
100,Christian Kabasele,Udinese,5.0,0.0,861,13,BEL
100,Davide Zappacosta,Atalanta,5.0,0.0,1875,31,ITA
100,Diego Llorente,Roma,5.0,0.0,2173,29,ESP
100,Domagoj Bradaric,Salernitana,5.0,0.0,2753,34,CRO
100,Emil Holm,Atalanta,5.0,0.0,948,22,SWE
100,Grigoris Kastanos,Salernitana,5.0,0.0,1486,26,CYP
100,Hakan Calhanoglu,Internazionale,5.0,0.0,2576,32,TUR
100,Hans Hateboer,Atalanta,5.0,0.0,1104,23,NED
100,Jean-Daniel Akpa-Akpro,Monza,5.0,0.0,700,19,CIV
100,Jonathan Ikoné,Fiorentina,5.0,0.0,1685,28,FRA
100,Lassana Coulibaly,Salernitana,5.0,0.0,2086,28,MLI
100,Lautaro Martinez,Internazionale,5.0,0.0,2668,33,ARG
100,Marco Davide Faraoni,Verona,5.0,0.0,995,19,ITA
100,Martin Erlic,Sassuolo,5.0,0.0,2624,32,CRO
100,Mateo Retegui,Genoa,5.0,0.0,2225,29,ITA
100,Matteo Gabbia,Milan,5.0,0.0,1276,18,ITA
100,Michael Folorunsho,Verona,5.0,0.0,2793,34,ITA
100,Nicolo Casale,Lazio,5.0,0.0,1557,20,ITA
100,Pawel Dawidowicz,Verona,5.0,0.0,2143,28,POL
100,Pontus Almqvist,Lecce,5.0,0.0,2115,30,SWE
100,Rafael Leao,Milan,5.0,0.0,2523,34,POR
100,Raoul Bellanova,Torino,5.0,0.0,3063,37,ITA
100,Rasmus Kristensen,Roma,5.0,0.0,1743,29,DEN
100,Roberto Gagliardini,Monza,5.0,0.0,2366,33,ITA
100,Roberto Piccoli,Lecce,5.0,0.0,1397,37,ITA
100,Rolando Mandragora,Fiorentina,5.0,0.0,1584,33,ITA
100,Ruben Loftus-Cheek,Milan,5.0,0.0,2081,29,ENG
100,Stefano Sabelli,Genoa,5.0,0.0,2448,32,ITA
100,Teun Koopmeiners,Atalanta,5.0,0.0,2633,34,NED
100,Timothy Weah,Juventus,5.0,0.0,1247,30,USA
100,Toma Basic,Salernitana,5.0,0.0,1166,15,CRO
100,Tommaso Augello,Cagliari,5.0,0.0,2429,32,ITA
100,Valentin Gendrey,Lecce,5.0,0.0,3050,37,FRA
100,Yerry Mina,Cagliari,5.0,0.0,1259,18,COL
100,Yunus Musah,Milan,5.0,0.0,1468,30,USA
100,Zito Luvumbo,Cagliari,5.0,0.0,1947,30,ANG
142,Alberto Grassi,Empoli,4.0,1.0,1823,27,ITA
142,Festy Ebosele,Udinese,4.0,1.0,1705,31,IRL
142,Isak Hien,Atalanta,4.0,1.0,1794,26,SWE
142,Luca Mazzitelli,Frosinone,4.0,1.0,2221,29,ITA
142,Manuel Lazzari,Lazio,4.0,1.0,1675,24,ITA
142,Nikola Krstovic,Lecce,4.0,1.0,2390,35,MNE
142,Pasquale Mazzocchi,Salernitana,4.0,1.0,1704,28,ITA
142,Rafael Toloi,Atalanta,4.0,1.0,962,18,ITA
142,Sam Beukema,Bologna,4.0,1.0,2549,30,NED
142,Victor Osimhen,Napoli,4.0,1.0,1990,25,NGA
152,Ademola Lookman,Atalanta,4.0,0.0,1899,31,NGA
152,Albert Gudmundsson,Genoa,4.0,0.0,3022,35,ISL
152,Alessandro Vogliacco,Genoa,4.0,0.0,1171,20,ITA
152,Alessandro Zanoli,Salernitana,4.0,0.0,969,21,ITA
152,Alexis Blin,Lecce,4.0,0.0,1632,31,FRA
152,Andrea Pinamonti,Sassuolo,4.0,0.0,3100,38,ITA
152,Anthony Oyono,Frosinone,4.0,0.0,1197,16,GAB
152,Berat Djimsiti,Atalanta,4.0,0.0,2831,37,ALB
152,Dan Ndoye,Bologna,4.0,0.0,1775,32,SUI
152,Dean Huijsen,Roma,4.0,0.0,515,14,ESP
152,Fabiano Parisi,Fiorentina,4.0,0.0,1452,21,ITA
152,Florian Thauvin,Udinese,4.0,0.0,1713,29,FRA
152,Gabriel Strefezza,Lecce,4.0,0.0,1118,19,BRA
152,Gian Marco Ferrari,Sassuolo,4.0,0.0,2268,31,ITA
152,Giovanni Fabbian,Bologna,4.0,0.0,1053,27,ITA
152,Giuseppe Pezzella,Empoli,4.0,0.0,1088,19,ITA
152,Hamza Rafia,Lecce,4.0,0.0,1211,28,TUN
152,Hassane Kamara,Udinese,4.0,0.0,2238,35,CIV
152,Henrikh Mkhitaryan,Internazionale,4.0,0.0,2803,36,ARM
152,Ibrahim Sulemana,Cagliari,4.0,0.0,1342,21,GHA
152,Isaac Success,Udinese,4.0,0.0,872,27,NGA
152,Jaka Bijol,Udinese,4.0,0.0,2083,24,SVN
152,Junior Sambia,Salernitana,4.0,0.0,1031,18,FRA
152,Kevin Strootman,Genoa,4.0,0.0,1209,27,NED
152,Kingsley Ehizibue,Udinese,4.0,0.0,955,23,NED
152,Lautaro Gianetti,Udinese,4.0,0.0,630,7,ARG
152,Leonardo Pavoletti,Cagliari,4.0,0.0,620,19,ITA
152,Lorenzo Pirola,Salernitana,4.0,0.0,1991,27,ITA
152,Loum Tchaouna,Salernitana,4.0,0.0,2099,33,FRA
152,Marcus Holmgren Pedersen,Sassuolo,4.0,0.0,1605,28,NOR
152,Matias Soulé,Frosinone,4.0,0.0,3136,36,ARG
152,Matteo Lovato,Torino,4.0,0.0,1490,26,ITA
152,Matteo Prati,Cagliari,4.0,0.0,1972,26,ITA
152,Milan Djuric,Monza,4.0,0.0,2464,37,BIH
152,Nadir Zortea,Frosinone,4.0,0.0,1403,19,ITA
152,Nicola Sansone,Lecce,4.0,0.0,750,25,ITA
152,Nikola Milenkovic,Fiorentina,4.0,0.0,2506,34,SRB
152,Oussama El Azzouzi,Bologna,4.0,0.0,536,18,MAR
152,Patric,Lazio,4.0,0.0,1610,20,ESP
152,Pedro Rodriguez,Lazio,4.0,0.0,798,33,ESP
152,Ricardo Rodriguez,Torino,4.0,0.0,2783,35,SUI
152,Riccardo Calafiori,Bologna,4.0,0.0,2338,30,ITA
152,Sardar Azmoun,Roma,4.0,0.0,571,23,IRN
152,Sead Kolasinac,Atalanta,4.0,0.0,2182,30,BIH
152,Sebastiano Luperto,Empoli,4.0,0.0,3407,38,ITA
152,Stanislav Lobotka,Napoli,4.0,0.0,3293,38,SVK
152,Szymon Zurkowski,Empoli,4.0,0.0,871,13,POL
152,Victor Kristiansen,Bologna,4.0,0.0,2312,32,DEN
200,Antoine Makoumbou,Cagliari,3.0,2.0,2707,32,CGO
200,Davide Calabria,Milan,3.0,2.0,2191,29,ITA
202,Adam Marusic,Lazio,3.0,1.0,3106,37,MNE
202,Danilo D'Ambrosio,Monza,3.0,1.0,1534,24,ITA
202,Federico Baschirotto,Lecce,3.0,1.0,3295,37,ITA
202,Federico Fazio,Salernitana,3.0,1.0,1354,17,ARG
202,Matteo Guendouzi,Lazio,3.0,1.0,2370,33,FRA
202,Matteo Pessina,Monza,3.0,1.0,3228,37,ITA
208,Bartosz Bereszynski,Empoli,3.0,0.0,1766,24,POL
208,Daichi Kamada,Lazio,3.0,0.0,1543,29,JPN
208,Dany Mota,Monza,3.0,0.0,2059,34,POR
208,Edoardo Goldaniga,Cagliari,3.0,0.0,1013,13,ITA
208,Emanuele Valeri,Frosinone,3.0,0.0,1178,16,ITA
208,Fabio Miretti,Juventus,3.0,0.0,1104,25,ITA
208,Federico Bonazzoli,Verona,3.0,0.0,1014,24,ITA
208,Felipe Anderson,Lazio,3.0,0.0,2782,38,BRA
208,Filippo Ranocchia,Empoli,3.0,0.0,477,9,ITA
208,Francesco Gelli,Frosinone,3.0,0.0,1558,27,ITA
208,Gianluca Lapadula,Cagliari,3.0,0.0,1206,23,PER
208,Giorgio Scalvini,Atalanta,3.0,0.0,2553,33,ITA
208,Giorgos Kyriakopoulos,Monza,3.0,0.0,1716,28,GRE
208,Giovanni Simeone,Napoli,3.0,0.0,787,28,ARG
208,Gustav Isaksen,Lazio,3.0,0.0,1069,28,DEN
208,Houssem Aouar,Roma,3.0,0.0,756,16,ALG
208,Ivan Ilic,Torino,3.0,0.0,2099,31,SRB
208,Kacper Urbanski,Bologna,3.0,0.0,921,22,POL
208,Kenan Yildiz,Juventus,3.0,0.0,945,27,TUR
208,Lazar Samardzic,Udinese,3.0,0.0,2380,34,SRB
208,Leo Østigard,Napoli,3.0,0.0,1621,25,NOR
208,Lorenzo Colombo,Monza,3.0,0.0,1366,25,ITA
208,Marcus Thuram,Internazionale,3.0,0.0,2707,35,FRA
208,Mario Pasalic,Atalanta,3.0,0.0,2048,34,CRO
208,Mateusz Legowski,Salernitana,3.0,0.0,1132,29,POL
208,Mathias Olivera,Napoli,3.0,0.0,1572,23,URU
208,Matteo Ruggeri,Atalanta,3.0,0.0,2466,34,ITA
208,Mergim Vojvoda,Torino,3.0,0.0,1372,28,KVX
208,Nicolas Viola,Cagliari,3.0,0.0,1202,26,ITA
208,Nicolo Cambiaghi,Empoli,3.0,0.0,2562,37,ITA
208,Nikola Vlasic,Torino,3.0,0.0,2614,33,CRO
208,Paulo Dybala,Roma,3.0,0.0,1973,28,ARG
208,Pedro Pereira,Monza,3.0,0.0,833,23,POR
208,Pietro Pellegri,Torino,3.0,0.0,745,24,ITA
208,Pietro Terracciano,Fiorentina,3.0,0.0,2970,33,ITA
208,Rade Krunic,Milan,3.0,0.0,686,10,BIH
208,Razvan Marin,Empoli,3.0,0.0,1818,30,ROU
208,Reinier,Frosinone,3.0,0.0,1064,22,BRA
208,Rémi Oudin,Lecce,3.0,0.0,1826,31,FRA
208,Simone Bastoni,Empoli,3.0,0.0,748,16,ITA
208,Simone Scuffet,Cagliari,3.0,0.0,2789,31,ITA
208,Tommaso Baldanzi,Roma,3.0,0.0,1259,27,ITA
208,Triantafyllos Pasalidis,Salernitana,3.0,0.0,451,8,GRE
208,Valentino Lazaro,Torino,3.0,0.0,1989,35,AUT
208,Yacine Adli,Milan,3.0,0.0,1412,24,FRA
253,Thomas Henry,Verona,2.0,2.0,320,18,FRA
254,Aaron Caricol,Genoa,2.0,1.0,1380,22,ESP
254,Arkadiusz Milik,Juventus,2.0,1.0,902,32,POL
254,Denzel Dumfries,Internazionale,2.0,1.0,1640,31,NED
254,Gianluca Gaetano,Cagliari,2.0,1.0,905,20,ITA
254,Josep Martinez,Genoa,2.0,1.0,3239,36,ESP
254,Luka Jovic,Milan,2.0,1.0,867,23,SRB
254,Mario Gila,Lazio,2.0,1.0,1813,21,ESP
254,Mateusz Wieteska,Cagliari,2.0,1.0,958,19,POL
254,Matteo Politano,Napoli,2.0,1.0,2384,37,ITA
254,Mohamed Kaba,Lecce,2.0,1.0,1382,23,FRA
254,Thomas Kristensen,Udinese,2.0,1.0,2097,26,DEN
265,Abdou Harroui,Frosinone,2.0,0.0,1025,18,NED
265,Adam Masina,Udinese,2.0,0.0,1083,20,MAR
265,Alberto Cerri,Empoli,2.0,0.0,553,12,ITA
265,Alfred Duncan,Fiorentina,2.0,0.0,1893,30,GHA
265,Andrea Petagna,Cagliari,2.0,0.0,996,18,ITA
265,Andre-Frank Zambo Anguissa,Napoli,2.0,0.0,2792,34,CMR
265,Angelino,Roma,2.0,0.0,1148,16,ESP
265,Antonin Barak,Fiorentina,2.0,0.0,802,21,CZE
265,Antonino Gallo,Lecce,2.0,0.0,2500,35,ITA
265,Antonio Sanabria,Torino,2.0,0.0,2133,35,PAR
265,Ardian Ismajli,Empoli,2.0,0.0,2046,26,ALB
265,Arthur,Fiorentina,2.0,0.0,1993,33,BRA
265,Bruno Amione,Verona,2.0,0.0,580,10,ARG
