Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
93,Nicolas Viola,Cagliari,3.4,5.0,1202,26,ITA
94,Francesco Caputo,Empoli,3.4,3.0,1274,20,ITA
95,Giovanni Simeone,Napoli,3.4,1.0,787,28,ARG
96,Leandro Paredes,Roma,3.3,3.0,2644,34,ARG
96,Sardar Azmoun,Roma,3.3,3.0,571,23,IRN
96,Thomas Henry,Verona,3.3,3.0,320,18,FRA
99,Tijjani Reijnders,Milan,3.2,3.0,2830,36,NED
100,Alexis Sánchez,Internazionale,3.2,2.0,751,23,CHI
101,Giovanni Di Lorenzo,Napoli,3.2,1.0,3235,36,ITA
102,Abdou Harroui,Frosinone,3.1,3.0,1025,18,NED
102,Federico Bonazzoli,Verona,3.1,3.0,1014,24,ITA
104,Tommaso Baldanzi,Roma,3.0,2.0,1259,27,ITA
105,Weston McKennie,Juventus,3.0,0.0,2599,34,USA
106,Federico Dimarco,Internazionale,2.9,5.0,2105,30,ITA
107,Caleb Ekuban,Genoa,2.9,4.0,1123,29,GHA
108,Grigoris Kastanos,Salernitana,2.9,3.0,1486,26,CYP
109,Nicola Sansone,Lecce,2.9,2.0,750,25,ITA
110,Roberto Gagliardini,Monza,2.9,1.0,2366,33,ITA
111,Darko Lazovic,Verona,2.8,3.0,1942,32,SRB
112,Lucas Martinez Quarta,Fiorentina,2.7,5.0,2292,29,ARG
113,Alexis Saelemaekers,Bologna,2.7,4.0,1892,30,BEL
114,Simy,Salernitana,2.7,3.0,680,15,NGA
115,Emil Holm,Atalanta,2.7,1.0,948,22,SWE
115,Isaac Success,Udinese,2.7,1.0,872,27,NGA
117,Leonardo Pavoletti,Cagliari,2.6,4.0,620,19,ITA
117,Loum Tchaouna,Salernitana,2.6,4.0,2099,33,FRA
119,Piotr Zielinski,Napoli,2.6,3.0,1938,28,POL
120,Riccardo Sottil,Fiorentina,2.6,2.0,1108,22,ITA
121,Stephan El Shaarawy,Roma,2.5,3.0,1741,33,ITA
122,Nedim Bajrami,Sassuolo,2.5,2.0,1312,28,ALB
123,Alessandro Deiola,Cagliari,2.5,1.0,1608,27,ITA
123,Gabriel Strefezza,Lecce,2.5,1.0,1118,19,BRA
125,Houssem Aouar,Roma,2.4,4.0,756,16,ALG
126,Nikola Vlasic,Torino,2.4,3.0,2614,33,CRO
127,Chukwubuikem Ikwuemesi,Salernitana,2.4,1.0,1058,25,NGA
128,Luca Mazzitelli,Frosinone,2.3,5.0,2221,29,ITA
129,Denzel Dumfries,Internazionale,2.3,4.0,1640,31,NED
129,Giulio Maggiore,Salernitana,2.3,4.0,1807,27,ITA
