Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
395,Pedro Pereira,Monza,0.2,0.0,833,23,POR
395,Saba Sazonov,Torino,0.2,0.0,348,12,GEO
395,Sebastian Walukiewicz,Empoli,0.2,0.0,2054,27,POL
395,Tommaso Pobega,Milan,0.2,0.0,314,11,ITA
417,Chaka Traorè,Milan,0.1,1.0,18,2,CIV
417,Davide Biraschi,Genoa,0.1,1.0,90,1,ITA
417,Federico Di Francesco,Lecce,0.1,1.0,14,2,ITA
417,Kingstone Mutandwa,Cagliari,0.1,1.0,34,5,ZAM
417,Renato Sanches,Roma,0.1,1.0,142,7,POR
422,Adam Obert,Cagliari,0.1,0.0,940,17,SVK
422,Alan Matturro,Genoa,0.1,0.0,103,6,URU
422,Alessandro Di Pardo,Cagliari,0.1,0.0,352,15,ITA
422,Bartosz Bereszynski,Empoli,0.1,0.0,1766,24,POL
422,Beto,Udinese,0.1,0.0,74,1,POR
422,Daniel Silva,Verona,0.1,0.0,440,14,POR
422,Davy Klaassen,Internazionale,0.1,0.0,196,13,NED
422,Dodo,Fiorentina,0.1,0.0,523,9,BRA
422,Elayis Tavsan,Verona,0.1,0.0,47,3,NED
422,Emil Bohinen,Salernitana,0.1,0.0,589,17,NOR
422,Emil Konradsen Ceide,Sassuolo,0.1,0.0,165,11,NOR
422,Erik Botheim,Salernitana,0.1,0.0,316,7,NOR
422,Fares Ghedjemis,Frosinone,0.1,0.0,180,6,FRA
422,Giovanni Bonfanti,Atalanta,0.1,0.0,89,2,ITA
422,Hans Nicolussi Caviglia,Juventus,0.1,0.0,266,8,ITA
422,Jackson Tchatchoua,Verona,0.1,0.0,1725,26,CMR
422,Kevin Strootman,Genoa,0.1,0.0,1209,27,NED
422,Koffi Djidji,Torino,0.1,0.0,760,13,CIV
422,Konstantinos Manolas,Salernitana,0.1,0.0,492,8,GRE
422,Lorenzo Venuti,Lecce,0.1,0.0,357,14,ITA
422,Luca Lipani,Sassuolo,0.1,0.0,387,8,ITA
422,Luka Romero,Milan,0.1,0.0,86,4,ARG
422,Marco Pellegrino,Salernitana,0.1,0.0,611,11,ARG
422,Marcus Holmgren Pedersen,Sassuolo,0.1,0.0,1605,28,NOR
422,Mario Rui,Napoli,0.1,0.0,1205,21,POR
422,Martin Hongla,Verona,0.1,0.0,1085,15,CMR
422,Mateus Lusuardi,Frosinone,0.1,0.0,220,4,BRA
422,Matteo Lovato,Torino,0.1,0.0,1490,26,ITA
422,Mehdi Bourabia,Frosinone,0.1,0.0,197,10,MAR
422,Michel Ndary Adopo,Atalanta,0.1,0.0,101,10,FRA
422,Nicolas Haas,Empoli,0.1,0.0,90,1,SUI
422,Pierre Kalulu,Milan,0.1,0.0,370,9,FRA
422,Rade Krunic,Milan,0.1,0.0,686,10,BIH
422,Rafael Toloi,Atalanta,0.1,0.0,962,18,ITA
422,Riccardo Pagano,Roma,0.1,0.0,48,4,ITA
422,Riccardo Saponara,Verona,0.1,0.0,336,12,ITA
422,Ridgeciano Haps,Genoa,0.1,0.0,770,16,SUR
422,Seydou Fini,Genoa,0.1,0.0,33,3,CIV
422,Stefano Sensi,Internazionale,0.1,0.0,43,4,ITA
422,Tommaso Corazza,Bologna,0.1,0.0,188,9,ITA
422,Trivante Stewart,Salernitana,0.1,0.0,96,4,JAM
422,Yann Karamoh,Torino,0.1,0.0,153,10,FRA
464,Ahmed Touba,Lecce,0.0,0.0,275,6,ALG
464,Axel Guessand,Udinese,0.0,0.0,45,1,FRA
464,Brandon Soppy,Torino,0.0,0.0,177,5,FRA
464,Chris Smalling,Roma,0.0,0.0,389,8,ENG
464,Diego Demme,Napoli,0.0,0.0,73,2,GER
464,Dylan Bronn,Salernitana,0.0,0.0,50,4,TUN
464,Emanuel Vignato,Salernitana,0.0,0.0,308,9,ITA
464,Fabien Centonze,Verona,0.0,0.0,674,10,FRA
464,Gino Infantino,Fiorentina,0.0,0.0,91,6,ARG
464,Giulio Donati,Monza,0.0,0.0,32,4,ITA
464,Juan Manuel Cruz,Verona,0.0,0.0,107,4,ARG
464,Leander Dendoncker,Napoli,0.0,0.0,21,3,BEL
464,Lorenzo Amatucci,Fiorentina,0.0,0.0,21,2,ITA
464,Marcin Listkowski,Lecce,0.0,0.0,7,1,POL
464,Pablo Galdames,Genoa,0.0,0.0,9,2,CHI
464,Pedro Obiang,Sassuolo,0.0,0.0,453,8,EQG
464,Pierluigi Gollini,Napoli,0.0,0.0,630,7,ITA
464,Reda Belahyane,Verona,0.0,0.0,90,2,FRA
464,Ruben Vinagre,Verona,0.0,0.0,277,12,POR
464,Triantafyllos Pasalidis,Salernitana,0.0,0.0,451,8,GRE
