Rank,Player,Team,Expected Assists (xA),Actual Assists,Minutes,Matches,Country
410,Pietro Pellegri,Torino,0.1,1.0,745,24,ITA
410,Stefano Sensi,Internazionale,0.1,1.0,43,4,ITA
416,Alejandro Jimenez,Milan,0.1,0.0,65,3,ESP
416,Andrea Consigli,Sassuolo,0.1,0.0,3150,35,ITA
416,Brandon Soppy,Torino,0.1,0.0,177,5,FRA
416,Daniele Rugani,Juventus,0.1,0.0,1189,17,ITA
416,Dean Huijsen,Roma,0.1,0.0,515,14,ESP
416,Diego Coppola,Verona,0.1,0.0,1636,24,ITA
416,Erik Botheim,Salernitana,0.1,0.0,316,7,NOR
416,Fares Ghedjemis,Frosinone,0.1,0.0,180,6,FRA
416,Filippo Missori,Sassuolo,0.1,0.0,262,8,ITA
416,Flavius Daniliuc,Salernitana,0.1,0.0,742,14,AUT
416,George Puscas,Genoa,0.1,0.0,185,8,ROU
416,Guillermo Ochoa,Salernitana,0.1,0.0,1890,21,MEX
416,Jens Odgaard,Bologna,0.1,0.0,431,10,DEN
416,Jérome Boateng,Salernitana,0.1,0.0,238,7,GER
416,Joao Costa,Roma,0.1,0.0,11,3,BRA
416,Jose Machin,Monza,0.1,0.0,232,10,EQG
416,Josep Martinez,Genoa,0.1,0.0,3239,36,ESP
416,Juan Manuel Cruz,Verona,0.1,0.0,107,4,ARG
416,Koffi Djidji,Torino,0.1,0.0,760,13,CIV
416,Lautaro Gianetti,Udinese,0.1,0.0,630,7,ARG
416,Lorenzo Amatucci,Fiorentina,0.1,0.0,21,2,ITA
416,Lorenzo De Silvestri,Bologna,0.1,0.0,672,15,ITA
416,Lorenzo Pirola,Salernitana,0.1,0.0,1991,27,ITA
416,Luca Lipani,Sassuolo,0.1,0.0,387,8,ITA
416,Luka Romero,Milan,0.1,0.0,86,4,ARG
416,Martin Hongla,Verona,0.1,0.0,1085,15,CMR
416,Mattia Bani,Genoa,0.1,0.0,2309,27,ITA
416,Mattia Viti,Sassuolo,0.1,0.0,985,15,ITA
416,Michele Di Gregorio,Monza,0.1,0.0,2874,33,ITA
416,Mitchel Bakker,Atalanta,0.1,0.0,372,14,NED
416,Moise Kean,Juventus,0.1,0.0,650,19,ITA
416,Niccolo Pierozzi,Salernitana,0.1,0.0,873,12,ITA
416,Nicolás Dominguez,Bologna,0.1,0.0,101,2,ARG
416,Norbert Gyömbér,Salernitana,0.1,0.0,1762,22,SVK
416,Oier Zarraga,Udinese,0.1,0.0,395,15,ESP
416,Paul Pogba,Juventus,0.1,0.0,52,2,FRA
416,Pawel Dawidowicz,Verona,0.1,0.0,2143,28,POL
416,Pietro Terracciano,Fiorentina,0.1,0.0,2970,33,ITA
416,Renato Sanches,Roma,0.1,0.0,142,7,POR
416,Shon Weissman,Salernitana,0.1,0.0,493,11,ISR
416,Simone Pafundi,Udinese,0.1,0.0,7,1,ITA
416,Simone Scuffet,Cagliari,0.1,0.0,2789,31,ITA
416,Tajon Buchanan,Internazionale,0.1,0.0,151,10,CAN
416,Thomas Henry,Verona,0.1,0.0,320,18,FRA
416,Tommaso Pobega,Milan,0.1,0.0,314,11,ITA
416,Vanja Milinkovic-Savic,Torino,0.1,0.0,3240,36,SRB
462,Christian Kabasele,Udinese,0.0,1.0,861,13,BEL
462,Rares Burnete,Lecce,0.0,1.0,7,1,ROU
462,Santiago Castro,Bologna,0.0,1.0,238,8,ARG
465,Ahmed Touba,Lecce,0.0,0.0,275,6,ALG
465,Alan Matturro,Genoa,0.0,0.0,103,6,URU
465,Alessandro Dellavalle,Torino,0.0,0.0,14,1,ITA
465,Alessandro Sorentino,Monza,0.0,0.0,546,7,ITA
465,Alessio Cragno,Sassuolo,0.0,0.0,270,3,ITA
465,Alex Meret,Napoli,0.0,0.0,2774,31,ITA
465,Alphadjo Cissè,Verona,0.0,0.0,7,1,ITA
465,Andrea Ferraris,Monza,0.0,0.0,9,1,ITA
465,Andres Sfait,Salernitana,0.0,0.0,21,2,ROU
465,Antonio Mirante,Milan,0.0,0.0,178,2,ITA
465,Axel Guessand,Udinese,0.0,0.0,45,1,FRA
465,Benoit Costil,Salernitana,0.0,0.0,1170,13,FRA
465,Beto,Udinese,0.0,0.0,74,1,POR
465,Boris Radunovic,Cagliari,0.0,0.0,630,7,SRB
465,Brenner da Silva,Udinese,0.0,0.0,185,8,BRA
465,Bruno Amione,Verona,0.0,0.0,580,10,ARG
465,Carlo Pinsoglio,Juventus,0.0,0.0,45,1,ITA
465,Chaka Traorè,Milan,0.0,0.0,18,2,CIV
465,Charlys,Verona,0.0,0.0,24,2,BRA
465,Chris Smalling,Roma,0.0,0.0,389,8,ENG
465,Christos Mandas,Lazio,0.0,0.0,721,9,GRE
465,David Zima,Torino,0.0,0.0,87,5,CZE
465,Davide Bartesaghi,Milan,0.0,0.0,73,6,ITA
465,Davide Bettella,Monza,0.0,0.0,3,1,ITA
465,Davide Biraschi,Genoa,0.0,0.0,90,1,ITA
465,Diego Demme,Napoli,0.0,0.0,73,2,GER
465,Dylan Bronn,Salernitana,0.0,0.0,50,4,TUN
465,Ebenezer Akinsanmiro,Internazionale,0.0,0.0,14,1,NGA
465,Elayis Tavsan,Verona,0.0,0.0,47,3,NED
465,Elia Caprile,Empoli,0.0,0.0,2070,23,ITA
465,Emil Audero,Internazionale,0.0,0.0,337,4,ITA
465,Emmanuel Ekong,Empoli,0.0,0.0,4,1,SWE
465,Enzo Ebosse,Udinese,0.0,0.0,7,1,CMR
465,Etrit Berisha,Empoli,0.0,0.0,1260,14,ALB
465,Federico Di Francesco,Lecce,0.0,0.0,14,2,ITA
465,Federico Ravaglia,Bologna,0.0,0.0,536,6,ITA
465,Filip Jagiello,Genoa,0.0,0.0,32,2,POL
465,Francesco Rossi,Atalanta,0.0,0.0,4,1,ITA
465,Gerardo Fusco,Salernitana,0.0,0.0,14,1,ITA
465,Giacomo Corona,Empoli,0.0,0.0,4,1,ITA
465,Gino Infantino,Fiorentina,0.0,0.0,91,6,ARG
465,Giorgi Kvernadze,Frosinone,0.0,0.0,59,5,GEO
465,Giorgio Cittadini,Genoa,0.0,0.0,118,6,ITA
465,Giovanni Bonfanti,Atalanta,0.0,0.0,89,2,ITA
465,Ivan Provedel,Lazio,0.0,0.0,2699,30,ITA
465,Jan-Carlo Simic,Milan,0.0,0.0,143,4,SRB
465,Jeppe Corfitzen,Lecce,0.0,0.0,8,1,DEN
465,José Luis Palomino,Atalanta,0.0,0.0,23,4,ARG
465,Joseph Boende,Juventus,0.0,0.0,22,2,BEL
465,Juan Musso,Atalanta,0.0,0.0,990,11,ARG
465,Justin Kumi,Sassuolo,0.0,0.0,3,1,ITA
465,Karlo Lulic,Frosinone,0.0,0.0,18,1,CRO
465,Kevin Bonifazi,Frosinone,0.0,0.0,397,7,ITA
465,Kevin Miranda,Sassuolo,0.0,0.0,12,1,ITA
465,Kevin Zeroli,Milan,0.0,0.0,25,3,ITA
465,Kingstone Mutandwa,Cagliari,0.0,0.0,34,5,ZAM
465,Konstantinos Manolas,Salernitana,0.0,0.0,492,8,GRE
465,Lapo Nava,Milan,0.0,0.0,2,1,ITA
465,Leander Dendoncker,Napoli,0.0,0.0,21,3,BEL
465,Liam Henderson,Empoli,0.0,0.0,5,1,SCO
465,Luca Gemello,Torino,0.0,0.0,180,2,ITA
465,Lucien Agoume,Internazionale,0.0,0.0,4,1,FRA
465,Luigi Canotto,Frosinone,0.0,0.0,15,1,ITA
465,Lukasz Skorupski,Bologna,0.0,0.0,2880,32,POL
465,Maduka Okoye,Udinese,0.0,0.0,1890,21,NGA
465,Mamadou Coulibaly,Salernitana,0.0,0.0,2,1,SEN
465,Marash Kumbulla,Sassuolo,0.0,0.0,358,7,ALB
465,Marcin Listkowski,Lecce,0.0,0.0,7,1,POL
465,Marco Carnesecchi,Atalanta,0.0,0.0,2426,27,ITA
465,Marco Pellegrino,Salernitana,0.0,0.0,611,11,ARG
465,Marco Silvestri,Udinese,0.0,0.0,1530,17,ITA
465,Marco Sportiello,Milan,0.0,0.0,630,7,ITA
465,Mateus Lusuardi,Frosinone,0.0,0.0,220,4,BRA
465,Mattia Caldara,Milan,0.0,0.0,32,1,ITA
465,Mattia De Sciglio,Juventus,0.0,0.0,45,1,ITA
465,Mattia Destro,Empoli,0.0,0.0,356,15,ITA
465,Mattia Perin,Juventus,0.0,0.0,225,3,ITA
465,Mehdi Bourabia,Frosinone,0.0,0.0,197,10,MAR
465,Michele Cerofolini,Frosinone,0.0,0.0,675,8,ITA
465,Mile Svilar,Roma,0.0,0.0,1350,15,SRB
465,Niccolo Pisilli,Roma,0.0,0.0,9,1,ITA
465,Nicola Bagnolini,Bologna,0.0,0.0,4,1,ITA
465,Nicola Leali,Genoa,0.0,0.0,177,3,ITA
465,Nicolas Haas,Empoli,0.0,0.0,90,1,SUI
465,Nikita Contini,Napoli,0.0,0.0,16,1,ITA
465,Nikola Sekulov,Juventus,0.0,0.0,10,1,ITA
465,Ola Solbakken,Roma,0.0,0.0,22,1,NOR
465,Oliver Christensen,Fiorentina,0.0,0.0,360,4,DEN
465,Pablo Galdames,Genoa,0.0,0.0,9,2,CHI
465,Pierluigi Gollini,Napoli,0.0,0.0,630,7,ITA
465,Pietro Comuzzo,Fiorentina,0.0,0.0,39,4,ITA
465,Przemyslaw Szyminski,Frosinone,0.0,0.0,8,1,POL
465,Quina,Udinese,0.0,0.0,12,2,POR
465,Raffaele Di Gennaro,Internazionale,0.0,0.0,23,1,ITA
465,Reda Belahyane,Verona,0.0,0.0,90,2,FRA
465,Riccardo Pagano,Roma,0.0,0.0,48,4,ITA
465,Rui Patricio,Roma,0.0,0.0,2070,23,POR
465,Saba Sazonov,Torino,0.0,0.0,348,12,GEO
465,Samuele Perisan,Empoli,0.0,0.0,90,1,ITA
465,Seydou Fini,Genoa,0.0,0.0,33,3,CIV
465,Silvan Hefti,Genoa,0.0,0.0,111,6,SUI
465,Simone Perilli,Verona,0.0,0.0,90,1,ITA
465,Simone Verdi,Torino,0.0,0.0,3,1,ITA
465,Stefano Turati,Frosinone,0.0,0.0,2745,31,ITA
465,Sydney van Hooijdonk,Bologna,0.0,0.0,207,9,NED
465,Tammy Abraham,Roma,0.0,0.0,240,8,ENG
465,Tiago Djalo,Juventus,0.0,0.0,16,1,POR
465,Tommaso Martinelli,Fiorentina,0.0,0.0,90,1,ITA
465,Trivante Stewart,Salernitana,0.0,0.0,96,4,JAM
465,Vincenzo Fiorillo,Salernitana,0.0,0.0,360,4,ITA
465,Wladimiro Falcone,Lecce,0.0,0.0,3420,38,ITA
465,Wojciech Szczesny,Juventus,0.0,0.0,3150,35,POL
465,Yann Sommer,Internazionale,0.0,0.0,3060,34,SUI
465,Yayah Kallon,Verona,0.0,0.0,3,1,SLE
465,Zanos Savva,Torino,0.0,0.0,26,2,CYP
