Rank,Player,Team,Expected Assists (xA),Actual Assists,Minutes,Matches,Country
93,Giorgos Kyriakopoulos,Monza,2.0,3.0,1716,28,GRE
93,Lautaro Martinez,Internazionale,2.0,3.0,2668,33,ARG
93,Roberto Pereyra,Udinese,2.0,3.0,1862,27,ARG
97,Roberto Gagliardini,Monza,2.0,2.0,2366,33,ITA
97,Yacine Adli,Milan,2.0,2.0,1412,24,FRA
99,Gustav Isaksen,Lazio,2.0,1.0,1069,28,DEN
99,Jonathan Ikoné,Fiorentina,2.0,1.0,1685,28,FRA
99,Ruben Loftus-Cheek,Milan,2.0,1.0,2081,29,ENG
99,Youssef Maleh,Empoli,2.0,1.0,2610,34,MAR
103,Lucas Beltran,Fiorentina,1.9,2.0,1694,32,ARG
103,Marco Brescianini,Frosinone,1.9,2.0,2321,36,ITA
103,Stefan Posch,Bologna,1.9,2.0,2418,31,AUT
106,Stefano Sabelli,Genoa,1.9,1.0,2448,32,ITA
107,Stephan El Shaarawy,Roma,1.8,4.0,1741,33,ITA
108,Valentin Gendrey,Lecce,1.8,3.0,3050,37,FRA
109,Benjamin Pavard,Internazionale,1.8,2.0,1677,23,FRA
109,Mario Rui,Napoli,1.8,2.0,1205,21,POR
109,Ricardo Rodriguez,Torino,1.8,2.0,2783,35,SUI
112,Hassane Kamara,Udinese,1.8,1.0,2238,35,CIV
112,Pontus Almqvist,Lecce,1.8,1.0,2115,30,SWE
114,Rolando Mandragora,Fiorentina,1.7,3.0,1584,33,ITA
115,Jackson Tchatchoua,Verona,1.7,2.0,1725,26,CMR
116,Aaron Caricol,Genoa,1.7,1.0,1380,22,ESP
116,Davide Zappacosta,Atalanta,1.7,1.0,1875,31,ITA
116,Jacopo Fazzini,Empoli,1.7,1.0,1226,31,ITA
116,Nikola Krstovic,Lecce,1.7,1.0,2390,35,MNE
120,Dusan Vlahovic,Juventus,1.6,4.0,2317,33,SRB
120,Duvan Zapata,Torino,1.6,4.0,3005,37,COL
122,Davide Calabria,Milan,1.6,3.0,2191,29,ITA
122,Domagoj Bradaric,Salernitana,1.6,3.0,2753,34,CRO
122,M'Bala Nzola,Fiorentina,1.6,3.0,1545,33,ANG
125,Ismael Bennacer,Milan,1.6,2.0,1151,20,ALG
125,Matheus Henrique,Sassuolo,1.6,2.0,2501,31,BRA
125,Nedim Bajrami,Sassuolo,1.6,2.0,1312,28,ALB
125,Rick Karsdorp,Roma,1.6,2.0,1214,18,NED
125,Samuel Iling-Junior,Juventus,1.6,2.0,800,24,ENG
130,Emanuele Valeri,Frosinone,1.6,1.0,1178,16,ITA
130,Kristian Thorstvedt,Sassuolo,1.6,1.0,2413,34,NOR
130,Stanislav Lobotka,Napoli,1.6,1.0,3293,38,SVK
133,Kenan Yildiz,Juventus,1.6,0.0,945,27,TUR
134,Gianluca Scamacca,Atalanta,1.5,6.0,1459,29,ITA
135,Antonin Barak,Fiorentina,1.5,3.0,802,21,CZE
135,Giorgio Scalvini,Atalanta,1.5,3.0,2553,33,ITA
135,Grigoris Kastanos,Salernitana,1.5,3.0,1486,26,CYP
135,Matteo Pessina,Monza,1.5,3.0,3228,37,ITA
135,Mergim Vojvoda,Torino,1.5,3.0,1372,28,KVX
135,Romelu Lukaku,Roma,1.5,3.0,2644,32,BEL
141,Andrea Belotti,Fiorentina,1.5,2.0,1624,29,ITA
142,Alessio Zerbin,Monza,1.5,1.0,829,20,ITA
142,Angelino,Roma,1.5,1.0,1148,16,ESP
142,Nicola Zalewski,Roma,1.5,1.0,966,22,POL
142,Pedro Rodriguez,Lazio,1.5,1.0,798,33,ESP
146,Festy Ebosele,Udinese,1.5,0.0,1705,31,IRL
146,Tommaso Baldanzi,Roma,1.5,0.0,1259,27,ITA
148,Morten Frendrup,Genoa,1.4,5.0,3146,37,DEN
149,Abdou Harroui,Frosinone,1.4,3.0,1025,18,NED
149,Milan Badelj,Genoa,1.4,3.0,2555,33,CRO
149,Valentin Carboni,Monza,1.4,3.0,1158,31,ARG
152,Liberato Cacace,Empoli,1.4,1.0,1907,31,NZL
152,Luis Muriel,Atalanta,1.4,1.0,395,18,COL
152,Michael Kayode,Fiorentina,1.4,1.0,2063,26,ITA
155,Cristian Volpato,Sassuolo,1.4,0.0,632,22,ITA
156,Alberto Dossena,Cagliari,1.3,4.0,2979,35,ITA
157,Loum Tchaouna,Salernitana,1.3,3.0,2099,33,FRA
157,Victor Kristiansen,Bologna,1.3,3.0,2312,32,DEN
159,Manuel Lazzari,Lazio,1.3,2.0,1675,24,ITA
159,Pasquale Mazzocchi,Napoli,1.3,2.0,1704,28,ITA
161,Alberto Grassi,Empoli,1.3,1.0,1823,27,ITA
161,Ciro Immobile,Lazio,1.3,1.0,1656,31,ITA
161,Fabiano Parisi,Fiorentina,1.3,1.0,1452,21,ITA
161,Filippo Terracciano,Milan,1.3,1.0,1368,21,ITA
161,Francesco Acerbi,Internazionale,1.3,1.0,2386,29,ITA
161,Mathias Olivera,Napoli,1.3,1.0,1572,23,URU
161,Matteo Darmian,Internazionale,1.3,1.0,2413,33,ITA
161,Rasmus Kristensen,Roma,1.3,1.0,1743,29,DEN
161,Remo Freuler,Bologna,1.3,1.0,2632,32,SUI
170,Armando Izzo,Monza,1.3,0.0,1653,23,ITA
170,Federico Gatti,Juventus,1.3,0.0,2640,32,ITA
170,Gabriel Strefezza,Lecce,1.3,0.0,1118,19,BRA
173,Marten de Roon,Atalanta,1.2,5.0,2599,30,NED
174,Lameck Banda,Lecce,1.2,4.0,1358,21,ZAM
175,Adrien Tamèze,Torino,1.2,2.0,2154,29,FRA
175,Edoardo Bove,Roma,1.2,2.0,1777,31,ITA
