Rank,Team,Clean Sheets,Matches,Country
1,Inter,21.0,38,ITA
2,Torino,18.0,38,ITA
3,Bologna,17.0,38,ITA
3,Juventus,17.0,38,ITA
5,Atalanta,15.0,38,ITA
6,AC Milan,13.0,38,ITA
6,Lazio,13.0,38,ITA
8,Monza,12.0,38,ITA
9,Roma,11.0,38,ITA
10,Empoli,9.0,38,ITA
10,Genoa,9.0,38,ITA
10,Udinese,9.0,38,ITA
13,Fiorentina,8.0,38,ITA
13,Hellas Verona,8.0,38,ITA
15,Frosinone,7.0,38,ITA
15,Lecce,7.0,38,ITA
15,SSC Napoli,7.0,38,ITA
18,Cagliari,5.0,38,ITA
19,Sassuolo,3.0,38,ITA
20,Salernitana,2.0,38,ITA
