Rank,Player,Team,Goals per 90,Total Goals,Minutes,Matches,Country
92,Rolando Mandragora,Fiorentina,0.17,3.0,1584,33,ITA
94,Christian Kouamé,Fiorentina,0.17,2.0,1084,23,CIV
94,Reinier,Frosinone,0.17,2.0,1064,22,BRA
96,Marvin Cuni,Frosinone,0.17,1.0,522,22,ALB
97,Felipe Anderson,Lazio,0.16,5.0,2782,38,BRA
97,Michael Folorunsho,Verona,0.16,5.0,2793,34,ITA
97,Theo Hernández,Milan,0.16,5.0,2794,32,FRA
100,Marco Brescianini,Frosinone,0.16,4.0,2321,36,ITA
101,Jonathan Ikoné,Fiorentina,0.16,3.0,1685,28,FRA
101,Stephan El Shaarawy,Roma,0.16,3.0,1741,33,ITA
103,Gaetano Oristanio,Cagliari,0.16,2.0,1102,25,ITA
103,Ismael Bennacer,Milan,0.16,2.0,1151,20,ALG
103,Morten Thorsby,Genoa,0.16,2.0,1143,24,NOR
103,Riccardo Sottil,Fiorentina,0.16,2.0,1108,22,ITA
103,Valentin Carboni,Monza,0.16,2.0,1158,31,ARG
108,Armand Laurienté,Sassuolo,0.15,5.0,2926,37,FRA
109,Rémi Oudin,Lecce,0.15,3.0,1826,31,FRA
110,Federico Gatti,Juventus,0.14,4.0,2640,32,ITA
111,Darko Lazovic,Verona,0.14,3.0,1942,32,SRB
111,Piotr Zielinski,Napoli,0.14,3.0,1938,28,POL
113,Nedim Bajrami,Sassuolo,0.14,2.0,1312,28,ALB
113,Tommaso Baldanzi,Empoli,0.14,2.0,1259,27,ITA
115,Cristian Volpato,Sassuolo,0.14,1.0,632,22,ITA
116,Gianluca Mancini,Roma,0.13,4.0,2872,36,ITA
117,Ivan Ilic,Torino,0.13,3.0,2099,31,SRB
117,Tomas Suslov,Verona,0.13,3.0,2094,32,SVK
119,Ibrahim Sulemana,Cagliari,0.13,2.0,1342,21,GHA
119,Lameck Banda,Lecce,0.13,2.0,1358,21,ZAM
119,Nadir Zortea,Frosinone,0.13,2.0,1403,19,ITA
122,Daichi Kamada,Lazio,0.12,2.0,1543,29,JPN
122,Ilario Monterisi,Frosinone,0.12,2.0,1467,24,ITA
122,Patrick Dorgu,Lecce,0.12,2.0,1563,32,DEN
122,Pol Lirola,Frosinone,0.12,2.0,1538,25,ESP
126,Gregoire Defrel,Sassuolo,0.12,1.0,751,20,MTQ
126,Kristjan Asllani,Internazionale,0.12,1.0,771,23,ALB
126,Luca Pellegrini,Lazio,0.12,1.0,781,19,ITA
126,Pietro Pellegri,Torino,0.12,1.0,745,24,ITA
130,Alessandro Buongiorno,Torino,0.11,3.0,2530,29,ITA
130,Francesco Acerbi,Internazionale,0.11,3.0,2386,29,ITA
132,Diego Coppola,Verona,0.11,2.0,1636,24,ITA
132,Patric,Lazio,0.11,2.0,1610,20,ESP
132,Radu Dragusin,Genoa,0.11,2.0,1710,19,ROU
135,Giovanni Simeone,Napoli,0.11,1.0,787,28,ARG
135,Nikola Moro,Bologna,0.11,1.0,835,23,CRO
135,Pedro Rodriguez,Lazio,0.11,1.0,798,33,ESP
135,Samuel Iling-Junior,Juventus,0.11,1.0,800,24,ENG
135,Uros Racic,Sassuolo,0.11,1.0,813,22,SRB
140,Amir Rrahmani,Napoli,0.1,3.0,2602,30,KVX
140,Leandro Paredes,Roma,0.1,3.0,2644,34,ARG
140,Nikola Vlasic,Torino,0.1,3.0,2614,33,CRO
140,Tijjani Reijnders,Milan,0.1,3.0,2830,36,NED
144,Alfred Duncan,Fiorentina,0.1,2.0,1893,30,GHA
144,Davide Zappacosta,Atalanta,0.1,2.0,1875,31,ITA
144,Martin Payero,Udinese,0.1,2.0,1801,29,ARG
147,Isaac Success,Udinese,0.1,1.0,872,27,NGA
148,Arthur,Fiorentina,0.09,2.0,1993,33,BRA
148,Luca Ranieri,Fiorentina,0.09,2.0,2067,26,ITA
