Rank,Player,Team,Accurate Passes per 90,Pass Success (%),Minutes,Matches,Country
95,Matteo Darmian,Internazionale,39.3,85.6,2413,33,ITA
96,Luca Mazzitelli,Frosinone,39.1,77.0,2221,29,ITA
97,Giorgos Kyriakopoulos,Monza,38.7,85.9,1716,28,GRE
98,Lorenzo Pirola,Salernitana,38.7,83.4,1991,27,ITA
99,Jesper Lindstrøm,Napoli,38.4,84.4,417,22,DEN
100,Federico Gatti,Juventus,38.1,86.1,2640,32,ITA
101,Adam Marusic,Lazio,38.0,84.7,3106,37,MNE
102,Sebastiano Luperto,Empoli,38.0,83.0,3407,38,ITA
103,Matteo Ruggeri,Atalanta,37.8,82.3,2466,34,ITA
104,Mattia Bani,Genoa,37.3,83.9,2309,27,ITA
105,Leonardo Spinazzola,Roma,37.2,82.7,1312,24,ITA
106,Antonin Barak,Fiorentina,37.1,86.2,802,21,CZE
107,Isak Hien,Atalanta,37.1,85.5,1794,26,SWE
108,Pedro Pereira,Monza,37.0,82.8,833,23,POR
109,Sebastian Walukiewicz,Empoli,36.9,83.1,2054,27,POL
110,Manuel Lazzari,Lazio,36.8,88.5,1675,24,ITA
111,Ardian Ismajli,Empoli,36.8,84.7,2046,26,ALB
112,Charalambos Lykogiannis,Bologna,36.8,82.0,899,22,GRE
113,Alfred Duncan,Fiorentina,36.8,81.1,1893,30,GHA
114,Federico Dimarco,Internazionale,36.6,85.2,2105,30,ITA
115,Alexis Blin,Lecce,36.5,87.5,1632,31,FRA
116,Karol Linetty,Torino,36.1,86.8,1860,28,POL
117,Alessandro Buongiorno,Torino,35.9,85.4,2530,29,ITA
118,Giacomo Bonaventura,Fiorentina,35.6,85.0,2285,31,ITA
119,Alexis Saelemaekers,Bologna,35.6,83.1,1892,30,BEL
120,Uros Racic,Sassuolo,35.5,81.7,813,22,SRB
121,Teun Koopmeiners,Atalanta,35.5,81.6,2633,34,NED
122,Alessandro Vogliacco,Genoa,35.4,79.7,1171,20,ITA
123,Rasmus Kristensen,Roma,35.1,80.5,1743,29,DEN
124,Luca Pellegrini,Lazio,35.1,76.6,781,19,ITA
125,Antoine Makoumbou,Cagliari,35.0,88.9,2707,32,CGO
126,Matteo Politano,Napoli,34.8,83.0,2384,37,ITA
127,Andrea Cambiaso,Juventus,34.7,87.6,2387,34,ITA
128,Ruan Tressoldi,Sassuolo,34.4,85.3,1515,26,BRA
129,Paulo Dybala,Roma,34.4,84.3,1973,28,ARG
130,Matteo Guendouzi,Lazio,34.3,85.5,2370,33,FRA
131,Alberto Grassi,Empoli,34.2,81.6,1823,27,ITA
132,Matteo Lovato,Torino,34.1,85.0,1490,26,ITA
133,Davide Zappacosta,Atalanta,34.0,88.1,1875,31,ITA
134,Hans Hateboer,Atalanta,33.9,85.8,1104,23,NED
135,Warren Bondo,Monza,33.8,90.2,1471,25,FRA
136,Rolando Mandragora,Fiorentina,33.8,82.3,1584,33,ITA
137,Mateusz Wieteska,Cagliari,33.8,82.0,958,19,POL
138,Valentin Carboni,Monza,33.6,85.2,1158,31,ARG
139,Samuele Birindelli,Monza,33.3,83.1,2013,35,ITA
140,Martin Erlic,Sassuolo,33.1,80.5,2624,32,CRO
141,Yunus Musah,Milan,32.8,89.0,1468,30,USA
142,Edoardo Bove,Roma,32.8,84.5,1777,31,ITA
143,Ruslan Malinovsky,Genoa,32.8,81.6,1547,28,UKR
144,Nehuén Pérez,Udinese,32.8,80.3,3238,36,ARG
145,Matias Soulé,Frosinone,32.7,81.5,3136,36,ARG
146,Adrien Rabiot,Juventus,32.6,84.4,2651,31,FRA
147,Alexis Sánchez,Internazionale,32.5,80.9,751,23,CHI
148,Jens-Lys Cajuste,Napoli,32.3,86.0,1007,26,SWE
149,Domagoj Bradaric,Salernitana,32.3,81.6,2753,34,CRO
150,Aleksey Miranchuk,Atalanta,32.2,78.0,1170,27,RUS
151,Norbert Gyömbér,Salernitana,31.8,84.2,1762,22,SVK
152,Ondrej Duda,Verona,31.8,78.6,2463,32,SVK
153,Felipe Anderson,Lazio,31.8,78.5,2782,38,BRA
154,Walace,Udinese,31.7,80.4,3243,37,BRA
155,Lassana Coulibaly,Salernitana,31.6,85.4,2086,28,MLI
156,Razvan Marin,Empoli,31.6,79.9,1818,30,ROU
157,Timothy Weah,Juventus,31.5,84.7,1247,30,USA
158,Francesco Gelli,Frosinone,31.4,85.4,1558,27,ITA
159,Alberto Dossena,Cagliari,31.3,80.0,2979,35,ITA
160,Patrick Ciurria,Monza,31.1,79.0,1602,22,ITA
161,Mattia Zaccagni,Lazio,31.0,84.1,1971,28,ITA
162,Samuel Iling-Junior,Juventus,30.9,79.3,800,24,ENG
163,Giulio Maggiore,Salernitana,30.8,78.5,1807,27,ITA
164,Lorenzo Pellegrini,Roma,30.7,82.6,1866,29,ITA
165,Valentino Lazaro,Torino,30.6,82.0,1989,35,AUT
166,Diego Coppola,Verona,30.5,77.5,1636,24,ITA
167,Antonio Candreva,Salernitana,30.4,81.7,2757,34,ITA
168,Johan Vásquez,Genoa,30.4,78.3,2851,37,MEX
169,Liberato Cacace,Empoli,30.4,77.5,1907,31,NZL
170,Khvicha Kvaratskhelia,Napoli,30.1,85.7,2750,34,GEO
171,Radu Dragusin,Genoa,29.9,82.8,1710,19,ROU
172,Ylber Ramadani,Lecce,29.8,80.0,2976,34,ALB
173,Kacper Urbanski,Bologna,29.4,83.8,921,22,POL
174,Matheus Henrique,Sassuolo,29.3,83.1,2501,31,BRA
175,Marco Davide Faraoni,Fiorentina,29.3,78.8,995,19,ITA
176,Mike Maignan,Milan,29.2,82.2,2609,29,FRA
177,Giacomo Raspadori,Napoli,29.1,79.9,1572,37,ITA
178,Giangiacomo Magnani,Verona,28.9,80.3,2441,33,ITA
179,Ademola Lookman,Atalanta,28.9,80.2,1899,31,NGA
180,Patrick Dorgu,Lecce,28.7,83.9,1563,32,DEN
181,Samuel Chukwueze,Milan,28.5,81.7,1012,24,NGA
182,Filip Kostic,Juventus,28.5,80.6,1831,29,SRB
183,Pol Lirola,Frosinone,28.4,78.6,1538,25,ESP
184,Pasquale Mazzocchi,Napoli,28.4,77.0,1704,28,ITA
185,Filippo Terracciano,Milan,28.4,75.5,1368,21,ITA
186,Yann Sommer,Internazionale,28.3,86.3,3060,34,SUI
187,Jean-Daniel Akpa-Akpro,Monza,28.3,84.0,700,19,CIV
188,Raoul Bellanova,Torino,28.1,85.4,3063,37,ITA
189,Bartosz Bereszynski,Empoli,28.1,78.7,1766,24,POL
190,Jaka Bijol,Udinese,27.8,78.8,2083,24,SVN
191,Nicola Zalewski,Roma,27.7,78.6,966,22,POL
192,Gabriele Zappa,Cagliari,27.7,73.5,2559,38,ITA
193,Morten Frendrup,Genoa,27.5,81.0,3146,37,DEN
194,Antonino Gallo,Lecce,27.5,75.4,2500,35,ITA
195,Nikola Vlasic,Torino,27.3,82.9,2614,33,CRO
196,Denzel Dumfries,Internazionale,27.2,80.9,1640,31,NED
197,Christian Pulisic,Milan,27.1,82.4,2620,36,USA
198,Fabio Miretti,Juventus,27.0,80.1,1104,25,ITA
199,Alessandro Zanoli,Salernitana,26.8,79.4,969,21,ITA
200,Michele Di Gregorio,Monza,26.7,74.4,2874,33,ITA
201,Ruben Loftus-Cheek,Milan,26.6,85.8,2081,29,ENG
202,Giuseppe Pezzella,Empoli,26.6,77.8,1088,19,ITA
203,Joao Ferreira,Udinese,26.6,75.9,1812,35,POR
204,Youssef Maleh,Empoli,26.5,79.7,2610,34,MAR
205,Kenan Yildiz,Juventus,26.4,84.2,945,27,TUR
206,Reinier,Frosinone,26.4,81.3,1064,22,BRA
207,Weston McKennie,Juventus,26.3,80.8,2599,34,USA
208,Christian Kouamé,Fiorentina,26.3,76.4,1084,23,CIV
209,Kristian Thorstvedt,Sassuolo,26.2,74.1,2413,34,NOR
210,Stephan El Shaarawy,Roma,26.1,83.7,1741,33,ITA
211,Pietro Terracciano,Fiorentina,26.1,77.7,2970,33,ITA
212,Thomas Kristensen,Udinese,26.0,79.5,2097,26,DEN
213,Riccardo Sottil,Fiorentina,25.9,85.3,1108,22,ITA
214,Jeremy Toljan,Sassuolo,25.9,77.8,2085,25,GER
215,Hamza Rafia,Lecce,25.9,75.5,1211,28,TUN
216,Dany Mota,Monza,25.8,79.8,2059,34,POR
217,Tommaso Augello,Cagliari,25.8,74.7,2429,32,ITA
218,Tommaso Baldanzi,Roma,25.7,85.3,1259,27,ITA
219,Lazar Samardzic,Udinese,25.7,81.0,2380,34,SRB
220,Juan Cabal,Verona,25.7,71.1,1497,22,COL
221,Rafael Leao,Milan,25.5,80.0,2523,34,POR
222,Grigoris Kastanos,Salernitana,25.5,75.2,1486,26,CYP
223,Cristian Volpato,Sassuolo,25.5,71.3,632,22,ITA
224,Josep Martinez,Genoa,25.3,69.2,3239,36,ESP
225,Matteo Prati,Cagliari,25.1,75.4,1972,26,ITA
226,Nicolás González,Fiorentina,25.0,74.1,1913,29,ARG
227,Albert Gudmundsson,Genoa,24.7,81.6,3022,35,ISL
228,Alessio Zerbin,Monza,24.5,82.5,829,20,ITA
229,Ivan Provedel,Lazio,24.4,80.1,2699,30,ITA
230,Paulo Azzi,Cagliari,24.3,71.7,936,25,BRA
231,Charles De Ketelaere,Atalanta,24.2,75.6,2042,35,BEL
232,Ibrahim Sulemana,Cagliari,24.1,82.3,1342,21,GHA
