Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
94,Enzo Barrenechea,Frosinone,25.0,0.8,2816,36,ARG
95,Fabio Miretti,Juventus,24.0,2.0,1104,25,ITA
96,Emanuele Valeri,Frosinone,24.0,1.8,1178,16,ITA
96,Jacopo Fazzini,Empoli,24.0,1.8,1226,31,ITA
98,Lameck Banda,Lecce,24.0,1.6,1358,21,ZAM
99,Nadir Zortea,Frosinone,24.0,1.5,1403,19,ITA
100,Daichi Kamada,Lazio,24.0,1.4,1543,29,JPN
101,Samuele Birindelli,Monza,24.0,1.1,2013,35,ITA
102,Matteo Ruggeri,Atalanta,24.0,0.9,2466,34,ITA
103,Gabriele Zappa,Cagliari,24.0,0.8,2559,38,ITA
104,Valentin Gendrey,Lecce,24.0,0.7,3050,37,FRA
105,Valentin Carboni,Monza,23.0,1.8,1158,31,ARG
106,Victor Osimhen,Napoli,23.0,1.0,1990,25,NGA
107,Alessandro Bastoni,Internazionale,23.0,0.9,2283,28,ITA
107,Matteo Guendouzi,Lazio,23.0,0.9,2370,33,FRA
107,Victor Kristiansen,Bologna,23.0,0.9,2312,32,DEN
110,Marten de Roon,Atalanta,23.0,0.8,2599,30,NED
111,Stanislav Lobotka,Napoli,23.0,0.6,3293,38,SVK
112,Hans Hateboer,Atalanta,22.0,1.8,1104,23,NED
113,Kevin Strootman,Genoa,22.0,1.6,1209,27,NED
114,Nedim Bajrami,Sassuolo,22.0,1.5,1312,28,ALB
115,Yacine Adli,Milan,22.0,1.4,1412,24,FRA
116,Dan Ndoye,Bologna,22.0,1.1,1775,32,SUI
117,Nicolás González,Fiorentina,22.0,1.0,1913,29,ARG
118,Loum Tchaouna,Salernitana,22.0,0.9,2099,33,FRA
118,Marco Brescianini,Frosinone,22.0,0.9,2321,36,ITA
120,Matteo Darmian,Internazionale,22.0,0.8,2413,33,ITA
120,Stefan Posch,Bologna,22.0,0.8,2418,31,AUT
122,Gianluca Gaetano,Cagliari,21.0,2.1,905,20,ITA
123,M'Bala Nzola,Fiorentina,21.0,1.2,1545,33,ANG
124,Giorgos Kyriakopoulos,Monza,21.0,1.1,1716,28,GRE
125,Liberato Cacace,Empoli,21.0,1.0,1907,31,NZL
126,Danilo,Juventus,21.0,0.8,2451,29,BRA
126,Hassane Kamara,Udinese,21.0,0.8,2238,35,CIV
126,Milan Djuric,Monza,21.0,0.8,2464,37,BIH
129,Walace,Udinese,21.0,0.6,3243,37,BRA
130,Samuel Chukwueze,Milan,20.0,1.8,1012,24,NGA
131,Gabriel Strefezza,Lecce,20.0,1.6,1118,19,BRA
132,Stephan El Shaarawy,Roma,20.0,1.0,1741,33,ITA
133,Roberto Gagliardini,Monza,20.0,0.8,2366,33,ITA
134,Lorenzo Lucca,Udinese,20.0,0.7,2600,37,ITA
134,Stefano Sabelli,Genoa,20.0,0.7,2448,32,ITA
136,Ricardo Rodriguez,Torino,20.0,0.6,2783,35,SUI
137,Samuel Iling-Junior,Juventus,19.0,2.1,800,24,ENG
138,Gustav Isaksen,Lazio,19.0,1.6,1069,28,DEN
139,Angelino,Roma,19.0,1.5,1148,16,ESP
140,Gianluca Lapadula,Cagliari,19.0,1.4,1206,23,PER
141,Mathias Olivera,Napoli,19.0,1.1,1572,23,URU
142,Carlos Augusto,Internazionale,19.0,1.0,1703,37,BRA
142,Valentin Castellanos,Lazio,19.0,1.0,1676,35,ARG
144,Adrien Tamèze,Torino,19.0,0.8,2154,29,FRA
144,Josh Doig,Sassuolo,19.0,0.8,2183,28,SCO
146,Remo Freuler,Bologna,19.0,0.6,2632,32,SUI
147,Alexis Sánchez,Internazionale,18.0,2.2,751,23,CHI
148,Kenan Yildiz,Juventus,18.0,1.7,945,27,TUR
149,Andrea Petagna,Cagliari,18.0,1.6,996,18,ITA
150,Filippo Terracciano,Verona,18.0,1.2,1368,21,ITA
150,Mergim Vojvoda,Torino,18.0,1.2,1372,28,KVX
152,Patrick Dorgu,Lecce,18.0,1.0,1563,32,DEN
153,Jeremy Toljan,Sassuolo,18.0,0.8,2085,25,GER
154,Éderson,Atalanta,18.0,0.6,2873,36,BRA
154,Michael Folorunsho,Verona,18.0,0.6,2793,34,ITA
154,Milan Badelj,Genoa,18.0,0.6,2555,33,CRO
157,Andrea Pinamonti,Sassuolo,18.0,0.5,3100,38,ITA
158,Nicola Sansone,Lecce,17.0,2.0,750,25,ITA
159,Pedro Rodriguez,Lazio,17.0,1.9,798,33,ESP
160,Nicola Zalewski,Roma,17.0,1.6,966,22,POL
161,Ismael Bennacer,Milan,17.0,1.3,1151,20,ALG
162,Tommaso Baldanzi,Roma,17.0,1.2,1259,27,ITA
163,Ciro Immobile,Lazio,17.0,0.9,1656,31,ITA
163,Matteo Cancellieri,Empoli,17.0,0.9,1784,36,ITA
163,Pasquale Mazzocchi,Napoli,17.0,0.9,1704,28,ITA
163,Suat Serdar,Verona,17.0,0.9,1661,25,GER
167,Davide Zappacosta,Atalanta,17.0,0.8,1875,31,ITA
168,Michel Aebischer,Bologna,17.0,0.7,2234,36,SUI
168,Riccardo Calafiori,Bologna,17.0,0.7,2338,30,ITA
170,Cristian Volpato,Sassuolo,16.0,2.3,632,22,ITA
171,Marko Arnautovic,Internazionale,16.0,1.8,779,27,AUT
172,Alessio Zerbin,Monza,16.0,1.7,829,20,ITA
173,Kacper Urbanski,Bologna,16.0,1.6,921,22,POL
174,Abdou Harroui,Frosinone,16.0,1.4,1025,18,NED
