Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
409,Santiago Pierotti,Lecce,2.0,0.9,190,11,ARG
409,Sydney van Hooijdonk,Bologna,2.0,0.9,207,9,NED
411,Jose Machin,Monza,2.0,0.8,232,10,EQG
412,David Okereke,Torino,2.0,0.7,249,9,NGA
412,Filippo Missori,Sassuolo,2.0,0.7,262,8,ITA
414,Thomas Henry,Verona,2.0,0.6,320,18,FRA
414,Vitor Oliveira,Genoa,2.0,0.6,281,9,POR
416,Carlos Alcaraz,Juventus,2.0,0.5,377,10,ARG
416,Oier Zarraga,Udinese,2.0,0.5,395,15,ESP
416,Pierre Kalulu,Milan,2.0,0.5,370,9,FRA
419,Jens Odgaard,Bologna,2.0,0.4,431,10,DEN
419,Shon Weissman,Salernitana,2.0,0.4,493,11,ISR
419,Triantafyllos Pasalidis,Salernitana,2.0,0.4,451,8,GRE
422,Christian Kabasele,Udinese,2.0,0.2,861,13,BEL
422,Luca Pellegrini,Lazio,2.0,0.2,781,19,ITA
422,Rafael Toloi,Atalanta,2.0,0.2,962,18,ITA
425,Elia Caprile,Empoli,2.0,0.1,2070,23,ITA
425,Federico Baschirotto,Lecce,2.0,0.1,3295,37,ITA
425,Mattia Bani,Genoa,2.0,0.1,2309,27,ITA
425,Nicolo Casale,Lazio,2.0,0.1,1557,20,ITA
425,Pawel Dawidowicz,Verona,2.0,0.1,2143,28,POL
425,Pietro Terracciano,Fiorentina,2.0,0.1,2970,33,ITA
425,Stefan de Vrij,Internazionale,2.0,0.1,1578,25,NED
432,Simone Verdi,Torino,1.0,30.0,3,1,ITA
433,Emmanuel Ekong,Empoli,1.0,22.5,4,1,SWE
434,Rares Burnete,Lecce,1.0,12.9,7,1,ROU
435,Joao Costa,Roma,1.0,8.2,11,3,BRA
436,Ebenezer Akinsanmiro,Internazionale,1.0,6.4,14,1,NGA
436,Gerardo Fusco,Salernitana,1.0,6.4,14,1,ITA
438,Andres Sfait,Salernitana,1.0,4.3,21,2,ROU
439,Alejandro Gomez,Monza,1.0,2.3,39,2,ARG
440,Riccardo Pagano,Roma,1.0,1.9,48,4,ITA
441,Paul Pogba,Juventus,1.0,1.7,52,2,FRA
442,Alejandro Jimenez,Milan,1.0,1.4,65,3,ESP
443,Gino Infantino,Fiorentina,1.0,1.0,91,6,ARG
444,Nicolás Dominguez,Bologna,1.0,0.9,101,2,ARG
444,Trivante Stewart,Salernitana,1.0,0.9,96,4,JAM
446,Juan Manuel Cruz,Verona,1.0,0.8,107,4,ARG
447,Yann Karamoh,Torino,1.0,0.6,153,10,FRA
448,Brandon Soppy,Torino,1.0,0.5,177,5,FRA
448,George Puscas,Genoa,1.0,0.5,185,8,ROU
448,Mehdi Bourabia,Frosinone,1.0,0.5,197,10,MAR
448,Tommaso Corazza,Bologna,1.0,0.5,188,9,ITA
452,Jérome Boateng,Salernitana,1.0,0.4,238,7,GER
452,Santiago Castro,Bologna,1.0,0.4,238,8,ARG
454,Saba Sazonov,Torino,1.0,0.3,348,12,GEO
454,Tommaso Pobega,Milan,1.0,0.3,314,11,ITA
456,Bruno Amione,Verona,1.0,0.2,580,10,ARG
456,Chris Smalling,Roma,1.0,0.2,389,8,ENG
456,Dean Huijsen,Roma,1.0,0.2,515,14,ESP
456,Kevin Bonifazi,Frosinone,1.0,0.2,397,7,ITA
456,Konstantinos Manolas,Salernitana,1.0,0.2,492,8,GRE
461,Benoit Costil,Salernitana,1.0,0.1,1170,13,FRA
461,Isak Hien,Atalanta,1.0,0.1,1794,26,SWE
461,Jean-Daniel Akpa-Akpro,Monza,1.0,0.1,700,19,CIV
461,Lautaro Gianetti,Udinese,1.0,0.1,630,7,ARG
461,Marco Pellegrino,Salernitana,1.0,0.1,611,11,ARG
461,Mattia Viti,Sassuolo,1.0,0.1,985,15,ITA
461,Mile Svilar,Roma,1.0,0.1,1350,15,SRB
461,Niccolo Pierozzi,Salernitana,1.0,0.1,873,12,ITA
461,Pantelis Hatzidiakos,Cagliari,1.0,0.1,863,13,GRE
461,Yann Aurel Bisseck,Internazionale,1.0,0.1,898,16,GER
471,Alex Meret,Napoli,1.0,0.0,2774,31,ITA
471,Josep Martinez,Genoa,1.0,0.0,3239,36,ESP
471,Lorenzo Montipo,Verona,1.0,0.0,3330,37,ITA
471,Lorenzo Pirola,Salernitana,1.0,0.0,1991,27,ITA
471,Wladimiro Falcone,Lecce,1.0,0.0,3420,38,ITA
471,Wojciech Szczesny,Juventus,1.0,0.0,3150,35,POL
