Rank,Player,Team,Clearances per 90,Total Clearances,Minutes,Matches,Country
94,Alessandro Deiola,Cagliari,1.9,34.0,1608,27,ITA
95,Enzo Barrenechea,Frosinone,1.8,57.0,2816,36,ARG
96,Matteo Darmian,Internazionale,1.8,47.0,2413,33,ITA
97,Milan Badelj,Genoa,1.8,50.0,2555,33,CRO
98,Giulio Maggiore,Salernitana,1.8,36.0,1807,27,ITA
99,Jeremy Toljan,Sassuolo,1.8,42.0,2085,25,GER
100,Danilo D'Ambrosio,Monza,1.8,31.0,1534,24,ITA
101,Jean-Daniel Akpa-Akpro,Monza,1.8,14.0,700,19,CIV
102,Luca Pellegrini,Lazio,1.8,16.0,781,19,ITA
103,Adam Marusic,Lazio,1.7,58.0,3106,37,MNE
104,Samuele Birindelli,Monza,1.7,39.0,2013,35,ITA
105,Marten de Roon,Atalanta,1.7,49.0,2599,30,NED
106,Davide Calabria,Milan,1.7,42.0,2191,29,ITA
107,Alessandro Bastoni,Internazionale,1.7,43.0,2283,28,ITA
108,Alberto Grassi,Empoli,1.7,35.0,1823,27,ITA
109,Michael Kayode,Fiorentina,1.7,40.0,2063,26,ITA
110,Paulo Azzi,Cagliari,1.7,18.0,936,25,BRA
111,Hans Hateboer,Atalanta,1.7,21.0,1104,23,NED
112,Nadir Zortea,Frosinone,1.7,26.0,1403,19,ITA
113,Walace,Udinese,1.6,58.0,3243,37,BRA
114,Domagoj Bradaric,Salernitana,1.6,50.0,2753,34,CRO
115,Remo Freuler,Bologna,1.6,48.0,2632,32,SUI
116,Filip Kostic,Juventus,1.6,33.0,1831,29,SRB
117,Jordan Zemura,Udinese,1.6,18.0,1033,27,ZIM
118,Manuel Lazzari,Lazio,1.6,30.0,1675,24,ITA
119,Nicolo Rovella,Lazio,1.6,24.0,1322,23,ITA
120,Pedro Pereira,Monza,1.6,15.0,833,23,POR
121,Milan Djuric,Monza,1.5,40.0,2464,37,BIH
122,Davide Frattesi,Internazionale,1.5,16.0,934,32,ITA
123,Matias Vecino,Lazio,1.5,19.0,1135,31,URU
124,Cristiano Biraghi,Fiorentina,1.5,40.0,2358,29,ITA
125,Josep Martinez,Genoa,1.4,51.0,3239,36,ESP
126,Marco Brescianini,Frosinone,1.4,35.0,2321,36,ITA
127,Mario Pasalic,Atalanta,1.4,31.0,2048,34,CRO
128,Michael Folorunsho,Verona,1.4,42.0,2793,34,ITA
129,Roberto Gagliardini,Monza,1.4,37.0,2366,33,ITA
130,Victor Kristiansen,Bologna,1.4,35.0,2312,32,DEN
131,Daniel Boloca,Sassuolo,1.4,32.0,2023,30,ROU
132,Razvan Marin,Empoli,1.4,29.0,1818,30,ROU
133,Mergim Vojvoda,Torino,1.4,21.0,1372,28,KVX
134,Francesco Gelli,Frosinone,1.4,24.0,1558,27,ITA
135,Kevin Strootman,Genoa,1.4,19.0,1209,27,NED
136,Marco Carnesecchi,Atalanta,1.4,37.0,2426,27,ITA
137,Bryan Cristante,Roma,1.3,49.0,3292,37,ITA
138,Kristian Thorstvedt,Sassuolo,1.3,34.0,2413,34,NOR
139,Leandro Paredes,Roma,1.3,39.0,2644,34,ARG
140,M'Bala Nzola,Fiorentina,1.3,22.0,1545,33,ANG
141,Denzel Dumfries,Internazionale,1.3,24.0,1640,31,NED
