Rank,Player,Team,Big Chances Missed,Shot Conversion Rate (%),Minutes,Matches,Country
94,Boulaye Dia,Salernitana,3.0,13.8,1143,17,SEN
96,Andrea Pinamonti,Sassuolo,3.0,13.3,3100,38,ITA
97,Nicolas Viola,Cagliari,3.0,13.2,1202,26,ITA
98,Francesco Caputo,Empoli,3.0,13.0,1274,20,ITA
99,Ivan Ilic,Torino,3.0,11.1,2099,31,SRB
100,Matteo Politano,Napoli,3.0,10.7,2384,37,ITA
101,Marvin Cuni,Frosinone,3.0,10.0,522,22,ALB
102,Antonio Candreva,Salernitana,3.0,9.2,2757,34,ITA
103,Loum Tchaouna,Salernitana,3.0,9.1,2099,33,FRA
104,Luis Alberto,Lazio,3.0,8.9,2323,33,ESP
105,Gaetano Oristanio,Cagliari,3.0,8.7,1102,25,ITA
106,Gianluca Lapadula,Cagliari,3.0,8.6,1206,23,PER
107,Alberto Dossena,Cagliari,3.0,8.3,2979,35,ITA
107,Jakub Jankto,Cagliari,3.0,8.3,878,18,CZE
107,Sam Beukema,Bologna,3.0,8.3,2549,30,NED
110,Giacomo Raspadori,Napoli,3.0,8.2,1572,37,ITA
111,Joan Gonzalez,Lecce,3.0,7.7,1283,29,ESP
112,Andrea Cambiaso,Juventus,3.0,6.9,2387,34,ITA
113,Tijjani Reijnders,Milan,3.0,6.8,2830,36,NED
114,Gian Marco Ferrari,Sassuolo,3.0,6.3,2268,31,ITA
115,Riccardo Sottil,Fiorentina,3.0,5.9,1108,22,ITA
116,Andrea Carboni,Monza,3.0,5.6,1490,21,ITA
117,Chukwubuikem Ikwuemesi,Salernitana,3.0,4.6,1058,25,NGA
118,Emil Holm,Atalanta,3.0,3.9,948,22,SWE
119,Samuel Chukwueze,Milan,3.0,3.6,1012,24,NGA
120,Alexis Blin,Lecce,3.0,0.0,1632,31,FRA
120,Edoardo Bove,Roma,3.0,0.0,1777,31,ITA
120,Giorgos Kyriakopoulos,Monza,3.0,0.0,1716,28,GRE
120,Mattia Destro,Empoli,3.0,0.0,356,15,ITA
120,Valentino Lazaro,Torino,3.0,0.0,1989,35,AUT
125,Houssem Aouar,Roma,2.0,33.3,756,16,ALG
126,Daniele Rugani,Juventus,2.0,25.0,1189,17,ITA
126,Nemanja Radonjic,Torino,2.0,25.0,373,10,SRB
128,Matteo Pessina,Monza,2.0,22.2,3228,37,ITA
129,Lucas Martinez Quarta,Fiorentina,2.0,20.8,2292,29,ARG
130,Sardar Azmoun,Roma,2.0,18.8,571,23,IRN
131,Domenico Berardi,Sassuolo,2.0,17.7,1438,17,ITA
132,Gleison Bremer,Juventus,2.0,16.7,3234,36,BRA
133,Roberto Pereyra,Udinese,2.0,14.8,1862,27,ARG
134,Eldor Shomurodov,Cagliari,2.0,14.3,933,22,UZB
134,Kristian Thorstvedt,Sassuolo,2.0,14.3,2413,34,NOR
134,Samuel Vignato,Monza,2.0,14.3,339,10,ITA
137,Karol Swiderski,Verona,2.0,13.3,496,15,POL
138,Adrien Rabiot,Juventus,2.0,13.2,2651,31,FRA
139,Marco Brescianini,Frosinone,2.0,12.9,2321,36,ITA
140,Federico Fazio,Salernitana,2.0,12.5,1354,17,ARG
141,Patrick Dorgu,Lecce,2.0,11.1,1563,32,DEN
142,Kenan Yildiz,Juventus,2.0,10.5,945,27,TUR
143,Federico Dimarco,Internazionale,2.0,9.8,2105,30,ITA
144,Pedro Rodriguez,Lazio,2.0,9.1,798,33,ESP
145,Alfred Duncan,Fiorentina,2.0,8.7,1893,30,GHA
145,Nicola Sansone,Lecce,2.0,8.7,750,25,ITA
145,Valentin Carboni,Monza,2.0,8.7,1158,31,ARG
148,Christian Kouamé,Fiorentina,2.0,8.3,1084,23,CIV
149,Pietro Pellegri,Torino,2.0,7.7,745,24,ITA
149,Sead Kolasinac,Atalanta,2.0,7.7,2182,30,BIH
151,Remo Freuler,Bologna,2.0,7.1,2632,32,SUI
152,Tomas Suslov,Verona,2.0,5.8,2094,32,SVK
153,Gabriele Zappa,Cagliari,2.0,5.3,2559,38,ITA
154,Milan Badelj,Genoa,2.0,4.8,2555,33,CRO
155,Giovanni Di Lorenzo,Napoli,2.0,2.7,3235,36,ITA
156,Edoardo Goldaniga,Cagliari,2.0,0.0,1013,13,ITA
156,Evan N'Dicka,Roma,2.0,0.0,2170,25,CIV
156,Fabiano Parisi,Fiorentina,2.0,0.0,1452,21,ITA
156,Jens-Lys Cajuste,Napoli,2.0,0.0,1007,26,SWE
