Rank,Player,Team,Goals,Penalties,Minutes,Matches,Country
92,Amir Rrahmani,Napoli,3.0,0.0,2602,30,KVX
92,Bryan Cristante,Roma,3.0,0.0,3292,37,ITA
92,Eldor Shomurodov,Cagliari,3.0,0.0,933,22,UZB
92,Federico Bonazzoli,Verona,3.0,0.0,1014,24,ITA
92,Francesco Acerbi,Internazionale,3.0,0.0,2386,29,ITA
92,Gleison Bremer,Juventus,3.0,0.0,3234,36,BRA
92,Grigoris Kastanos,Salernitana,3.0,0.0,1486,26,CYP
92,Gustav Isaksen,Lazio,3.0,0.0,1069,28,DEN
92,Ivan Ilic,Torino,3.0,0.0,2099,31,SRB
92,Jonathan Ikoné,Fiorentina,3.0,0.0,1685,28,FRA
92,Nemanja Radonjic,Torino,3.0,0.0,373,10,SRB
92,Nikola Vlasic,Torino,3.0,0.0,2614,33,CRO
92,Rémi Oudin,Lecce,3.0,0.0,1826,31,FRA
92,Rolando Mandragora,Fiorentina,3.0,0.0,1584,33,ITA
92,Sardar Azmoun,Roma,3.0,0.0,571,23,IRN
92,Simy,Salernitana,3.0,0.0,680,15,NGA
92,Stephan El Shaarawy,Roma,3.0,0.0,1741,33,ITA
92,Thomas Henry,Verona,3.0,0.0,320,18,FRA
92,Tijjani Reijnders,Milan,3.0,0.0,2830,36,NED
113,Abdou Harroui,Frosinone,3.0,1.0,1025,18,NED
113,Darko Lazovic,Verona,3.0,1.0,1942,32,SRB
113,Francesco Caputo,Empoli,3.0,1.0,1274,20,ITA
113,Gianluca Lapadula,Cagliari,3.0,1.0,1206,23,PER
113,Kaio Jorge,Frosinone,3.0,1.0,805,20,BRA
113,M'Bala Nzola,Fiorentina,3.0,1.0,1545,33,ANG
113,Piotr Zielinski,Napoli,3.0,1.0,1938,28,POL
113,Tomas Suslov,Verona,3.0,1.0,2094,32,SVK
121,Leandro Paredes,Roma,3.0,3.0,2644,34,ARG
122,Alberto Dossena,Cagliari,2.0,0.0,2979,35,ITA
122,Alfred Duncan,Fiorentina,2.0,0.0,1893,30,GHA
122,Andrea Cambiaso,Juventus,2.0,0.0,2387,34,ITA
122,Antonin Barak,Fiorentina,2.0,0.0,802,21,CZE
122,Charalambos Lykogiannis,Bologna,2.0,0.0,899,22,GRE
122,Christian Kouamé,Fiorentina,2.0,0.0,1084,23,CIV
122,Cristiano Biraghi,Fiorentina,2.0,0.0,2358,29,ITA
122,Daichi Kamada,Lazio,2.0,0.0,1543,29,JPN
122,Daniele Rugani,Juventus,2.0,0.0,1189,17,ITA
122,Davide Zappacosta,Atalanta,2.0,0.0,1875,31,ITA
122,Dean Huijsen,Roma,2.0,0.0,515,14,ESP
122,Diego Coppola,Verona,2.0,0.0,1636,24,ITA
122,El Bilal Touré,Atalanta,2.0,0.0,386,11,MLI
122,Eljif Elmas,Napoli,2.0,0.0,331,11,MKD
122,Gaetano Oristanio,Cagliari,2.0,0.0,1102,25,ITA
122,Henrikh Mkhitaryan,Internazionale,2.0,0.0,2803,36,ARM
122,Ibrahim Sulemana,Cagliari,2.0,0.0,1342,21,GHA
122,Ilario Monterisi,Frosinone,2.0,0.0,1467,24,ITA
122,Jens Odgaard,Bologna,2.0,0.0,431,10,DEN
122,Karol Swiderski,Verona,2.0,0.0,496,15,POL
122,Kenan Yildiz,Juventus,2.0,0.0,945,27,TUR
122,Lameck Banda,Lecce,2.0,0.0,1358,21,ZAM
122,Lorenzo De Silvestri,Bologna,2.0,0.0,672,15,ITA
122,Luca Ranieri,Fiorentina,2.0,0.0,2067,26,ITA
122,Luis Muriel,Atalanta,2.0,0.0,395,18,COL
122,Martin Payero,Udinese,2.0,0.0,1801,29,ARG
122,Matheus Henrique,Sassuolo,2.0,0.0,2501,31,BRA
122,Matteo Darmian,Internazionale,2.0,0.0,2413,33,ITA
122,Matteo Gabbia,Milan,2.0,0.0,1276,18,ITA
122,Matteo Guendouzi,Lazio,2.0,0.0,2370,33,FRA
122,Mattia Bani,Genoa,2.0,0.0,2309,27,ITA
122,Morten Frendrup,Genoa,2.0,0.0,3146,37,DEN
122,Morten Thorsby,Genoa,2.0,0.0,1143,24,NOR
122,Nadir Zortea,Frosinone,2.0,0.0,1403,19,ITA
122,Nedim Bajrami,Sassuolo,2.0,0.0,1312,28,ALB
122,Nicola Sansone,Lecce,2.0,0.0,750,25,ITA
122,Nicolo Barella,Internazionale,2.0,0.0,2860,37,ITA
122,Oier Zarraga,Udinese,2.0,0.0,395,15,ESP
122,Oussama El Azzouzi,Bologna,2.0,0.0,536,18,MAR
122,Patric,Lazio,2.0,0.0,1610,20,ESP
122,Patrick Dorgu,Lecce,2.0,0.0,1563,32,DEN
122,Pol Lirola,Frosinone,2.0,0.0,1538,25,ESP
122,Pontus Almqvist,Lecce,2.0,0.0,2115,30,SWE
122,Radu Dragusin,Genoa,2.0,0.0,1710,19,ROU
122,Reinier,Frosinone,2.0,0.0,1064,22,BRA
122,Riccardo Calafiori,Bologna,2.0,0.0,2338,30,ITA
122,Riccardo Sottil,Fiorentina,2.0,0.0,1108,22,ITA
122,Tommaso Baldanzi,Empoli,2.0,0.0,1259,27,ITA
122,Valentin Carboni,Monza,2.0,0.0,1158,31,ARG
122,Valentin Gendrey,Lecce,2.0,0.0,3050,37,FRA
122,Vitor Oliveira,Genoa,2.0,0.0,281,9,POR
122,Walace,Udinese,2.0,0.0,3243,37,BRA
122,Yann Aurel Bisseck,Internazionale,2.0,0.0,898,16,GER
175,Alexis Sánchez,Internazionale,2.0,1.0,751,23,CHI
175,Arthur,Fiorentina,2.0,1.0,1993,33,BRA
175,Ismael Bennacer,Milan,2.0,1.0,1151,20,ALG
175,Nahitan Nández,Cagliari,2.0,1.0,2351,33,URU
175,Yerry Mina,Cagliari,2.0,1.0,1259,18,COL
180,Adam Marusic,Lazio,1.0,0.0,3106,37,MNE
180,Agustin Martegani,Salernitana,1.0,0.0,725,18,ARG
180,Alberto Cerri,Empoli,1.0,0.0,553,12,ITA
180,Alessandro Bastoni,Internazionale,1.0,0.0,2283,28,ITA
180,Alessandro Deiola,Cagliari,1.0,0.0,1608,27,ITA
180,Alessandro Florenzi,Milan,1.0,0.0,1730,31,ITA
180,Alex Sandro,Juventus,1.0,0.0,716,16,BRA
180,Andrea Carboni,Monza,1.0,0.0,1490,21,ITA
180,Andrea Petagna,Cagliari,1.0,0.0,996,18,ITA
180,Antoine Makoumbou,Cagliari,1.0,0.0,2707,32,CGO
180,Arijon Ibrahimovic,Frosinone,1.0,0.0,470,16,GER
180,Chaka Traorè,Milan,1.0,0.0,18,2,CIV
180,Christian Kabasele,Udinese,1.0,0.0,861,13,BEL
180,Chukwubuikem Ikwuemesi,Salernitana,1.0,0.0,1058,25,NGA
180,Cristian Volpato,Sassuolo,1.0,0.0,632,22,ITA
180,Dan Ndoye,Bologna,1.0,0.0,1775,32,SUI
180,Daniel Boloca,Sassuolo,1.0,0.0,2023,30,ROU
180,Danilo,Juventus,1.0,0.0,2451,29,BRA
180,Danilo Cataldi,Lazio,1.0,0.0,1360,28,ITA
180,Davide Biraschi,Genoa,1.0,0.0,90,1,ITA
180,Davide Calabria,Milan,1.0,0.0,2191,29,ITA
180,Diego Llorente,Roma,1.0,0.0,2173,29,ESP
180,Emil Holm,Atalanta,1.0,0.0,948,22,SWE
180,Emmanuel Quartsin Gyasi,Empoli,1.0,0.0,1873,33,GHA
180,Fabio Miretti,Juventus,1.0,0.0,1104,25,ITA
180,Federico Di Francesco,Lecce,1.0,0.0,14,2,ITA
180,Federico Fazio,Salernitana,1.0,0.0,1354,17,ARG
180,Gabriele Zappa,Cagliari,1.0,0.0,2559,38,ITA
180,Gaetano Castrovilli,Fiorentina,1.0,0.0,370,6,ITA
180,Gian Marco Ferrari,Sassuolo,1.0,0.0,2268,31,ITA
180,Giorgio Scalvini,Atalanta,1.0,0.0,2553,33,ITA
180,Giovanni Di Lorenzo,Napoli,1.0,0.0,3235,36,ITA
180,Giovanni Simeone,Napoli,1.0,0.0,787,28,ARG
180,Gregoire Defrel,Sassuolo,1.0,0.0,751,20,MTQ
180,Hamza Rafia,Lecce,1.0,0.0,1211,28,TUN
180,Hassane Kamara,Udinese,1.0,0.0,2238,35,CIV
180,Isaac Success,Udinese,1.0,0.0,872,27,NGA
180,Jacopo Fazzini,Empoli,1.0,0.0,1226,31,ITA
180,Jaime Báez,Frosinone,1.0,0.0,502,11,URU
180,Jakub Jankto,Cagliari,1.0,0.0,878,18,CZE
180,Jan-Carlo Simic,Milan,1.0,0.0,143,4,SRB
180,Joan Gonzalez,Lecce,1.0,0.0,1283,29,ESP
180,Johan Vásquez,Genoa,1.0,0.0,2851,37,MEX
180,Jordan Zemura,Udinese,1.0,0.0,1033,27,ZIM
180,Josip Brekalo,Fiorentina,1.0,0.0,654,11,CRO
180,Jovane Cabral,Salernitana,1.0,0.0,680,12,CPV
180,Juan Jesus,Napoli,1.0,0.0,2117,24,BRA
180,Junior Messias,Genoa,1.0,0.0,1056,18,BRA
180,Junior Sambia,Salernitana,1.0,0.0,1031,18,FRA
180,Keinan Davis,Udinese,1.0,0.0,180,8,ENG
180,Kingstone Mutandwa,Cagliari,1.0,0.0,34,5,ZAM
180,Kristjan Asllani,Internazionale,1.0,0.0,771,23,ALB
180,Lautaro Gianetti,Udinese,1.0,0.0,630,7,ARG
180,Leo Østigard,Napoli,1.0,0.0,1621,25,NOR
180,Leonardo Spinazzola,Roma,1.0,0.0,1312,24,ITA
180,Lorenzo Pirola,Salernitana,1.0,0.0,1991,27,ITA
180,Luca Caldirola,Monza,1.0,0.0,2139,29,ITA
180,Luca Pellegrini,Lazio,1.0,0.0,781,19,ITA
180,Manuel Locatelli,Juventus,1.0,0.0,3011,36,ITA
180,Martin Erlic,Sassuolo,1.0,0.0,2624,32,CRO
180,Marvin Cuni,Frosinone,1.0,0.0,522,22,ALB
180,Mathias Olivera,Napoli,1.0,0.0,1572,23,URU
180,Matteo Prati,Cagliari,1.0,0.0,1972,26,ITA
180,Mattia Viti,Sassuolo,1.0,0.0,985,15,ITA
180,Michael Kayode,Fiorentina,1.0,0.0,2063,26,ITA
180,Milan Badelj,Genoa,1.0,0.0,2555,33,CRO
180,Mirko Maric,Monza,1.0,0.0,279,10,CRO
180,Mitchel Bakker,Atalanta,1.0,0.0,372,14,NED
180,Niccolo Pierozzi,Salernitana,1.0,0.0,873,12,ITA
180,Nicolo Cambiaghi,Empoli,1.0,0.0,2562,37,ITA
180,Nikola Moro,Bologna,1.0,0.0,835,23,CRO
180,Ondrej Duda,Verona,1.0,0.0,2463,32,SVK
180,Pedro Rodriguez,Lazio,1.0,0.0,798,33,ESP
180,Perr Schuurs,Torino,1.0,0.0,771,9,NED
180,Pietro Pellegri,Torino,1.0,0.0,745,24,ITA
180,Raoul Bellanova,Torino,1.0,0.0,3063,37,ITA
180,Rasmus Kristensen,Roma,1.0,0.0,1743,29,DEN
180,Remo Freuler,Bologna,1.0,0.0,2632,32,SUI
180,Renato Sanches,Roma,1.0,0.0,142,7,POR
180,Ricardo Rodriguez,Torino,1.0,0.0,2783,35,SUI
180,Roberto Gagliardini,Monza,1.0,0.0,2366,33,ITA
