Rank,Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Country
95,Johan Vásquez,Genoa,2.3,37.4,2851,37,MEX
96,Memeh Caleb Okoli,Frosinone,2.3,37.3,2915,34,ITA
97,Mario Pasalic,Atalanta,2.2,63.6,2048,34,CRO
98,Lazar Samardzic,Udinese,2.2,63.0,2380,34,SRB
99,Samuele Birindelli,Monza,2.2,52.6,2013,35,ITA
100,Leonardo Spinazzola,Roma,2.2,52.5,1312,24,ITA
101,Thomas Kristensen,Udinese,2.2,47.2,2097,26,DEN
102,Ylber Ramadani,Lecce,2.2,45.7,2976,34,ALB
103,Filippo Terracciano,Milan,2.2,42.3,1368,21,ITA
104,Juan Cabal,Verona,2.2,39.8,1497,22,COL
105,Sebastiano Luperto,Empoli,2.2,34.9,3407,38,ITA
106,Khvicha Kvaratskhelia,Napoli,2.1,73.3,2750,34,GEO
107,Giacomo Bonaventura,Fiorentina,2.1,59.3,2285,31,ITA
108,Matteo Pessina,Monza,2.1,58.3,3228,37,ITA
109,Federico Dimarco,Internazionale,2.1,57.8,2105,30,ITA
110,Luis Alberto,Lazio,2.1,55.6,2323,33,ESP
111,Matheus Henrique,Sassuolo,2.1,53.2,2501,31,BRA
112,Michael Kayode,Fiorentina,2.1,50.5,2063,26,ITA
113,Pol Lirola,Frosinone,2.1,46.8,1538,25,ESP
114,Bartosz Bereszynski,Empoli,2.1,45.6,1766,24,POL
115,Alessandro Deiola,Cagliari,2.1,43.5,1608,27,ITA
116,Liberato Cacace,Empoli,2.1,35.4,1907,31,NZL
117,Gianluca Scamacca,Atalanta,2.0,86.8,1459,29,ITA
118,Henrikh Mkhitaryan,Internazionale,2.0,70.5,2803,36,ARM
119,Andrea Colpani,Monza,2.0,66.7,2683,38,ITA
120,Alessio Zerbin,Monza,2.0,64.3,829,20,ITA
121,Nicola Zalewski,Roma,2.0,47.7,966,22,POL
122,Matias Vecino,Lazio,2.0,46.3,1135,31,URU
123,Paulo Dybala,Roma,1.9,73.7,1973,28,ARG
124,Michel Aebischer,Bologna,1.9,70.8,2234,36,SUI
125,Nicolás González,Fiorentina,1.9,70.2,1913,29,ARG
126,Grigoris Kastanos,Salernitana,1.9,64.0,1486,26,CYP
127,Ismael Bennacer,Milan,1.9,63.2,1151,20,ALG
128,Ibrahim Sulemana,Cagliari,1.9,50.0,1342,21,GHA
